x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-0.43059125558691286,-0.0510329539847083,4.921222347226223,-0.9998408462914304,-0.0001114789518816439,0.00012091864365681052,0.017839703987485023,0.028019502348458625,0.00543851412904518,0.0029250401826011376,0.00011492202887097847,-0.00026137581983221025,0.006196106960487668,15223,599000000,2.34,0,2,4,1.645069424010758,-0.0478138636523385,4.945118407332784,1.645069424010758,-0.0478138636523385,4.945118407332784,3.790855407714844e-05
-0.007994025752217304,0.06280566511082372,5.0,-0.42129218998456364,-0.049765379366356347,4.9221266209074965,-0.9998560485246363,-0.00013134173729080424,0.00016127778895323958,0.016965817620232637,0.033174708584338596,0.005108641209848851,0.003073503750870311,0.00012056268019478011,-0.00025306287625426194,0.005627833297694451,15223,835000000,2.02,0,2,4,1.607090463399016,-0.055367475986394965,4.943266996536307,1.607090463399016,-0.055367475986394965,4.943266996536307,0.33600878715515137
-0.007994025752217304,0.06280566511082372,5.0,-0.40846783839398637,-0.04836398583156914,4.923265566322572,-0.9998721584705885,-0.00014910567437617742,0.0002002711207125241,0.015987631917902922,0.03725940114555046,0.005528782765652224,0.003215788953176634,8.435582969923416e-05,-0.00018086741278011687,0.00510578038301901,15224,124000000,1.54,0,2,4,1.5574671774996727,-0.06701736712454254,4.94077324957633,1.5574671774996727,-0.06701736712454254,4.94077324957633,0.7435526847839355
-0.01697820740838507,0.1255483960083878,5.0,-0.3992758957170793,-0.04686877444193432,4.92417656556143,-0.9998829471303168,-0.0001427869224755542,0.00017917481828858502,0.015298351096474594,0.0015764954863497931,0.005901247867858993,0.002150268477606967,-0.00028468961943417526,0.0011239629429837805,0.003266857629569131,15224,478000000,0.9,0,2,4,1.5117803570613384,-0.08306233746857124,4.937994585968896,1.5117803570613384,-0.08306233746857124,4.937994585968896,1.0936570167541504
-0.026955524430023026,0.18821223430714068,5.0,-0.4104101370899821,-0.044936345881669566,4.9244168396049925,-0.9998874173614491,-0.0001250212027993651,-5.2640638956148175e-05,0.015004472696933613,-0.07678820573724802,0.0058825362165338705,-0.0002734182099029701,0.00013641289910992782,0.001889394332010852,0.000855190552329077,15224,782000000,0.4,0,2,4,1.4940094567476194,-0.09720329002421021,4.935850859052332,1.4940094567476194,-0.09720329002421021,4.935850859052332,1.4345266819000244
-0.03792871608951609,0.2507810623072051,5.0,-0.4474164390548046,-0.041703321372948715,4.923956284785056,-0.999886276897304,-0.00016899987688573094,-0.000347982783737312,0.015075928477929212,-0.14918019224862858,0.00775350559677217,-0.002560536083279891,0.00045724495407739596,0.0017946762568499253,-0.0020521469650702784,15225,68000000,0.31,0,2,4,1.4946473573127572,-0.10473581497159763,4.934352482813813,1.4946473573127572,-0.10473581497159763,4.934352482813813,1.8094251155853271
-0.03792871608951609,0.2507810623072051,5.0,-0.5039711401034616,-0.03702840186018509,4.922888044083275,-0.9998776086681949,-0.00023687225180421594,-0.0006158039318819373,0.015631134348653875,-0.1974771153965895,0.010744283029194944,-0.004268286463089707,0.0003434517992673136,0.0016091574593701807,-0.005269553093967261,15225,381000000,0.36,0,2,4,1.5121178319624944,-0.10777200137265101,4.932946727699204,1.5121178319624944,-0.10777200137265101,4.932946727699204,2.1750049591064453
-0.04990027644803874,0.3132386055305398,5.0,-0.5657954495339522,-0.031385447334814846,4.921572032314645,-0.9998626847727804,-0.00028566978006766845,-0.0008067436052993812,0.016549294743264498,-0.1965383713584416,0.013326137563274453,-0.004524640097817542,0.00026414090257276257,0.0004070521953281059,-0.0058996464304073015,15225,705000000,0.36,0,2,4,1.543442501821116,-0.10761629793989282,4.93158198464164,1.543442501821116,-0.10761629793989282,4.93158198464164,2.512408494949341
-0.06287244931678915,0.37556843537659224,5.0,-0.6110450426740562,-0.026145895338543387,4.920623317752528,-0.9998504211032881,-0.0003160490310572037,-0.000776075005440522,0.01727522040881352,-0.15332852652474013,0.015201516715740762,-0.0033678657991517815,0.0002049559029160264,-0.0007441911634487042,-0.006095444086895441,15226,5000000,0.34,0,2,4,1.5804744622879392,-0.10548506189363395,4.9303568307972085,1.5804744622879392,-0.10548506189363395,4.9303568307972085,2.8171958923339844
-0.06287244931678915,0.37556843537659224,5.0,-0.6468194976683957,-0.02028683123113734,4.919928682090856,-0.9998330002731024,-0.0003502467018622606,-0.0006269151157736964,0.01826077406824861,-0.1065895378810853,0.01761741938638727,-0.002007203898235168,0.0005015344697767432,-0.0011814181561931036,-0.007801973060850287,15226,272000000,0.32,0,2,4,1.6106426427417526,-0.10214145947685964,4.929484433102183,1.6106426427417526,-0.10214145947685964,4.929484433102183,3.1407365798950195
