x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,0.5382764493518563,0.11312157497870413,4.931736161317368,-0.3285201941323699,0.0002880318185262463,-0.0007673725198759449,0.9444965909013738,0.03373713068684596,-0.018104722082201135,0.0011440181163862894,3.718805103858358e-05,-0.0003142021512303472,-0.013000510807614774,17590,406000000,5.96,0,2,2,-1.265233893647433,-1.044902793831004,4.917865800018999,-1.265233893647433,-1.044902793831004,4.917865800018999,4.482269287109375e-05
0.0,0.0,5.0,0.5271077445203627,0.11068560321808678,4.932088364743191,-0.3267929221653012,0.00032039825625787566,-0.0007512730790174338,0.9450956136584177,0.03913646796850856,-0.017657722199523922,0.0012971329386015959,3.0100419579071058e-05,-0.00022673333859302147,-0.013096168277115794,17590,661000000,5.81,0,2,2,-1.2323640724850253,-1.0173862463432493,4.917992018449008,-1.2323640724850253,-1.0173862463432493,4.917992018449008,0.31045055389404297
-0.002291386001864737,0.07066929128722992,5.08972966070103,0.5150068639591858,0.10742366416717204,4.9324800865491945,-0.3250596826481339,0.00034315483379328737,-0.000739567652394981,0.9456931521382302,0.04296763115243572,-0.017254880069154738,0.0014237861659762887,2.4276974031067766e-05,-0.00016178294401925086,-0.013007314373680856,17590,947000000,5.66,0,2,2,-1.1962827468138646,-0.9874378405799017,4.9181335187502775,-1.1962827468138646,-0.9874378405799017,4.9181335187502775,0.6169900894165039
-0.009160726391858276,0.14123938972314432,5.179278617806867,0.5003860311717644,0.1029918346105618,4.933072258266574,-0.3231008584495033,0.0003652950757537914,-0.0007382235667707207,0.9463641777110264,0.04555622831063336,-0.0171403683781516,0.003112925239536792,-0.0001443290059910396,-0.00015688925998347258,-0.01301741167480941,17591,231000000,5.51,0,2,2,-1.1604636194092592,-0.9577781115763694,4.91828791162819,-1.1604636194092592,-0.9577781115763694,4.91828791162819,0.9519197940826416
-0.009160726391858276,0.14123938972314432,5.179278617806867,0.4889462942783961,0.09979855132908408,4.934336279080968,-0.321559279833349,0.00036784686934625624,-0.0007482101206033921,0.9468890824290636,0.02282477991169831,-0.016259025628888302,0.006740519756570915,8.296081830394542e-05,0.000733657549290001,-0.009649820458434988,17591,543000000,5.34,0,2,2,-1.12526272983182,-0.9277616775773858,4.918568394824445,-1.12526272983182,-0.9277616775773858,4.918568394824445,1.2380626201629639
-0.020593580356818464,0.21161144053362013,5.268466531635311,0.4904201860049469,0.10562372430162494,4.936726905287417,-0.32083273755416497,0.00018045498762828246,-0.0007902889086272627,0.9471355221893741,-0.0541721919248111,-0.012711416267657441,0.011337840613332557,0.0004300614165231309,0.0018395342749499832,-0.0033779295790736796,17591,809000000,5.21,0,2,2,-1.1080363289015587,-0.9107226173010332,4.91932804384162,-1.1080363289015587,-0.9107226173010332,4.91932804384162,1.5183935165405273
-0.020593580356818464,0.21161144053362013,5.268466531635311,0.5070293885898862,0.1219828876846273,4.940283891930261,-0.3205925408430952,-5.977488838191812e-05,-0.0008311264115292164,0.9472168328379826,-0.11874706255026261,-0.010162609724283216,0.016253220061192973,-0.00015533665163047772,0.0018724262872638064,-0.0011801637811004184,17592,64000000,5.15,0,2,2,-1.1032976323464416,-0.9016139555233326,4.921085506617574,-1.1032976323464416,-0.9016139555233326,4.921085506617574,1.8000061511993408
-0.03656591995530789,0.28168726406152494,5.357113789597273,0.5437094943295708,0.15381626526484476,4.946842158452242,-0.32046383736497525,-0.0003241274605393252,-0.0009560153459038799,0.9472602123584428,-0.17873644622899224,-0.008884387056679674,0.023765665265512537,-0.00029046323390957696,0.001964505804608052,-0.0006505655846922309,17592,321000000,5.13,0,2,2,-1.1100991402883773,-0.8997457776089456,4.924175398503839,-1.1100991402883773,-0.8997457776089456,4.924175398503839,2.1495158672332764
-0.05704419012769257,0.3513696907347439,5.445041867912629,0.5955758226373772,0.1971818149620954,4.956295896279504,-0.3203527538166501,-0.000582029978000363,-0.0011096469782405777,0.9472974944793093,-0.2039918571369327,-0.009815747215446485,0.03192060956127488,-0.0005121218009662698,0.0014545185763381596,-0.0010211360063294705,17592,647000000,5.09,0,2,2,-1.1310938612830341,-0.9052891536181413,4.929965768167493,-1.1310938612830341,-0.9052891536181413,4.929965768167493,2.5197558403015137
-0.05704419012769257,0.3513696907347439,5.445041867912629,0.6406742992994541,0.23592241824039728,4.967359305325883,-0.3201956137921354,-0.0006745204484097009,-0.0012448822980047636,0.9473503914595203,-0.1804707811028546,-0.013904187733502318,0.04130376987359413,-0.0011571216305128473,-0.00026904021552809354,-0.000909442621832568,17592,989000000,5.03,0,2,2,-1.1651257428784652,-0.9180581812980082,4.939549929587312,-1.1651257428784652,-0.9180581812980082,4.939549929587312,2.851365566253662
