x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,time
0.0,0.0,5.0,0.4194792330893071,1.1394378403382817,4.931449410595298,-0.5877229469770998,-0.001698573210547422,0.0018624650034090471,0.8090583314382916,-0.03483645348735276,0.012161176522156349,0.003464422402976596,-0.0019322272237332072,-0.0011397454386496975,-0.012274384698685026,20,527000000,6.03,0,2,1,-0.4123716611020757,-0.7648860904755852,5.011939375668473,5.6743621826171875e-05
0.0,0.0,5.0,0.42094374777690136,1.1410686219021846,4.931786492685163,-0.5873344461664783,-0.0016122038764580999,0.0018404578816584385,0.8093406340100334,-0.017607816182644488,0.010319004017378838,0.004666925151719127,-0.0016217931261053309,-0.0015537873423454585,-0.01182537662316463,20,595000000,5.97,0,2,1,-0.414541412355803,-0.7735446756030471,5.011062657237594,0.10638785362243652
0.0,0.0,5.0,0.4216804876826953,1.1414866753960855,4.932099710270225,-0.5870510772600366,-0.001543550800016284,0.0018318911487156986,0.8095463509358667,-0.005400187355224521,0.008993087824646267,0.00551982343943046,-0.0016041993603721494,-0.0017154499687421776,-0.01157966989921988,20,659000000,5.9,0,2,1,-0.41538807615834733,-0.7778650015979525,5.010457833119726,0.21190547943115234
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.4221253682245849,1.1412502275926986,4.9324598110330315,-0.5867727473238814,-0.0014690291399426353,0.0018206507846841706,0.8097482758129778,0.006235487194096111,0.007818852387219622,0.006274754377553477,-0.001782973038189084,-0.0017888109937302943,-0.011392815940780565,20,724000000,5.85,0,2,1,-0.41572491800375766,-0.7803929288893182,5.009996046615834,0.32514119148254395
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.4222922117542411,1.139972358709419,4.933005732385899,-0.5864073776290113,-0.001371888977284814,0.0018126513543386769,0.8100130984607394,0.020823496920590788,0.0063733797885428215,0.0071888348927561935,-0.0014954621860852058,-0.001847782573349832,-0.011212047229491873,20,791000000,5.8,0,2,1,-0.41572491800375766,-0.7803929288893182,5.009996046615834,0.4433267116546631
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.42211605434397814,1.1383333905507809,4.933461467019644,-0.5861364759883403,-0.0013004196263257711,0.0018110357601303568,0.8102092696175727,0.03109352031889351,0.005372759196682968,0.007839379948576376,-0.0014038663607607305,-0.0018823878576768038,-0.011115250617876882,20,867000000,5.73,0,2,1,-0.4155817887956203,-0.7840870800776473,5.008894185720919,0.5522027015686035
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.4215079134419872,1.135309262785873,4.934133410580419,-0.5857782474641944,-0.0012059446414873106,0.001809747100269183,0.8104684542354079,0.043577071948543974,0.004096688379780187,0.009016473620961718,-0.0016190368228308216,-0.0018584825170364638,-0.011015532527380856,20,933000000,5.67,0,2,1,-0.4151467842126612,-0.7847922232556299,5.008413117561788,0.6734130382537842
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,0.4205090335226869,1.1314478476461969,4.934956051736781,-0.5854220228269171,-0.0011067183202292776,0.0017988754724565519,0.8107259675197498,0.054382018015008915,0.0028024215975871736,0.011221248843924822,-0.0014718959846504731,-0.0017937950019586424,-0.011004968746419763,21,6000000,5.61,0,2,1,-0.414243725998171,-0.78497442586252,5.007766534422676,0.7808835506439209
-0.002467198171341778,0.15705379539064146,5.125333233564304,0.419526408231197,1.1280596820957554,4.935688108152784,-0.5851536127092878,-0.0010396433455795826,0.0017966899961466814,0.8109198114363962,0.061795784699121815,0.0019290719074999331,0.012832079655273021,-0.0013836724633620179,-0.0017168431440950371,-0.01106228310163715,21,79000000,5.54,0,2,1,-0.41299156339681603,-0.7843147971632796,5.007157677624685,0.8875184059143066
-0.002467198171341778,0.15705379539064146,5.125333233564304,0.418359179750604,1.124284454476052,4.936513797084541,-0.5848839320890131,-0.0009739715022201019,0.0017925505823439864,0.8111144334346525,0.06868857603040368,0.0011125490964796708,0.014353683060719996,-0.001371097107494279,-0.0016359039364033379,-0.011106441070296569,21,144000000,5.48,0,2,1,-0.4118370370205665,-0.7832778683479186,5.006773193830883,0.9934687614440918
-0.002467198171341778,0.15705379539064146,5.125333233564304,0.4160351765817971,1.1172038335337953,4.938086324718722,-0.584432287874278,-0.0008725191374556429,0.0017852752473586152,0.8114400485511439,0.07911083385936142,-0.00013175857089275708,0.016716023347044338,-0.0012424567898960959,-0.0014528159795190732,-0.011161875954712741,21,212000000,5.43,0,2,1,-0.4118370370205665,-0.7832778683479186,5.006773193830883,1.1317517757415771
-0.002467198171341778,0.15705379539064146,5.125333233564304,0.41443243563584514,1.1125308996136194,4.939147792500273,-0.5841606183383317,-0.0008163498234472327,0.0017795181367565227,0.8116357180846248,0.08445285830539245,-0.0008968034008579277,0.018506210511288406,-0.001297799019539525,-0.0013437150187201041,-0.011141050526930485,21,297000000,5.35,0,2,1,-0.40794630787570074,-0.778455219821694,5.0060625697680505,1.254199504852295
-0.005550625190149816,0.23553225354821328,5.187381314585725,0.41207677660816766,1.1059046971301056,4.940772255910168,-0.5837989814694982,-0.0007451497036949672,0.0017673953186007924,0.811895972585702,0.09047785523234916,-0.0019673519874043107,0.02158573189174661,-0.001244152463186765,-0.0011464108297332132,-0.011203404847037746,21,372000000,5.3,0,2,1,-0.40621160997756595,-0.7759133056442532,5.005969367523813,1.3693017959594727
-0.005550625190149816,0.23553225354821328,5.187381314585725,0.40949524793236636,1.0988819993997418,4.942638512756368,-0.5834320964541043,-0.0006835072875767902,0.0017530339292927898,0.8121597432260471,0.09565497156273738,-0.0029076871201250015,0.024507861904833665,-0.001140856795700529,-0.0009461221111450868,-0.011363101475581061,21,447000000,5.23,0,2,1,-0.40621160997756595,-0.7759133056442532,5.005969367523813,1.4970781803131104
-0.005550625190149816,0.23553225354821328,5.187381314585725,0.4067497400907155,1.0915921373332276,4.944725547280825,-0.5830621366793529,-0.0006289218835281399,0.0017384907155863322,0.8124254592750055,0.09740311946034977,-0.003486150738663079,0.027088063252005985,-0.0010447265594848432,-0.0008407458381043398,-0.011345063103362918,21,529000000,5.16,0,2,1,-0.40096065687093047,-0.7673408779485652,5.006296839823129,1.6302566528320312
-0.005550625190149816,0.23553225354821328,5.187381314585725,0.4033281165469093,1.0826664128838392,4.947639771173526,-0.5826047476574094,-0.0005610227541514916,0.0017154772079170265,0.8127536221995351,0.0931131470635279,-0.0038551002930023023,0.03096603895321782,-0.0012816746675525792,-0.0008099306171516218,-0.011201867164345458,21,613000000,5.09,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,1.781881332397461
-0.009866357858641983,0.31395259764656686,5.248689887164855,0.40072618623551803,1.0760052007643357,4.950274315877177,-0.5822450087355845,-0.0005066608636078205,0.001693032594145758,0.8130114554776603,0.0859493147699171,-0.003911016885943745,0.03426692486721973,-0.0012019029895782296,-0.00070738998942943,-0.01093322034648736,21,706000000,5.01,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,1.9229450225830078
-0.009866357858641983,0.31395259764656686,5.248689887164855,0.3978797328702451,1.0688103468212813,4.9539031111585725,-0.5818070076765313,-0.00045918820538385936,0.0016704050703131744,0.8133250301764808,0.06895153649526599,-0.003272314290516839,0.03767572907213216,-0.0007448685039435077,-0.000287165721601923,-0.010661187388905091,21,794000000,4.94,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,2.06583309173584
-0.009866357858641983,0.31395259764656686,5.248689887164855,0.3958778704151027,1.0637675084912206,4.95782563591349,-0.5813804527584185,-0.0004634846136023081,0.0016466386145614215,0.8136300405673957,0.04120640916745709,-0.001803079168661618,0.040310308982023944,-0.00016021338353766623,0.0009059197850547207,-0.010343062876927434,21,887000000,4.86,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,2.204502820968628
-0.009866357858641983,0.31395259764656686,5.248689887164855,0.39512684521294444,1.0618753627132151,4.961190071309111,-0.5810497007431205,-0.0005168631778055484,0.0016005036229741424,0.813866338231861,0.01333081406144064,-0.0005234600559204663,0.043377261112415015,-0.0001617401252929085,0.0023341423911915626,-0.010028873839473817,21,979000000,4.78,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,2.3476922512054443
-0.015413331334360514,0.3922954786392247,5.3090169943749475,0.39518854895385125,1.0620465960269974,4.964793568371311,-0.580727307935633,-0.000606591402702557,0.0015278480670968637,0.8140964878593853,-0.014284575327691978,0.0007136258661845061,0.046317621998145576,-0.0001786535761993946,0.003268847808612918,-0.009809025141294114,22,66000000,4.72,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,2.4864697456359863
-0.015413331334360514,0.3922954786392247,5.3090169943749475,0.3963451345217997,1.0650099929409218,4.969617315380832,-0.5803318823064448,-0.0007490566597266274,0.001420877246766515,0.8143784908754826,-0.04534617342650157,0.0019419677879025771,0.04980675710627521,-2.2458901938193776e-05,0.003735773384505592,-0.009640469124860829,22,154000000,4.67,0,2,1,-0.3980370880939286,-0.7621851979852776,5.00675301021821,2.6608588695526123
