x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.3022749586905875,-1.517695515587897,5.006535582629765,-0.691420712538053,-2.681142779829482e-05,8.140831702006282e-06,-0.7224523496316176,-1.4399462592009678e-05,4.0063436621263476e-05,0.0010439217693620122,-2.370561311693109e-05,-1.1210826844632038e-05,-0.005434134618553799,4494,21000000,1.77,0,2,1,-1.3437517932016556,1.469191114209438,5.00837462911403,-1.3437517932016556,1.469191114209438,5.00837462911403,0.00024271011352539062
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.3019290695005432,-1.5171638066863424,5.007298525088011,-0.6917395900196297,1.694654754869443e-05,8.199898150943832e-05,-0.7221470297581067,0.007177703098799329,-0.005145236672218635,0.009281687501933275,-0.0013799055636809499,-0.00046961576458670606,-0.005606223066934035,4494,185000000,1.7,0,2,1,-1.3448235225906775,1.4706659958485673,5.008188034175134,-1.3448235225906775,1.4706659958485673,5.008188034175134,0.25061559677124023
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.3008895691356022,-1.5155652189405913,5.009231014552629,-0.6920223297538222,4.956032586067913e-05,0.0001732398354968382,-0.721876071534322,0.014461330197377184,-0.010259662287079451,0.017700244906199748,-0.0011571612390071095,-0.0006110059530328726,-0.005553492201215704,4494,340000000,1.62,0,2,1,-1.3459924856899053,1.4722857859065368,5.008266014836293,-1.3459924856899053,1.4722857859065368,5.008266014836293,0.4978780746459961
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.2990294196844303,-1.5126644546562733,5.012591665019722,-0.6923178694571627,8.77947534522162e-05,0.0002916083403845344,-0.7215925961974333,0.02674513459347682,-0.018620998317991515,0.0311009137024277,-0.0019152166373714863,-0.001011645827020402,-0.006341176322166575,4494,495000000,1.52,0,2,1,-1.34764704219877,1.474521739490552,5.009488224177148,-1.34764704219877,1.474521739490552,5.009488224177148,0.7680139541625977
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.296933116601882,-1.5093491130034122,5.016306849664813,-0.6925597190509204,0.00010786979080405941,0.0003918526474660253,-0.7213604302730506,0.036629761816623765,-0.025236534456033428,0.041920778530351595,-0.0015531357803411083,-0.0011567574233595224,-0.007035372163954889,4494,631000000,1.4,0,2,1,-1.349970836980773,1.4776271244697863,5.011997451960597,-1.349970836980773,1.4776271244697863,5.011997451960597,1.0626609325408936
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.292317987386596,-1.5019699879644695,5.024492617501721,-0.6930130763731226,0.00012060119758529439,0.0005481852615544176,-0.7209247956091749,0.05396892501065327,-0.03657291012994105,0.060767211464491835,-0.0018857973145713913,-0.0015304754811040766,-0.009211268024955643,4494,729000000,1.27,0,2,1,-1.3523020823938716,1.4806732328320256,5.015053135490661,-1.3523020823938716,1.4806732328320256,5.015053135490661,1.333676815032959
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.285811622968266,-1.491407858628842,5.036038424097455,-0.6936465533174401,0.0001081470438561223,0.0007419948188832428,-0.7203151371578562,0.07296189342973784,-0.04864368137273702,0.08142138373555699,-0.001276966554542014,-0.0019016039914276917,-0.012386604885250563,4494,896000000,1.02,0,2,1,-1.357200946612653,1.4869875636313048,5.022218509022014,-1.357200946612653,1.4869875636313048,5.022218509022014,1.5950934886932373
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.2786101716402345,-1.4795805628324359,5.048895354494546,-0.6943686924165011,7.373426290101335e-05,0.0009163339122540676,-0.7196188393081564,0.09221210846311156,-0.06050311892560972,0.10154563758331965,-0.0014298292626335751,-0.0023767450329614803,-0.016514679555257317,4495,45000000,0.67,0,2,1,-1.3638574311592744,1.4953137292401304,5.032750787069174,-1.3638574311592744,1.4953137292401304,5.032750787069174,1.8581640720367432
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.2698315925626709,-1.4649986134789883,5.064607607613061,-0.69530160499144,2.0350580273662813e-06,0.0010767205302028493,-0.7187172731784632,0.10960938164644243,-0.07085209318451548,0.1202345914493824,-0.0005374116767598025,-0.0022426875148084946,-0.020156645405222662,4495,193000000,0.31,0,2,1,-1.371108798415692,1.504168506146137,5.044749953825562,-1.371108798415692,1.504168506146137,5.044749953825562,2.1325433254241943
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.2582289441847467,-1.4455454169223105,5.0856075249856065,-0.6966028701662031,-8.500792522001194e-05,0.001243017695492104,-0.7174558446042997,0.1290468820057012,-0.08189868522696483,0.14097720156927948,-0.0009140828012732527,-0.002543151185818715,-0.025609624935896136,4495,321000000,0.28,0,2,1,-1.3799114552940173,1.514619203358691,5.059714053375406,-1.3799114552940173,1.514619203358691,5.059714053375406,2.3913040161132812
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.2433143863757161,-1.4202596533249667,5.112970190223673,-0.6984173617828202,-0.0002109616273739466,0.0014125332208667978,-0.7156892824441463,0.14586883349171106,-0.09059350415029,0.1601704857432496,0.00022832952737417145,-0.0019387868860576418,-0.029844346317986492,4495,487000000,0.9,0,2,1,-1.391618514609359,1.5281719791802786,5.0800239814051595,-1.391618514609359,1.5281719791802786,5.0800239814051595,2.6560208797454834
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.226796782187315,-1.391939626878254,5.1438046507070405,-0.7005398433043121,-0.0003081021266081995,0.001589714082607018,-0.7136114529808114,0.16454366526253308,-0.09964197583132467,0.180102245983024,-0.00015090405653950256,-0.0021233233383100014,-0.035469705835566856,4495,674000000,1.78,0,2,1,-1.4069303964244895,1.5452853090570604,5.106944175689196,-1.4069303964244895,1.5452853090570604,5.106944175689196,2.9282150268554688
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.2109889850569109,-1.364563606714172,5.17381538305792,-0.7026110772690102,-0.00041200005533695153,0.0016355245089701071,-0.7115720830769119,0.17404584170441834,-0.10314090280252312,0.19220029179306533,0.0009556075951877574,-0.0006351704769258504,-0.036787115823244676,4495,844000000,2.77,0,2,1,-1.4240712808927407,1.5639086597060223,5.1374242189331625,-1.4240712808927407,1.5639086597060223,5.1374242189331625,3.199404239654541
-0.03942649342761051,0.6266661678215213,5.481753674101715,-1.192444926919035,-1.332122703678576,5.209762150244044,-0.7050449775082668,-0.0004480817910300531,0.0016544628037756322,-0.7091605189700756,0.18528533759848664,-0.1067496047950375,0.20507492837141833,0.0001807405652698435,-0.00038655096261663857,-0.03930460043193307,4496,14000000,3.75,0,2,1,-1.440965804543148,1.5816174689743938,5.167567823116087,-1.440965804543148,1.5816174689743938,5.167567823116087,3.462678909301758
