x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-1.7842774937867056,-0.905170773668901,5.001937049130914,-0.9219787432827431,-0.00015871641116181728,6.293183982066663e-05,-0.38724045215273906,-0.00040970340638207483,0.0002664293697168488,0.0008051311202733122,-5.602440076302173e-05,-0.00011768918142252005,-0.02319536215509288,24588,547000000,8.77,0,2,3,1.340374735766194,1.4691686267336093,5.014736312030007,1.340374735766194,1.4691686267336093,5.014736312030007,8.058547973632812e-05
0.0,0.0,5.0,-1.7843659283258875,-0.905165787464956,5.002575972586283,-0.9233804533897354,-0.00014657267220741655,8.2678258254839e-05,-0.3838860637982628,5.008752367056283e-05,0.0001162196097980075,0.0029941357456062002,-0.00021951294684185996,-2.1615695011689695e-05,-0.0223647595703369,24588,862000000,8.34,0,2,3,1.3388073298370502,1.467438522786644,5.007576538689585,1.3388073298370502,1.467438522786644,5.007576538689585,0.4672391414642334
0.0,0.0,5.0,-1.7843168384233308,-0.9051057172405489,5.003717876894466,-0.9246484482936954,-0.00011898821431451974,9.264885256016255e-05,-0.3808217750156311,0.0004023570791741272,-8.689786255541152e-06,0.004438853245561268,-0.00017015258464425642,2.671524104158607e-05,-0.0216632963201846,24589,184000000,7.93,0,2,3,1.3391476022308482,1.4675534770583845,5.001628693929651,1.3391476022308482,1.4675534770583845,5.001628693929651,0.937946081161499
0.0,0.0,5.0,-1.784199754937352,-0.9049934555280663,5.005302547428136,-0.9259337578992708,-0.00010250953490252981,9.226401989922423e-05,-0.37768592370073856,0.0005985293602743363,-3.661891667017377e-06,0.0052756691125090864,4.000032802764508e-05,8.608814070498738e-05,-0.020494723321462516,24589,493000000,7.55,0,2,3,1.3408035007174872,1.4689875082435224,4.9976169416123986,1.3408035007174872,1.4689875082435224,4.9976169416123986,1.403395414352417
0.0,0.0,5.0,-1.784058731334504,-0.9048571242345563,5.006928436661111,-0.9270634170475796,-0.00010060097647516972,7.594188563035578e-05,-0.3749045276925034,0.0006371487758568191,7.049704810943163e-07,0.005397650404522195,2.372811138684483e-05,0.0001111634539086026,-0.019553811034711543,24589,813000000,7.15,0,2,3,1.3434537478258706,1.4714135160976607,4.995262420125377,1.3434537478258706,1.4714135160976607,4.995262420125377,1.864330530166626
0.0,0.0,5.0,-1.7839262938548015,-0.9047350602729686,5.0085828935459125,-0.9282079883452994,-9.688747230478335e-05,6.012444903875081e-05,-0.3720617117762062,0.0005378748351292747,-6.316809218869002e-05,0.004808042414507152,1.1079126771562642e-05,9.087729040402337e-05,-0.01862099870777456,24590,117000000,6.81,0,2,3,1.3464343825448561,1.4742092387587824,4.994918654092848,1.3464343825448561,1.4742092387587824,4.994918654092848,2.316061019897461
0.0013280625,0.0,5.0,-1.7837836960993647,-0.9046522631417334,5.00987768506367,-0.9292235093433066,-9.323183916613692e-05,4.883425644968199e-05,-0.369518143812654,0.0004995932612942396,-0.00014161963411947514,0.0037353527378678384,3.6307056971995877e-06,7.044906595865541e-05,-0.017961249250220135,24590,428000000,6.45,0,2,3,1.349007144690715,1.4766363332037105,4.99618095678984,1.349007144690715,1.4766363332037105,4.99618095678984,2.7686338424682617
0.005294500000000001,0.0,5.0,-1.783643194508852,-0.9045798743988124,5.010827796943823,-0.9302644518155694,-9.809674112799742e-05,3.428661326952987e-05,-0.3668896821794469,0.0005688170475962396,-0.00017332538572996064,0.002173189080431901,0.0001697377584264359,0.0001099787382941031,-0.017187451339850668,24590,725000000,6.13,0,2,3,1.3510281425490838,1.4785370211888944,4.9986138944862715,1.3510281425490838,1.4785370211888944,4.9986138944862715,3.2232306003570557
0.011872687500000001,0.0,5.0,-1.783412952041866,-0.9044664075086745,5.011242880273225,-0.9311860133289371,-0.00010445389309557038,1.3826224940619184e-05,-0.36454436969836773,0.0013430084799730875,-0.00034389860707710964,0.0006560209561767944,-5.3140342970436905e-05,7.26546211637924e-05,-0.01628480586077785,24591,45000000,5.8,0,2,3,1.3523807801784935,1.4798195676987536,5.0019472158171805,1.3523807801784935,1.4798195676987536,5.0019472158171805,3.6757967472076416
0.021036000000000003,0.0,5.0,-1.7827686608451105,-0.9040904459760815,5.0112115289277295,-0.9321072239581414,-9.484101358565124e-05,1.1652049292466731e-05,-0.3621824318136633,0.003525878332587498,-0.0007109822289379105,-0.0007563523039170825,-4.65889495870897e-05,1.671069114195234e-05,-0.015397213064716198,24591,351000000,5.51,0,2,3,1.352871279394399,1.480288131267039,5.005280151197392,1.352871279394399,1.480288131267039,5.005280151197392,4.127383232116699
0.032757812500000004,0.0,5.0,-1.7814373751553876,-0.9032808020277892,5.010817169777662,-0.9329245520756517,-8.10654952560559e-05,1.733934843768248e-05,-0.36007190012853924,0.007067681620698013,-0.0013864378865827576,-0.001764084160407854,-0.00021459366763565413,-4.5266068227078904e-05,-0.014717704925715225,24591,663000000,5.22,0,2,3,1.3526571708032924,1.4801383602600888,5.008584562222062,1.3526571708032924,1.4801383602600888,5.008584562222062,4.574896812438965
0.047011500000000005,0.0,5.0,-1.778686763325035,-0.9016460884216961,5.0101274134729765,-0.9337482408864125,-4.987715953067489e-05,4.9375028632051104e-05,-0.3579304649172873,0.01295125420198949,-0.0026704155392190893,-0.0024560470547822988,-0.0003373233994352631,-0.0002544097498002884,-0.013814854537486099,24591,959000000,4.96,0,2,3,1.352024003897587,1.4795877451412485,5.011107316396965,1.352024003897587,1.4795877451412485,5.011107316396965,5.014788389205933
0.0637704375,0.0,5.0,-1.774698938731515,-0.8993469941082145,5.009384821221474,-0.9344233075260063,-2.6988860854682413e-05,0.00010662975278625164,-0.3561643865602734,0.01943034737917471,-0.004155130040696646,-0.0027596415521450772,-0.00026287168282124185,-0.00040643700458531384,-0.013240088264865335,24592,278000000,4.69,0,2,3,1.3513299922052324,1.479006001757849,5.0129462282033534,1.3513299922052324,1.479006001757849,5.0129462282033534,5.455140113830566
0.08300800000000001,0.0,5.0,-1.7684073229175328,-0.8958007524184606,5.0085550346989205,-0.9351188267248206,-3.987401987899783e-06,0.0001848861014757751,-0.3543342288095027,0.027730892036555994,-0.005984621419036932,-0.0027120224901304234,-0.0005515899204056041,-0.00042105989166429936,-0.012858843001595233,24592,575000000,4.46,0,2,3,1.3511382630063762,1.4789192519440901,5.013766802309222,1.3511382630063762,1.4789192519440901,5.013766802309222,5.897189378738403
0.10469756250000001,0.0,5.0,-1.759741474496298,-0.8909325481671471,5.0077918493662334,-0.9357926643711505,4.319620612606565e-05,0.00026617835599395567,-0.35255072910478247,0.03710810101261472,-0.007906145621810082,-0.002349829350906401,-0.0004205545764079943,-0.00043005951226859906,-0.012537100701592863,24592,867000000,4.22,0,2,3,1.3518253690579918,1.4797333854702277,5.013857154092062,1.3518253690579918,1.4797333854702277,5.013857154092062,6.336204290390015
0.1288125,0.0,5.0,-1.749280057008212,-0.8850898197505136,5.007210359314618,-0.9364037863788944,7.052962217937237e-05,0.00034102958335504517,-0.35092424763710073,0.04652192725508393,-0.009836494724422636,-0.0018855016774903342,-0.00032267798246721213,-0.0004107380448203912,-0.012256106765562436,24593,158000000,3.98,0,2,3,1.3538245091383858,1.4818895001430017,5.013248067141992,1.3538245091383858,1.4818895001430017,5.013248067141992,6.78101110458374
0.15532618750000002,0.0,5.0,-1.7354113407021177,-0.877361531494751,5.00672825023341,-0.9370421457881366,9.03921433530898e-05,0.00040926557334479625,-0.34921603821662467,0.05678499813326624,-0.011888121860761248,-0.0013600043677511402,-0.00024139266372458223,-0.0004127471584070008,-0.012119266921217786,24593,447000000,3.74,0,2,3,1.3571251615335485,1.4853866040584909,5.0122159466795,1.3571251615335485,1.4853866040584909,5.0122159466795,7.224584102630615
0.18421200000000001,0.0,5.0,-1.718823719645245,-0.868184592880611,5.006436667838668,-0.937674323485885,0.00011311092297590068,0.0004868475365049841,-0.3475149108465464,0.06670506441702614,-0.013944036783562869,-0.0007346854746395042,-0.0005274989234749228,-0.00048686816853660275,-0.012003934807580663,24593,743000000,3.48,0,2,3,1.3623337589668678,1.490840857127413,5.010837495549202,1.3623337589668678,1.490840857127413,5.010837495549202,7.666078329086304
0.2154433125,0.0,5.0,-1.699593052385772,-0.8576183293365532,5.006319741807189,-0.9382955928372521,0.00015334142621616756,0.0005783339022343377,-0.3458338075991041,0.07613470753084782,-0.015836426265629963,-0.00022803608125754812,-0.0003953730299599556,-0.00044755196597634495,-0.011936252849409357,24594,46000000,3.21,0,2,3,1.3692435386440014,1.4981316605937474,5.009374503072676,1.3692435386440014,1.4981316605937474,5.009374503072676,8.099116086959839
0.2489935,0.0,5.0,-1.6794387636000887,-0.8466111421175949,5.0063406546279765,-0.9388734499546737,0.0001805709333118623,0.0006460801957579515,-0.34426181162703406,0.08411553382419033,-0.017504993544122393,0.00016006277080079194,-0.0002990097783595047,-0.00033870893219045684,-0.011995010845566867,24594,346000000,2.93,0,2,3,1.3777815448104955,1.507175729199589,5.007990996317142,1.3777815448104955,1.507175729199589,5.007990996317142,8.537279605865479
0.2848359375,0.0,5.0,-1.6523224948880364,-0.8319915915609467,5.006492975306286,-0.9395741513426037,0.00020432677439581045,0.0007093275196015697,-0.3423446643864411,0.09294762600471772,-0.019495820168563556,0.000390668858493205,-0.00021355471488959665,-0.00034367445778116235,-0.011923765487154014,24594,636000000,2.65,0,2,3,1.387068253317053,1.5171096192570084,5.006884108378604,1.387068253317053,1.5171096192570084,5.006884108378604,8.99812626838684
0.322944,0.0,5.0,-1.6262030131708365,-0.8180477782912362,5.006648533931878,-0.9401845836658591,0.00021406547058600082,0.000766753639806604,-0.3406645195817802,0.10008170890564569,-0.020997289565101572,0.00037065641842772094,-0.00015869420622038888,-0.0003208604681503857,-0.012032312952214852,24594,974000000,2.29,0,2,3,1.3998157614382611,1.5308912145440883,5.00590788267458,1.3998157614382611,1.5308912145440883,5.00590788267458,9.42857027053833
0.36329106250000004,0.0,5.0,-1.598137593798474,-0.8032111035584747,5.006805077045435,-0.940803426220385,0.00022032219879325113,0.00081305948965827,-0.33895162428343584,0.10650317224515349,-0.022438182799525596,0.00035538298689429313,-0.00011777983672800474,-0.0002447409769956721,-0.012119290295231622,24595,266000000,1.97,0,2,3,1.412177811722627,1.5443854345358374,5.005433652116302,1.412177811722627,1.5443854345358374,5.005433652116302,9.860905885696411
0.40585050000000006,0.0,5.0,-1.5704867886241152,-0.7887620740373773,5.006952443810389,-0.941374404879088,0.00023668810085708352,0.0008518877118039316,-0.33736248769626437,0.11137676944177652,-0.02366866165714111,0.00034430959922843987,-0.0004420723684006589,-0.00026996559938652354,-0.011953831290156813,24595,565000000,1.63,0,2,3,1.4253773334590385,1.5589707266254358,5.0052753782490935,1.4253773334590385,1.5589707266254358,5.0052753782490935,10.288061380386353
0.4505956875,0.0,5.0,-1.5393969476794849,-0.7727505555405768,5.007112577788118,-0.9419724779314738,0.00027822689093662354,0.000913364664284281,-0.3356887534226105,0.11652244313610967,-0.025123333795543608,0.00033173708893622473,-0.0003394052356497923,-0.0002939323223927204,-0.011712096966220997,24595,853000000,1.3,0,2,3,1.4382388070254908,1.5734032002804819,5.005389702735378,1.4382388070254908,1.5734032002804819,5.005389702735378,10.722501516342163
0.49750000000000005,0.0,5.0,-1.5089625923663732,-0.7573270647259669,5.0072602113554225,-0.9425181864205262,0.00030575194774466665,0.0009638569656373713,-0.3341533267260083,0.12180896559166146,-0.026715610861590335,0.000223070016503846,-0.00026061787821163307,-0.0003227860730703469,-0.011618900225585094,24596,145000000,0.94,0,2,3,1.4524348001431937,1.5896038102003949,5.005743084684285,1.4524348001431937,1.5896038102003949,5.005743084684285,11.14949631690979
0.5465368125000001,0.0,5.0,-1.4768648841629282,-0.7413623211459893,5.007344774481392,-0.9430634224178891,0.0003267438676364575,0.0010235307112808397,-0.33261122488693257,0.1281789713407208,-0.028731843326583878,-0.00011701736658929694,-0.00037598907169922313,-0.00039267339104753773,-0.011840789102279814,24596,425000000,0.6,0,2,3,1.4659936689499475,1.6053230276625765,5.006215857472035,1.4659936689499475,1.6053230276625765,5.006215857472035,11.584010601043701
0.5976795000000001,0.0,5.0,-1.4403629556691169,-0.7235858353824893,5.007326859722588,-0.943663311510373,0.000370044126899742,0.001100012571993176,-0.33090513376036096,0.13593682187926498,-0.031232452260468953,-0.0005244680735271449,-0.0006371810741256922,-0.00037421335434828507,-0.01231236328749219,24596,712000000,0.25,0,2,3,1.4798112546288622,1.6216247269609494,5.0067143973981985,1.4798112546288622,1.6216247269609494,5.0067143973981985,12.016362428665161
0.6509014375000001,0.0,5.0,-1.3986060500921285,-0.703743120043158,5.007194806587907,-0.9443326523309729,0.0004464792034943073,0.0011845946685793752,-0.3289897249662087,0.1455884115052871,-0.0343741030320973,-0.0009490350018636822,-0.0006435559782858036,-0.0003601248721452066,-0.013257581940706586,24597,3000000,0.22,0,2,3,1.494896500965208,1.6398114416415646,5.007238134477446,1.494896500965208,1.6398114416415646,5.007238134477446,12.457390785217285
0.7061760000000001,0.0,5.0,-1.3565358484309669,-0.6842447920982302,5.00695258335399,-0.9450035722874306,0.0005252830226310057,0.0012693515759521045,-0.32705712221004696,0.15485040894420837,-0.03737265747745223,-0.0013629055167655936,-0.0008347686559773138,-0.0004328251435481434,-0.013795890754408902,24597,323000000,0.68,0,2,3,1.5112548888129276,1.6601176624208374,5.007718881473435,1.5112548888129276,1.6601176624208374,5.007718881473435,12.893898010253906
