x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-1.0755724332352479,-1.5226932313779449,4.933938641908255,-0.887606360568907,0.0001383480300045149,0.00012248562528861549,-0.46060277304279607,0.0834652555590524,0.003512363925453449,0.0007591878172924316,-4.840174092635152e-05,-0.0017569593296684616,-0.001215356667216838,3249,23000000,1.61,0,2,2,0.1837591775468802,0.1865238984008428,4.972706048335515,0.1837591775468802,0.1865238984008428,4.972706048335515,6.914138793945312e-05
0.0,0.0,5.0,-1.0681765215501857,-1.5113959184036736,4.9340910265145395,-0.887645793604226,8.337883159332177e-05,0.00023504357643649792,-0.4605267450422518,0.10689865288861193,0.003066548416109647,0.00132713889899089,-4.0578077786790345e-05,-0.001844266466832778,-0.0012271048490219982,3249,164000000,1.6,0,2,2,0.1877341266601203,0.19273927042310218,4.972742843940141,0.1877341266601203,0.19273927042310218,4.972742843940141,0.18371868133544922
-0.002291386001864737,0.07066929128722992,5.08972966070103,-1.0575776095865113,-1.4955708146066808,4.934362803812916,-0.8876933085878427,1.903511061306326e-05,0.0003656867449485352,-0.46043507229493086,0.12888199777105558,0.002572167468150972,0.0019074022843048595,-3.554239675906956e-05,-0.001763105592544889,-0.0013823355743625143,3249,312000000,1.59,0,2,2,0.19078122666937392,0.19767432399228402,4.972767975882938,0.19078122666937392,0.19767432399228402,4.972767975882938,0.36028361320495605
-0.002291386001864737,0.07066929128722992,5.08972966070103,-1.0467529837819838,-1.479633007447784,4.934675861780968,-0.8877378379090826,-2.657975553346838e-05,0.0004750895870031908,-0.4603491117922442,0.1446652097638705,0.0022395843378570355,0.002307288946837368,-0.00020665384852236457,-0.0016235684711318754,-0.0013409245411821757,3249,458000000,1.58,0,2,2,0.19326519242478685,0.201936300815973,4.972784178164849,0.19326519242478685,0.201936300815973,4.972784178164849,0.5440609455108643
-0.002291386001864737,0.07066929128722992,5.08972966070103,-1.0293178934020961,-1.4541212479081993,4.9354502276114625,-0.8877974185787485,-0.00010462207059141153,0.0006139097289218946,-0.46023402279055503,0.162341516819335,0.002404045142566586,0.005536127270585928,0.00016212121494163512,-0.0015579061710013775,-0.0012643246009247378,3249,608000000,1.57,0,2,2,0.1946739473541871,0.2045947903093354,4.972784559944099,0.1946739473541871,0.2045947903093354,4.972784559944099,0.7861182689666748
-0.009160726391858276,0.14123938972314432,5.179278617806867,-1.0129553578234876,-1.430067253094479,4.936817097597005,-0.8878487270859802,-0.00017821653358450105,0.0007275401066645608,-0.4601348462527751,0.16097627647595217,0.0030460767972724213,0.008965060267091252,0.00013132703315932304,-0.0013957855230728455,-0.0012207816780573921,3249,801000000,1.55,0,2,2,0.19561964140919236,0.20698915934563542,4.9730732329119665,0.19561964140919236,0.20698915934563542,4.9730732329119665,1.0109434127807617
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.9961436215664028,-1.4050046578369695,4.938995737862134,-0.8879038864945175,-0.0002367860850354843,0.0008158736279359487,-0.4600282237325273,0.1412241689128445,0.004064580586713393,0.012134998864380464,0.00011033039299945813,-0.0007819640416073526,-0.0011839666399282578,3249,991000000,1.54,0,2,2,0.1955441881660718,0.2080935922031273,4.973953626013721,0.1955441881660718,0.2080935922031273,4.973953626013721,1.2543480396270752
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.9843716279643034,-1.3867339131041883,4.941714319452414,-0.8879523633729567,-0.0002616820052663201,0.0008175714055013292,-0.45993462957240494,0.10310324728456302,0.00601907872142069,0.01729101439596995,0.00022448491989734976,0.0002525044408230315,-0.0011620952591329115,3250,189000000,1.54,0,2,2,0.1946215518849679,0.20849547764344525,4.975924384559659,0.1946215518849679,0.20849547764344525,4.975924384559659,1.4820828437805176
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.9771899279532988,-1.374356988445689,4.945293251760457,-0.8880096752718056,-0.00023480653836566975,0.000729151603636661,-0.4598241292358314,0.057750758982622406,0.008013116694622393,0.021873159728642677,0.00015526830310363948,0.0015262125430126616,-0.0015755525964777917,3250,374000000,1.55,0,2,2,0.19316076075156186,0.20836135528075767,4.978834512304059,0.19316076075156186,0.20836135528075767,4.978834512304059,1.687159538269043
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.9750267728349139,-1.3687639679612962,4.949301481926961,-0.8880722393719779,-0.00018155048366291904,0.0005823618973006591,-0.45970351918479235,0.017820713419144815,0.01015177377799039,0.028015217267989105,0.00025705202801873384,0.002200263406848535,-0.0017921190192282666,3250,551000000,1.56,0,2,2,0.1912127109048461,0.20786487264472514,4.982694835515474,0.1912127109048461,0.20786487264472514,4.982694835515474,1.8610882759094238
