angle,Nl value,match,itr
1.089,-0.982,1.0,88.0
1.109,-0.98,1.0,87.0
1.238,-0.985,1.0,89.0
1.329,-0.977,1.0,86.0
1.47,-0.988,1.0,90.0
1.702,-0.974,1.0,85.0
1.724,-0.99,1.0,91.0
1.967,-0.993,1.0,92.0
2.04,-1.002,1.0,101.0
2.169,-0.971,1.0,84.0
2.184,-0.995,1.0,93.0
2.368,-0.997,1.0,94.0
2.515,-0.999,1.0,95.0
2.624,-1.0,1.0,96.0
2.633,-0.987,1.0,102.0
2.691,-0.969,1.0,83.0
2.696,-1.002,1.0,97.0
2.696,-1.005,1.0,100.0
2.73,-1.003,1.0,98.0
2.73,-1.004,1.0,99.0
3.245,-0.966,1.0,82.0
3.813,-0.964,1.0,81.0
4.147,-0.968,1.0,65.0
4.148,-0.967,1.0,66.0
4.38,-0.962,1.0,80.0
4.627,-0.966,1.0,67.0
4.907,-0.967,1.0,64.0
4.93,-0.96,1.0,79.0
5.26,-0.965,1.0,68.0
5.446,-0.959,1.0,78.0
5.861,-0.963,1.0,69.0
5.913,-0.958,1.0,77.0
6.312,-0.957,1.0,76.0
6.349,-0.961,1.0,70.0
6.408,-0.966,1.0,63.0
6.626,-0.957,1.0,75.0
6.692,-0.96,1.0,71.0
6.837,-0.957,1.0,74.0
6.883,-0.958,1.0,72.0
6.928,-0.957,1.0,73.0
7.472,-0.952,1.0,103.0
8.477,-0.963,1.0,62.0
9.633,-0.75,1.0,32.0
10.512,-0.897,1.0,33.0
10.973,-0.959,1.0,61.0
13.804,-0.953,1.0,60.0
14.548,-0.889,1.0,104.0
14.959,-1.015,1.0,34.0
15.679,-0.584,1.0,31.0
16.897,-0.946,1.0,59.0
19.879,-1.103,1.0,35.0
20.182,-0.938,1.0,58.0
23.579,-0.796,1.0,105.0
23.581,-0.928,1.0,57.0
24.575,-1.16,1.0,36.0
27.006,-0.919,1.0,56.0
27.502,-0.407,1.0,30.0
28.908,-1.188,1.0,37.0
30.361,-0.91,1.0,55.0
32.799,-1.194,1.0,38.0
33.543,-0.903,1.0,54.0
34.767,-0.672,1.0,106.0
36.182,-1.184,1.0,39.0
36.461,-0.899,1.0,53.0
39.023,-1.162,1.0,40.0
39.039,-0.897,1.0,52.0
41.235,-0.9,1.0,51.0
41.323,-1.133,1.0,41.0
43.021,-0.907,1.0,50.0
43.114,-1.102,1.0,42.0
44.388,-0.919,1.0,49.0
44.443,-1.07,1.0,43.0
45.34,-0.935,1.0,48.0
45.358,-1.038,1.0,44.0
45.896,-0.956,1.0,47.0
45.896,-1.008,1.0,45.0
46.076,-0.981,1.0,46.0
46.592,-0.229,1.0,29.0
48.222,-0.521,1.0,107.0
61.168,-2.26,1.0,130.0
61.357,-2.348,1.0,131.0
61.579,-2.13,1.0,129.0
62.094,-2.392,1.0,132.0
62.607,-1.961,1.0,128.0
63.311,-2.39,1.0,133.0
63.413,-0.348,1.0,108.0
64.224,-1.761,1.0,127.0
64.939,-2.342,1.0,134.0
66.336,-1.541,1.0,126.0
66.908,-2.249,1.0,135.0
68.783,-1.313,1.0,125.0
69.147,-2.112,1.0,136.0
71.324,-1.094,1.0,124.0
71.574,-1.937,1.0,137.0
73.648,-0.904,1.0,123.0
74.048,-0.567,1.0,117.0
74.059,-0.616,1.0,118.0
74.102,-1.73,1.0,138.0
75.109,-0.624,1.0,119.0
75.396,-0.758,1.0,122.0
76.063,-0.63,1.0,120.0
76.243,-0.668,1.0,121.0
76.394,-0.444,1.0,116.0
76.623,-0.059,1.0,28.0
76.633,-1.502,1.0,139.0
78.7,-0.16,1.0,109.0
79.068,-1.265,1.0,140.0
81.087,-0.265,1.0,115.0
81.311,-1.032,1.0,141.0
83.253,-0.304,1.0,200.0
83.269,-0.292,1.0,201.0
83.289,-0.816,1.0,142.0
83.366,-0.31,1.0,199.0
83.534,-0.313,1.0,198.0
83.616,-0.267,1.0,202.0
83.776,-0.313,1.0,197.0
84.104,-0.306,1.0,196.0
84.192,-0.45,1.0,227.0
84.367,-0.424,1.0,226.0
84.385,-0.228,1.0,203.0
84.41,-0.445,1.0,228.0
84.522,-0.294,1.0,195.0
84.938,-0.369,1.0,225.0
84.965,-0.625,1.0,143.0
84.983,-0.411,1.0,229.0
85.021,-0.276,1.0,194.0
85.557,-0.177,1.0,204.0
85.585,-0.253,1.0,193.0
85.839,-0.35,1.0,230.0
85.886,-0.291,1.0,224.0
86.184,-0.225,1.0,192.0
86.354,-0.461,1.0,144.0
86.787,-0.196,1.0,191.0
86.884,-0.269,1.0,231.0
86.919,-0.082,1.0,114.0
87.071,-0.115,1.0,205.0
87.15,-0.195,1.0,223.0
87.181,-0.304,1.0,242.0
87.192,-0.297,1.0,241.0
87.357,-0.166,1.0,190.0
87.419,-0.283,1.0,243.0
87.477,-0.262,1.0,240.0
87.49,-0.323,1.0,145.0
87.855,-0.139,1.0,189.0
87.858,-0.239,1.0,244.0
88.019,-0.175,1.0,232.0
88.029,-0.201,1.0,239.0
88.251,-0.117,1.0,188.0
88.322,-0.213,1.0,162.0
88.328,-0.216,1.0,161.0
88.365,-0.205,1.0,163.0
88.392,-0.211,1.0,160.0
88.395,-0.21,1.0,146.0
