x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0,0,0,-0.45413281962936736,1.3574452212076513,5.243756003017235,-0.6468480418990542,-0.006174394955464884,-0.03861311003807455,0.761615726775308,0.44744350549164363,0.05010614034793063,0.07296639082046788,-0.0014275628132054408,-0.004309950463721179,-0.2663519320776686,6,620000000,79.44,0,0,0
0,0,0,-0.474100590311753,1.158881890974667,5.261229876592351,-0.6014984966113803,-0.008002177690335658,-0.03690612329158161,0.7979808655538352,0.4395112536689796,0.059893319686696575,0.041736570863903394,0.06618278348469175,-0.022383978830475826,-0.2334322067326866,6,919000000,79.44,0,0,0
0.0,0.0,5.0,-0.4827803697783491,1.0911680466285287,5.254748474933484,-0.5896249240725916,-0.009054854653849002,-0.029339349894957165,0.8070933409880973,0.40730827046477475,0.0809842203807855,-0.0632036287726714,0.07948369457153603,-0.06737554213032126,-0.15117298316909,7,252000000,79.96,0,0,0
0.0,0.0,5.0,-0.49124775498728057,1.0120500471204112,5.226007730187361,-0.5777530443021205,-0.008818013446955528,-0.02152754000653781,0.8158800325168819,0.38558886481754406,0.09661116567648073,-0.17507959708475893,0.04857489402638748,-0.027182616031495854,-0.1504540428868495,7,414000000,81.01,0,0,0
0.0,0.0,5.0,-0.4968828791539105,0.9439426005142614,5.193363496234857,-0.5663589074869513,-0.008506904019526054,-0.020033556245965665,0.8238712746044305,0.36120724701616314,0.11277743263767537,-0.15494969547035958,0.0034498526247261907,-0.0054018305490899365,-0.15680930227972567,7,601000000,82.49,0,0,0
0.0,0.0,5.0,-0.49985091752580013,0.8857062471873143,5.1687287660307994,-0.5545831892951669,-0.00947901426563507,-0.019586351647308063,0.8318437408966306,0.3408442471268784,0.1284935971054431,-0.1235112324911803,0.007692561484873295,0.012341477304289583,-0.19352370291016996,7,791000000,83.47,0,0,0
0.0,0.0,5.0,-0.5008017686698627,0.8433483895000217,5.1536051612672225,-0.5440292974199576,-0.011226180988160342,-0.01902717006995508,0.83877533536001,0.3232025033813673,0.14062546649476762,-0.0992508477653434,0.029089549025229644,0.020859304277109914,-0.22864233324071392,7,945000000,84.07,0,0,0
0.0,0.0,5.0,-0.5006966213505178,0.8090835789820807,5.143220552379187,-0.533820948805034,-0.013171690038936692,-0.01835561026806448,0.8452956718037176,0.30738805693447346,0.15053197587669423,-0.08007896020356062,0.02682616268430138,0.024235761156887747,-0.2510143240215257,8,62000000,84.28,0,0,0
0.0,0.0,5.0,-0.4998858614496795,0.7758023249433612,5.134630564995532,-0.5228230953394128,-0.015104168548781194,-0.01772096931889154,0.8521231380021106,0.2911210797959328,0.1590726544463397,-0.06337426243549937,0.02896633668569848,0.023529166901425924,-0.26360459451097995,8,173000000,84.28,0,0,0
0.0,0.0,5.0,-0.4985848125397391,0.7435797539497259,5.127550709512502,-0.5113597991484886,-0.017158419743867556,-0.01651552255063177,0.8590366592652436,0.2748729360947403,0.16448957820698512,-0.05018680784581697,0.035592679341789335,0.019374875046196394,-0.26948843733407557,8,267000000,84.17,0,0,0
0.0,0.0,5.0,-0.49698204807539537,0.7124626809668793,5.1217301471383445,-0.4997304947046469,-0.018961190748379344,-0.015209887540491919,0.865839803444412,0.25903742214009967,0.16792792524169503,-0.03945835290365508,0.033848292150651105,0.014819113130215555,-0.26824630331248045,8,366000000,84.0,0,2,0
