x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.3722859892870873,-1.220594571857218,4.9120604446319485,-0.834093640159386,0.0016226287546717818,0.0013533389690915856,-0.551618831255083,0.04644879166919415,-0.04644327565303828,0.00027420137252466873,0.0005624952450489218,-0.0018813920405591489,0.010188269334321376,4253,788000000,4.2,0,2,1,-0.6968553843086082,0.7693312982731335,4.914228125391516,-0.6968553843086082,0.7693312982731335,4.914228125391516,9.393692016601562e-05
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.3635473348033353,-1.2164637545399086,4.912158954655038,-0.8337420165212613,0.0015263286322080337,0.0014428493580177565,-0.5521501955027247,0.055866926940599713,-0.045424947296830345,0.0008890143649502852,0.0003249042237030153,-0.0017486225829088653,0.00816598767414689,4253,936000000,4.1,0,2,1,-0.6891533144351124,0.7702235833959471,4.9142798330101005,-0.6891533144351124,0.7702235833959471,4.9142798330101005,0.2933695316314697
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.3557810410209399,-1.211950184370399,4.912348069215618,-0.8334947685810266,0.0014547022922458278,0.0015169066428820984,-0.5525233511658478,0.06310864887651166,-0.04455059978204577,0.001713770224787589,0.0003011540769648491,-0.0016031963582463504,0.00688627465024183,4254,57000000,4.03,0,2,1,-0.6818580032197706,0.7702068483736557,4.91435673143879,-0.6818580032197706,0.7702068483736557,4.91435673143879,0.5857727527618408
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.3477949173161443,-1.2066357730919184,4.912646732549168,-0.8332864948389183,0.0013914453464730012,0.0015866709155028655,-0.552837375612687,0.06967849372336402,-0.04364346096117612,0.002880220497432177,0.00012089653225189068,-0.001526120661310415,0.005681549964720034,4254,187000000,3.98,0,2,1,-0.6758971196653256,0.7696037970645271,4.914519024140912,-0.6758971196653256,0.7696037970645271,4.914519024140912,0.8696777820587158
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.3396266987146355,-1.2005739251243581,4.913125457262317,-0.8331181495763718,0.0013354843036589032,0.001658145391085481,-0.5530909652868854,0.07567594716972956,-0.04268759430255803,0.00442325453373524,0.00012057232083861891,-0.0014585396456823219,0.004569845532387262,4254,309000000,3.94,0,2,1,-0.6701739027694689,0.7685387322083056,4.914788208548852,-0.6701739027694689,0.7685387322083056,4.914788208548852,1.1542096138000488
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.3299021128586286,-1.1926571530117855,4.913925023027981,-0.8329612828531548,0.001272733044159718,0.0017358343023171502,-0.5533270897918333,0.081965840450967,-0.041554402596428404,0.00649966188451064,0.00014024729040329476,-0.001428452333129826,0.0037002410635977867,4254,432000000,3.91,0,2,1,-0.6646682902297734,0.7671097138961184,4.915225254459005,-0.6646682902297734,0.7671097138961184,4.915225254459005,1.447704553604126
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.3171620699642612,-1.1812250957395014,4.9155017845282165,-0.8327954476681367,0.00119506747517366,0.001843075870666892,-0.5535764782108181,0.08949117358395328,-0.03988549221151299,0.010415471586957445,7.128556678281939e-06,-0.0014857574797133566,0.0030294282169052167,4254,572000000,3.88,0,2,1,-0.6584922666785529,0.7650528934355236,4.915975643602506,-0.6584922666785529,0.7650528934355236,4.915975643602506,1.7680673599243164
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.3042123099086078,-1.168515842389099,4.917803237334646,-0.832664903555145,0.0011096912587664214,0.0019419182938168788,-0.5537726572576072,0.09589769495306744,-0.03839265855986798,0.014195024195629513,0.0002319589910371178,-0.0013547448702411202,0.0023051507923810277,4254,736000000,3.85,0,2,1,-0.6509100682171658,0.7620094590928566,4.917489450551792,-0.6509100682171658,0.7620094590928566,4.917489450551792,2.1415975093841553
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.2912131472962363,-1.1550046561897929,4.9208536722114395,-0.832577877393804,0.0010304580909340187,0.0020205532287839146,-0.5539033612420134,0.09817175222505435,-0.03703683042902063,0.018682423415217926,0.0002601243465960579,-0.0010717043892327638,0.001369770620840427,4254,925000000,3.83,0,2,1,-0.6436797330815929,0.7587113361114446,4.919732451220637,-0.6436797330815929,0.7587113361114446,4.919732451220637,2.5508029460906982
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.2772789017557078,-1.140755136312591,4.925135954328268,-0.8326034743630779,0.0009659736438255995,0.002067689041003077,-0.5538648265014492,0.08706763815305471,-0.036684016208274633,0.023110035521709992,0.0002888784450760795,-0.0005064903433549262,-0.0018116957789970911,4255,113000000,3.82,0,2,1,-0.6367449227668482,0.7553031436672092,4.922767176501151,-0.6367449227668482,0.7553031436672092,4.922767176501151,2.923840284347534
