x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.4868146673678341,1.9402398158628604,5.009759971907387,-0.6979408479299931,9.271149940197853e-05,6.933156280676601e-05,0.7161554017030622,-0.0018030152859683246,-0.00026712062142497276,-0.002889279794863367,-0.0001394224540263167,6.346377467991715e-06,-0.02453745728416834,223,187000000,9.27,0,2,1,-1.1537405441617874,-1.6337136341578642,5.008305877538348,-1.1537405441617874,-1.6337136341578642,5.008305877538348,0.00034546852111816406
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.48683151550386927,1.940429319338724,5.009418064500988,-0.6968961609605224,9.758143902700754e-05,6.173507561465099e-05,0.7171720348041524,-0.0014031339655593334,-0.00013012791781215856,-0.0027858192212942066,-0.00013956609166143608,4.4859054781909435e-05,-0.024086468511086423,223,309000000,9.09,0,2,1,-1.1537583269941425,-1.633737215428601,5.008334274719266,-1.1537583269941425,-1.633737215428601,5.008334274719266,0.16849255561828613
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.486858491952279,1.9406805491868346,5.00917144578982,-0.6958695326944613,0.00010413816292059357,4.5414240935854556e-05,0.7181682118838049,-0.004812065709583951,-0.0009279106871155224,0.0001412796675334228,-0.0006028997461271501,0.0002925234667827681,-0.02354250736971153,223,427000000,8.93,0,2,1,-1.1537741228806353,-1.6337584709137463,5.008363499825643,-1.1537741228806353,-1.6337584709137463,5.008363499825643,0.32903218269348145
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.48707239865901075,1.9418738816622887,5.009667932441287,-0.6948685501216887,0.00011010472250925505,-5.65898893812111e-06,0.7191367643895756,-0.014205661420703567,-0.003109248013176447,0.007593332841007596,-0.0007679241605274001,0.0006726904530296451,-0.02299149982718518,223,541000000,8.76,0,2,1,-1.1537699084037751,-1.6337455008288253,5.008422717945315,-1.1537699084037751,-1.6337455008288253,5.008422717945315,0.5132410526275635
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.48749764354080194,1.944189508895671,5.0110617762854455,-0.6938852438930628,0.00010578679552266545,-6.664324119234075e-05,0.7200855870487178,-0.023227885582936453,-0.005153368531337496,0.014943597449525167,-0.0005261561682345928,0.0007761431220387749,-0.022532095499627758,223,664000000,8.59,0,2,1,-1.153371538828304,-1.633036313387857,5.009119292119673,-1.153371538828304,-1.633036313387857,5.009119292119673,0.6800501346588135
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.48800327085138595,1.9469552551750176,5.012906076094043,-0.6930832492772712,9.550515592473421e-05,-0.0001131020989576264,0.7208575363120928,-0.032095687244855356,-0.007225272334942874,0.022345291236024398,-0.000692684596970139,0.0009186472937017243,-0.021885003661736846,223,778000000,8.41,0,2,1,-1.152450735824581,-1.6313897184805894,5.010686386516996,-1.152450735824581,-1.6313897184805894,5.010686386516996,0.8420729637145996
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.48892327137032,1.951878183370715,5.016467615854351,-0.692165646082446,7.631079467143724e-05,-0.0001947827570189476,0.7217386470320196,-0.04762401780912436,-0.011060776138903734,0.035677910442678255,-0.0009191996923618717,0.0013426286159301526,-0.020653497085731942,223,884000000,8.26,0,2,1,-1.1513109051215549,-1.6293463431652575,5.012624715608471,-1.1513109051215549,-1.6293463431652575,5.012624715608471,1.0239763259887695
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.4904274652777391,1.9598059657085003,5.022524220506878,-0.6911548055544723,4.4941849510407605e-05,-0.00030767479773497733,0.7227066749902125,-0.06291462217093499,-0.014945667670712124,0.04939971037069006,-0.0007411732042328367,0.0014540156939801818,-0.01943132210726617,224,9000000,8.06,0,2,1,-1.149226371360819,-1.6255815201431598,5.016151315606278,-1.149226371360819,-1.6255815201431598,5.016151315606278,1.2020671367645264
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.4920616466876355,1.9683083396901122,5.029261569653436,-0.6903439405560076,8.781753124833082e-06,-0.00040448769675691646,0.7234812230114803,-0.07766063676142282,-0.01894674043055341,0.06301563487257497,-0.0008239321346081852,0.001815683879158314,-0.01771178940543905,224,140000000,7.82,0,2,1,-1.1457106136619346,-1.6191872851512266,5.022152893211201,-1.1457106136619346,-1.6191872851512266,5.022152893211201,1.3784940242767334
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.49375287011075386,1.9769150043871566,5.036275995204545,-0.689734950823368,-3.7180721134889806e-05,-0.0004970009993845937,0.7240617716882217,-0.09099704220259454,-0.02266082270889878,0.07555160204346532,-0.000683058721051566,0.0020062161866007955,-0.01607429421710549,224,257000000,7.6,0,2,1,-1.141910535053836,-1.612233709462807,5.028744942522924,-1.141910535053836,-1.612233709462807,5.028744942522924,1.5607194900512695
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.4961267653625186,1.9888482806906624,5.046213379245765,-0.689078119494752,-9.97785082872141e-05,-0.0006026271775090985,0.7246868096759527,-0.10403963957434481,-0.0263418555302553,0.0882148205838225,-0.0005242787210590905,0.0019072619465987373,-0.014358247244672384,224,362000000,7.41,0,2,1,-1.1380104428924989,-1.6050368092018048,5.0355502954933735,-1.1380104428924989,-1.6050368092018048,5.0355502954933735,1.7400336265563965
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.49881837309277843,2.0022149006552925,5.0575545235977915,-0.688498411681735,-0.0001544808551453414,-0.0007121650842458682,0.7252374825312646,-0.11633785490425885,-0.030067336691202835,0.10048889025092891,-0.0012022167652503413,0.002167931484109431,-0.011915032882825471,224,480000000,7.18,0,2,1,-1.1324913016405698,-1.5947952659562088,5.045261744203198,-1.1324913016405698,-1.5947952659562088,5.045261744203198,1.9129207134246826
