x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,0.18727665115829076,-1.9937574726119431,5.014974824918405,-0.346593273551685,0.00019926082237839253,2.140189568902522e-05,-0.9380154916448928,-0.014184011639329724,0.009734399245398036,-0.01590037581667774,0.0004788404481814723,-0.00015262161809914687,0.022059620096115395,22726,249000000,8.24,0,2,2,-1.8985244724142962,-0.6441471317798794,5.006055425378665,-1.8985244724142962,-0.6441471317798794,5.006055425378665,0.00029158592224121094
0.0,0.0,5.0,0.18853007279759537,-1.9981735286804903,5.009874495075734,-0.34333039444926594,0.00015384277372637313,-4.0818885180686373e-05,-0.9392146798860902,-0.009482117888572306,0.0060953157875686895,-0.015419285017714687,0.0005041255008109147,-8.230215229332316e-05,0.021229172489256598,22726,599000000,7.67,0,2,2,-1.8992336722156897,-0.6440729250285977,5.000738374754925,-1.8992336722156897,-0.6440729250285977,5.000738374754925,0.4499781131744385
0.0,0.0,5.0,0.18936847572865917,-2.0005990650385153,5.005279979944333,-0.34021525588408835,0.00012190826049342609,-0.00010031804625490907,-0.9403475712407565,-0.004301452161619312,0.002233138548108809,-0.01292004571187016,0.00035236863311638444,-5.5670304988097996e-05,0.019903174688806757,22726,917000000,7.19,0,2,2,-1.8988853249334088,-0.6438125284775482,4.997628951819938,-1.8988853249334088,-0.6438125284775482,4.997628951819938,0.9068243503570557
0.0,0.0,5.0,0.1897208292025006,-2.001064917521928,5.001723348570062,-0.33730853236844355,9.70802867744411e-05,-0.00014116637306150372,-0.9413941388382019,0.0004939974338501052,-0.0012495177870898804,-0.009125524211499864,0.00024977503585432714,-6.539586010489984e-05,0.018672140686248895,22727,252000000,6.75,0,2,2,-1.8978946056406836,-0.6434337998551258,4.996279560528472,-1.8978946056406836,-0.6434337998551258,4.996279560528472,1.354926347732544
-0.002291386001864737,0.07066929128722992,5.08972966070103,0.1896209757053174,-1.9996229810550656,4.9993422578468865,-0.3342365464268996,7.495055553296984e-05,-0.00015959136325763727,-0.9424892041533578,0.004532842376825566,-0.00429305942470704,-0.004180109283094957,1.2764538492859856e-05,-0.0001271537101388276,0.01748467857396463,22727,573000000,6.36,0,2,2,-1.896122791044148,-0.6428703333785615,4.998398479017329,-1.896122791044148,-0.6428703333785615,4.998398479017329,1.8374218940734863
-0.009160726391858276,0.14123938972314432,5.179278617806867,0.18899226972249414,-1.9959880468713997,4.999807312280871,-0.33153297840871054,7.045172914820718e-05,-3.3155933976304245e-05,-0.9434436274439969,0.016126813262982577,-0.013576212362530097,0.01352805631478273,-0.0015975937230905402,-0.0006112882203979098,0.015841285494389012,22727,917000000,5.93,0,2,2,-1.891264616442462,-0.6414199381041951,5.014257207344145,-1.891264616442462,-0.6414199381041951,5.014257207344145,2.3154234886169434
-0.020593580356818464,0.21161144053362013,5.268466531635311,0.1864398663136634,-1.9838431675237835,5.010756968419024,-0.32920680169012145,3.674439134306365e-05,0.0002916682348343368,-0.9442578012918141,0.043674537059913796,-0.036069000594832694,0.05628092943639822,-0.001953888909156376,-0.0011697001013999397,0.012102724394935649,22728,260000000,5.61,0,2,2,-1.882827900760731,-0.6388393966201904,5.048905195797473,-1.882827900760731,-0.6388393966201904,5.048905195797473,2.7925593852996826
-0.03656591995530789,0.28168726406152494,5.357113789597273,0.18021774558095982,-1.9549829912454288,5.042124269648709,-0.32767281112421764,-6.407342962079922e-05,0.0006039585529415312,-0.9447910668389147,0.08501231535262185,-0.07040217308034814,0.12047060320446952,-0.0009926086249834043,-0.0013250054053060012,0.0040444837850373005,22728,612000000,5.63,0,2,2,-1.8704369591488583,-0.6347501916528232,5.106093704515654,-1.8704369591488583,-0.6347501916528232,5.106093704515654,3.2758543491363525
-0.05704419012769257,0.3513696907347439,5.445041867912629,0.17035332789550392,-1.9091136387046177,5.094531565345654,-0.32781356108553944,-0.0001612205462664064,0.0007315990216839215,-0.9447421383315258,0.1271388620588873,-0.10584031465447943,0.18670434621448814,-0.00125269306181508,-0.0011325850096000067,-0.008549443464289652,22728,974000000,6.2,0,2,2,-1.8539277336213849,-0.6286814920458538,5.190162906987848,-1.8539277336213849,-0.6286814920458538,5.190162906987848,3.7631428241729736
-0.0819853924892815,0.4205628929340893,5.53207369113335,0.1562309354147587,-1.8413705356370407,5.174088939641191,-0.33058080185803407,-0.00020730704243630024,0.0008828875385632278,-0.9437772570772638,0.16527627349971732,-0.13838088928061282,0.2505857128769296,-0.001826425773288065,-0.0008885997374363797,-0.02587806502560852,22729,313000000,7.23,0,2,2,-1.8365877494971707,-0.621664433316996,5.287716620956469,-1.8365877494971707,-0.621664433316996,5.287716620956469,4.2513933181762695
-0.1113371926862321,0.4891727127417653,5.618033988749895,0.13990988531788742,-1.7589171899522495,5.273952154686463,-0.33614361909343743,-0.00011391443636652864,0.001123473749787397,-0.9418100616223,0.1899428091334346,-0.15873978756660972,0.29860712196309297,-0.0028945569283678196,0.00029610619662889803,-0.03975626750616357,22729,670000000,8.74,0,2,2,-1.8180551483564054,-0.613572426138335,5.403810577384365,-1.8180551483564054,-0.613572426138335,5.403810577384365,4.746460676193237
-0.14503805103201373,0.5571069845630509,5.702749648162685,0.12202072266948852,-1.6634087050809907,5.394495736935187,-0.3438769548470165,0.0003120045774082404,0.001476251203656711,-0.9390135053664938,0.20044293093148963,-0.16550420612999361,0.3291690045990861,-0.0037489592614292633,0.0023244657768373145,-0.044850683843833394,22730,36000000,10.63,0,2,2,-1.800660785110077,-0.6055885970407154,5.526233625081988,-1.800660785110077,-0.6055885970407154,5.526233625081988,5.228441953659058
-0.1830173760811178,0.6242758516287834,5.786050063307847,0.10640397965906122,-1.576891405436755,5.5090164305106795,-0.3508572187666244,0.0010006165577370867,0.0018946887202899942,-0.9364265165833925,0.19858139698031738,-0.16076788370126352,0.3391571211426242,-0.004892813603873947,0.003403004416213662,-0.03995584083895665,22730,405000000,12.93,0,2,2,-1.7843573540686026,-0.5980654208416506,5.655847665877939,-1.7843573540686026,-0.5980654208416506,5.655847665877939,5.692711114883423
-0.22519570073643536,0.6905920754040427,5.867767478235116,0.0904649173086646,-1.4892090411839134,5.6308083234766535,-0.35665066131263634,0.0018850050050839987,0.0024858409175081975,-0.934232611899372,0.18793568340525618,-0.14766688394069127,0.33252667993570995,-0.005236773131400696,0.0033823822377598844,-0.026183267073065508,22730,738000000,15.1,0,2,2,-1.7717737342656215,-0.5925619217083496,5.767460979915821,-1.7717737342656215,-0.5925619217083496,5.767460979915821,6.173132419586182
-0.27148488042758245,0.7559713369490784,5.947737324945997,0.0725083397364887,-1.3957963404144746,5.766550879953344,-0.36035094129395817,0.002813344447533663,0.003521660397624898,-0.9328059187792611,0.17224507635034741,-0.13024122588163273,0.31055980563028335,-0.007158876678658999,0.0011759924177567882,-0.011442157028795918,22731,104000000,17.25,0,2,2,-1.7603863647916294,-0.5881224920757945,5.877631207633054,-1.7603863647916294,-0.5881224920757945,5.877631207633054,6.692335605621338
-0.32178831283960463,0.8203325293019702,6.0257985548118125,0.057994827515694486,-1.3055548736214106,5.903140812278678,-0.36048066548468294,0.0038872935447835186,0.004959527354264007,-0.9327454003365757,0.12377922861013965,-0.1306637972829724,0.2811540934049849,-0.006902569612066145,0.004310453095968114,0.015264281410054537,22731,537000000,19.42,0,2,2,-1.7487147386688549,-0.5845536313463024,5.998373895285877,-1.7487147386688549,-0.5845536313463024,5.998373895285877,7.304703950881958
-0.3760011786149793,0.8835980399786463,6.101793962904205,0.066628133808229,-1.2443268105098204,6.005294169674113,-0.35599273235426476,0.005133870787410734,0.0057343316624666515,-0.9344570270066289,0.0458633340034397,-0.1506565800924175,0.25123509519587034,-0.005176052218303084,0.007706160613452084,0.038820433474029414,22731,980000000,21.2,0,2,2,-1.73871684363914,-0.582404399515845,6.103507497265206,-1.73871684363914,-0.582404399515845,6.103507497265206,7.80391788482666
-0.4340107023969413,0.9456940227146827,6.175570504584947,0.09775056228821247,-1.204348688296817,6.081568812884718,-0.3490311226592582,0.006210014666415775,0.005995350455916742,-0.9370713777007444,-0.02489238323466194,-0.1712900028159856,0.21935981086780315,-0.0024142825395756518,0.004195026167508331,0.05400702575570904,22732,360000000,22.15,0,2,2,-1.7311257852670618,-0.5810121978220631,6.182601306843078,-1.7311257852670618,-0.5810121978220631,6.182601306843078,8.271672010421753
-0.4956964335288987,1.006550657604654,6.246979603717467,0.16125363589066702,-1.1638574005584128,6.161627033196164,-0.33739978512907765,0.0066053069093694045,0.00662696856454755,-0.9413149516517464,-0.08083563775523603,-0.19453787157106978,0.17523490022901286,-0.004432397554410272,-0.0012896376233584306,0.06996717638685368,22732,684000000,22.51,0,2,2,-1.7338528327953862,-0.575776622825195,6.243992781780743,-1.7338528327953862,-0.575776622825195,6.243992781780743,8.753774881362915
-0.5609305456733971,1.066102398828617,6.315877451879425,0.2311581527160255,-1.1274134872692487,6.21997046720828,-0.32549883188200346,0.006106577799496275,0.007751630698719156,-0.945490947800422,-0.0817291803006177,-0.20989010940567465,0.14359542215365237,-0.005018791443944792,-0.008929266368795652,0.0634512078249827,22733,81000000,22.47,0,2,2,-1.7661168859637957,-0.5563724346738815,6.318274258558184,-1.7661168859637957,-0.5563724346738815,6.318274258558184,9.250471353530884
-0.6295781545646726,1.1242882091915054,6.3821252979737295,0.28710633661268103,-1.0854290767388404,6.264027592688444,-0.3176323206716582,0.004412584564075188,0.008854230628254802,-0.9481623492641875,-0.015402960988259395,-0.21150465581132027,0.12619868666886794,0.0008815855210286827,-0.01853449211921543,0.025349455609102733,22733,447000000,22.19,0,2,2,-1.8236270618165304,-0.5263599491115111,6.383741748005176,-1.8236270618165304,-0.5263599491115111,6.383741748005176,9.727570056915283
-0.7014976530615584,1.1810517807396756,6.445589727654783,0.31468635890536034,-1.024010706205042,6.304217647189065,-0.3175858881808045,0.0014579018640589539,0.010040240695472992,-0.9481752326006734,0.10959032089073287,-0.20607027729485874,0.11847094385592907,-0.004223433961669798,-0.018924014329968486,-0.02628668135002954,22733,772000000,22.29,0,2,2,-1.8793918468294561,-0.4962615089881045,6.439376650453881,-1.8793918468294561,-0.4962615089881045,6.439376650453881,10.190922737121582
-0.7765410626225826,1.2363417407594561,6.506142932007222,0.3086400056880802,-0.9323981917430051,6.345824947877686,-0.3252492831061135,-0.0005820825591065773,0.011777046493524648,-0.9455547928040673,0.2423663662108891,-0.20483369388876022,0.11679522659723758,-0.00876206631801324,-0.011323345370328752,-0.06703885374008678,22734,96000000,23.47,0,2,2,-1.9213188419268157,-0.46836990500535547,6.4902348534086265,-1.9213188419268157,-0.46836990500535547,6.4902348534086265,10.653227090835571
