x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-1.5316228764764785,0.8540079786743717,4.910390153652611,-0.9318137505268713,-0.0015346510517236015,0.00020690425503071242,0.3629335150765554,0.0003131068609620588,0.030850908537186868,2.6242032772911037e-05,-0.0009708651646178623,-0.002567138903941668,-0.016095262799353804,30123,893000000,5.33,0,2,1,-0.03098223801952631,-0.8031080985571757,4.91525290732662,-0.03098223801952631,-0.8031080985571757,4.91525290732662,8.96453857421875e-05
0.0,0.0,5.0,-1.5203877013933367,0.8571230684689817,4.910501751359904,-0.9308579145732159,-0.0012578848519192035,0.000532075569512584,0.3653788136957192,0.03342147739916636,0.02781961316289567,0.0004384317449917997,-0.0006962429267787229,-0.0022213619104149984,-0.014019812533661025,30124,258000000,4.94,0,2,1,-3.6460128918253236e-05,-0.8174186254391387,4.915252822185291,-3.6460128918253236e-05,-0.8174186254391387,4.915252822185291,0.5224471092224121
0.0,0.0,5.0,-1.5025278151781158,0.8528947476416868,4.910732563473499,-0.9300720333438134,-0.0010296806585041905,0.0008057004435425608,0.3673748812810168,0.05845244688352201,0.025781014913199125,0.0006708482451474223,-0.0006704118447942164,-0.0017381101656610554,-0.010605585066514323,30124,607000000,4.62,0,2,1,0.019385944851382543,-0.8220389015047114,4.915275437576357,0.019385944851382543,-0.8220389015047114,4.915275437576357,1.03403902053833
0.0,0.0,5.0,-1.4783155213148351,0.8424527023210815,4.91103063724226,-0.9294685579077091,-0.0008478392028773369,0.001021304581963785,0.36889895359922087,0.07740942388001568,0.02418092670478894,0.0006702973662155064,-0.0003062026934230744,-0.0012666123552662611,-0.007626496790180681,30124,953000000,4.36,0,2,1,0.03286946673689395,-0.8208476139852695,4.915359224074141,0.03286946673689395,-0.8208476139852695,4.915359224074141,1.551905632019043
0.0,0.0,5.0,-1.4504048549274984,0.827768281247001,4.911317457202271,-0.9290250142883119,-0.0007330752380747469,0.001182321703069993,0.3700143072135012,0.08999158209650225,0.023138747626872284,0.0005732168220400238,-0.00021648950507824338,-0.0008738498934235395,-0.005585756798609509,30125,311000000,4.17,0,2,1,0.04226839549428805,-0.8149060009496698,4.915464477149652,0.04226839549428805,-0.8149060009496698,4.915464477149652,2.0654795169830322
0.0,0.0,5.0,-1.4218153128454658,0.8113354447375664,4.911574321743945,-0.9287166772277073,-0.0006575891048871941,0.0012851353024290434,0.3707873372203398,0.09759778569240543,0.022505282633557427,0.0005058476984441168,-0.00015714235388486486,-0.0005927533607064106,-0.004078879464941565,30125,670000000,4.03,0,2,1,0.04790081059655678,-0.8054002931278371,4.915567251043284,0.04790081059655678,-0.8054002931278371,4.915567251043284,2.5641186237335205
0.0,0.0,5.0,-1.391925427977926,0.793344078771482,4.911814686186274,-0.9284931144635639,-0.0005931417922120244,0.0013521513500342679,0.37134667934868093,0.10211722193503878,0.022021642707143733,0.00037456058992017095,-0.00028339303526081494,-0.0004609794103771492,-0.003038376667063858,30126,5000000,3.95,0,2,1,0.050612126577782114,-0.7940995819572236,4.91562466136404,0.050612126577782114,-0.7940995819572236,4.91562466136404,3.0636632442474365
0.0,0.0,5.0,-1.3540589918797503,0.769885627990054,4.9120314160754734,-0.9282884636611455,-0.0005163972924489162,0.001411185697983421,0.3718578627949019,0.10490661856881278,0.021581705398223558,0.00013756675195713443,-0.0001891501867135048,-0.0003247606116474344,-0.002180056799261365,30126,356000000,3.88,0,2,1,0.051408518276057004,-0.7804268784452852,4.915695108129729,0.051408518276057004,-0.7804268784452852,4.915695108129729,3.590815782546997
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.3121911006508924,0.743449076148963,4.912179005504213,-0.9281154041555773,-0.00046139182920823367,0.0014532064349017755,0.3722895000906776,0.10569706798968578,0.020964206238373445,-5.0523840467342875e-05,-0.00012065557655205339,-0.00020047873192652332,-0.0019610939034464536,30126,765000000,3.86,0,2,1,0.050562822675045915,-0.7638542376631432,4.9157935381651,0.050562822675045915,-0.7638542376631432,4.9157935381651,4.181888580322266
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.2616210391443998,0.7120150382919168,4.912733961804219,-0.9280154223969901,-0.00048219525808642326,0.001478975204494699,0.37253852943476035,0.09079245448970413,0.021772718783067625,0.0021278338847378147,0.0001816850243585577,0.00010516721644648896,0.00037185162113928527,30127,235000000,3.84,0,2,1,0.048079554428723414,-0.7437555072137105,4.915927122900162,0.048079554428723414,-0.7437555072137105,4.915927122900162,4.856539249420166
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.234392741030005,0.6979043716176497,4.914131900268476,-0.9281106477022818,-0.000635337352351355,0.0013630802568285565,0.37230144235593926,0.051109599057227915,0.024603744865513824,0.005388689354527196,0.0009090761523111723,0.0025479281930529396,0.0033246218436033814,30127,809000000,3.85,0,2,1,0.043630076201129804,-0.7172396966062203,4.916671717989464,0.043630076201129804,-0.7172396966062203,4.916671717989464,5.370511770248413
