x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-0.37493178231367424,1.3726198780463321,4.890087105314074,-0.7811603649577509,-0.001786634289022821,0.0017169828428479712,0.6243255113535789,-0.09280728469559245,0.04310747036150313,0.0011704238724209353,-0.0001222853299509552,0.0024688529265404213,-0.023939671518746763,19,994000000,8.73,0,2,1,-0.21195236686869046,-0.6305074173070689,4.9987771364240885,-0.21195236686869046,-0.6305074173070689,4.9987771364240885,4.76837158203125e-05
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.3719230779798512,1.3858747824637387,4.890323787273296,-0.7802011771679399,-0.0018392103908022347,0.001588890437424632,0.6255239530809963,-0.0792351252097443,0.03998547659366389,0.002082150027988867,-0.0008343112710917922,0.0013811157259624451,-0.01977337360585807,20,155000000,8.49,0,2,1,-0.20514792468854587,-0.6481909855968939,4.998491979868298,-0.20514792468854587,-0.6481909855968939,4.998491979868298,0.16465258598327637
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.3697065234533646,1.393642884831284,4.890604829770016,-0.7796274130173174,-0.0018277005227579958,0.0015224065179937861,0.6262391225890619,-0.062172912456229155,0.03700112829337516,0.003208420589526799,-0.0015177266277532908,0.00036667427423253685,-0.017008405120577663,20,280000000,8.3,0,2,1,-0.19933405600207066,-0.6638539232765137,4.998333347106402,-0.19933405600207066,-0.6638539232765137,4.998333347106402,0.2819805145263672
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.3678337103655957,1.398297758568146,4.890927583301464,-0.7792323527759439,-0.0017709870487002401,0.0014897120545244505,0.6267308710683832,-0.04390301207471971,0.034181825325215104,0.004380659073048005,-0.0016069633034021535,-0.0005914047562782798,-0.014922207719791913,20,377000000,8.18,0,2,1,-0.19538697500902052,-0.6734232487590441,4.9981778543616935,-0.19538697500902052,-0.6734232487590441,4.9981778543616935,0.3897991180419922
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.3658612090529829,1.4015246332074318,4.891382130741477,-0.778878100453622,-0.0017029704586742397,0.001483037175186586,0.6271712725612606,-0.026686600728745846,0.03165405617144836,0.006513118961005743,-0.0013404734431787801,-0.0010983654533447407,-0.013598633995570708,20,464000000,8.1,0,2,1,-0.1923627265575951,-0.6798777652418445,4.998026215181484,-0.1923627265575951,-0.6798777652418445,4.998026215181484,0.49663662910461426
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.36325845004888085,1.4036834332967854,4.892197426061589,-0.7784751213541444,-0.0016036120342916918,0.0014872025175294273,0.6276716514944457,-0.0066959576064719185,0.028805945209587756,0.009249753959400201,-0.0015865885643506772,-0.0013906022104492877,-0.012271148534637177,20,555000000,8.02,0,2,1,-0.1894537783020574,-0.6852462306146863,4.997917041090494,-0.1894537783020574,-0.6852462306146863,4.997917041090494,0.6000950336456299
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.36106890016882887,1.404014770848659,4.893039741423316,-0.7781783473880642,-0.0015211281195274785,0.0014987410008431878,0.6280397277251156,0.008169940524385477,0.02682651076348528,0.011289268796624952,-0.0013269733130982786,-0.0015642449511688028,-0.011514435936987866,20,644000000,7.93,0,2,1,-0.18596639481600136,-0.6905139009071435,4.9978493979499765,-0.18596639481600136,-0.6905139009071435,4.9978493979499765,0.7127282619476318
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.35820265922087835,1.4028500312263008,4.8943598656463,-0.7778285806469266,-0.001420816869602191,0.0015221086241847973,0.6284730412623493,0.024638551795278168,0.024693566397624513,0.014736914791915537,-0.0012217224252708547,-0.0016035044382078922,-0.0108758064925496,20,736000000,7.87,0,2,1,-0.18328532187848273,-0.693650843995565,4.997847844338315,-0.18328532187848273,-0.693650843995565,4.997847844338315,0.8185524940490723
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.35581744126583076,1.4007907647550306,4.895676619203969,-0.7775630944702352,-0.0013429967966575188,0.0015429293592199918,0.6288015981583288,0.0365792988744549,0.023168435839575178,0.01756746302779054,-0.0011519409213178733,-0.0016038684634622768,-0.010318301337974845,20,820000000,7.78,0,2,1,-0.18005673242977052,-0.6963040183984325,4.997940455198873,-0.18005673242977052,-0.6963040183984325,4.997940455198873,0.9278881549835205
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.3533579886570778,1.3978138876225212,4.897212213125094,-0.7773078806302982,-0.0012701970893490922,0.0015677080870066325,0.6291171493456065,0.047523634995030574,0.021771170427163263,0.020213099131138716,-0.000914654964390138,-0.0016181634009626578,-0.010081970049213851,20,898000000,7.72,0,2,1,-0.17756175339064792,-0.6974376616132175,4.998158529853478,-0.17756175339064792,-0.6974376616132175,4.998158529853478,1.0315990447998047
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.3514693314750862,1.3950272948335787,4.898498530155753,-0.7771189575169343,-0.0012174947470137258,0.0015879976559655784,0.6293505556029791,0.0551026194927694,0.020819761081827495,0.022074468457213052,-0.0009971042459255841,-0.0016063023053902725,-0.009943721215677215,20,980000000,7.66,0,2,1,-0.1751393390528438,-0.6977475762844719,4.998509581512568,-0.1751393390528438,-0.6977475762844719,4.998509581512568,1.1299402713775635
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.34889677012538145,1.3906341612292126,4.900380954199035,-0.776871134340466,-0.0011460601115570628,0.0016125123205071536,0.6296565150769062,0.06438614073998153,0.01964598638147084,0.02437875974380751,-0.0009766583843884291,-0.0015701239931331656,-0.009808256254473235,21,49000000,7.62,0,2,1,-0.17336852896875238,-0.6974717597873006,4.998854395109777,-0.17336852896875238,-0.6974717597873006,4.998854395109777,1.230154037475586
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.3462721517328389,1.385540598895394,4.902448245150593,-0.776624634525481,-0.0010772416393928408,0.001637292670237189,0.6299605827917532,0.07247780450196775,0.01861961259444698,0.026908153890468044,-0.0009137031497630232,-0.0015351075148828386,-0.009773081274033757,21,124000000,7.56,0,2,1,-0.17106416870138227,-0.6964692487343017,4.999416894972691,-0.17106416870138227,-0.6964692487343017,4.999416894972691,1.3302762508392334
