x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.3104798072982258,1.1734596469877558,4.9144416035752965,-0.871449199030101,-0.0006010025926843328,0.002010758180056027,0.490481283187463,0.11174275228950603,0.030484699219764815,0.00033680607774942396,-1.5533253971966587e-05,1.0992315670286384e-05,0.0008189271113678842,32073,475000000,3.37,0,2,1,-0.35774105474297235,-0.6519906120329622,4.919036809062147,-0.35774105474297235,-0.6519906120329622,4.919036809062147,7.271766662597656e-05
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.2830552587919979,1.1484420581882882,4.914730951780294,-0.8715909197398816,-0.0006245440212067066,0.001988074001398733,0.4902294627350724,0.09893324583722209,0.03092240827173129,0.0010649050810949583,0.00014818023856832951,0.00013666816016666417,0.002006797672038374,32073,732000000,3.37,0,2,1,-0.35774105474297235,-0.6519906120329622,4.919036809062147,-0.3492151568496298,-0.6435420955598424,4.919114901712922,0.4485328197479248
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.2566195875814141,1.126690637247009,4.915701790592496,-0.8718639496477728,-0.00072344793528308,0.0019606030844014828,0.4897436941536014,0.07369444429276237,0.03233356132410579,0.004252204267302678,0.0007229377956718963,0.001142105440976593,0.005825830658068298,32073,990000000,3.43,0,2,1,-0.341278855588387,-0.6331658150811903,4.919368123709956,-0.341278855588387,-0.6331658150811903,4.919368123709956,0.914421796798706
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.2392454736149416,1.117439410564301,4.917602945834771,-0.8723804551181543,-0.0009310368059401901,0.0017920901806852923,0.4888233455054004,0.03633261470800812,0.03450819861117183,0.007723577517581322,0.0006653551281488035,0.002725955710047856,0.007611513092342648,32074,249000000,3.51,0,2,1,-0.341278855588387,-0.6331658150811903,4.919368123709956,-0.33389280929842585,-0.6205135748051915,4.920742035566683,1.3022277355194092
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.22920604081281,1.1187654718729403,4.920023954462081,-0.872859538287234,-0.0012063613963710126,0.0014610801754036992,0.487967864062685,-0.002449928097657098,0.03673430982266051,0.010743450808042341,0.0006468899641731696,0.003464768428784737,0.0069717286351078656,32074,488000000,3.65,0,2,1,-0.341278855588387,-0.6331658150811903,4.919368123709956,-0.328418012578968,-0.6087399065910782,4.923108930280462,1.623978853225708
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.2236177024497836,1.1285288360904497,4.923402433182633,-0.873229990961483,-0.0014931822003540502,0.001119879710717813,0.4873047292626641,-0.03662221942006258,0.03927543513107138,0.015074628621159289,0.000955947371039656,0.003229580374863872,0.0038915273080419865,32074,747000000,3.78,0,2,1,-0.341278855588387,-0.6331658150811903,4.919368123709956,-0.32410624167294994,-0.5975905407742614,4.926388266369807,1.9408531188964844
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.2218203883456829,1.1425029304682095,4.927255011870479,-0.8733264275401207,-0.0017376554460290395,0.0008751026901471457,0.4871315691975248,-0.06113426360310616,0.04138180965997229,0.019516713630491504,0.0008550594600365002,0.002864813950509415,-0.0001581793558358413,32074,997000000,3.88,0,2,1,-0.3201399586708093,-0.5855525831066175,4.93099340697135,-0.3201399586708093,-0.5855525831066175,4.93099340697135,2.259589672088623
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.2231031067312323,1.1706605008530833,4.934803978680647,-0.8730335037345651,-0.002045741665589564,0.0005488814289862479,0.48765563159586617,-0.09059278491983672,0.044023399052828004,0.02721957216354052,0.0004996388611289149,0.00265178719018877,-0.00723791144991992,32075,230000000,3.9,0,2,1,-0.3201399586708093,-0.5855525831066175,4.93099340697135,-0.3167499594052046,-0.5737465184473448,4.936385481901091,2.656264305114746
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.2274134541090382,1.2032239771915698,4.9441821988301635,-0.872320627954069,-0.0022416750336359294,0.0002719379664806699,0.48892905721444363,-0.10248565495429789,0.04479971227580198,0.03410396733109146,-0.00012627796337483232,0.0017122012764048122,-0.012545293975563254,32075,472000000,3.87,0,2,1,-0.31261688424543027,-0.5585126923506039,4.944712369963712,-0.31261688424543027,-0.5585126923506039,4.944712369963712,3.069668769836426
-0.03942649342761051,0.6266661678215213,5.481753674101715,-1.2317136826247235,1.2391748665693434,4.957064591653917,-0.871086837457887,-0.0022953029034544206,9.73718805726484e-05,0.4911236541960843,-0.08565470503325558,0.04349421542204581,0.04091512726293634,-0.0003783198593509951,0.00042910313311494974,-0.016916334971028846,32075,709000000,3.72,0,2,1,-0.31261688424543027,-0.5585126923506039,4.944712369963712,-0.3048732810324871,-0.5492357237706244,4.954743272922044,3.5177395343780518
