x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.0771742326680828,-1.729387559352875,4.923272627927169,-0.645676959141489,-8.74985685944264e-05,0.0013987482073750165,-0.763609389859274,0.04730688739186858,-0.02452379107136543,-0.00101703255748392,-0.0003713291675921937,0.002906311942751927,-0.006295375033005257,13686,120000000,2.52,0,2,2,-0.49564819490421763,0.18420574002378878,4.916039385968724,-0.49564819490421763,0.18420574002378878,4.916039385968724,8.869171142578125e-05
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.07284544245913455,-1.7219938478927694,4.923100358893581,-0.6462068177036724,0.00022703932503274584,0.0011832041998612384,-0.763161383479444,0.014955666375802248,-0.025381061764145008,-0.0005322035757650143,-0.00042856876518726494,0.0036060844195162645,-0.005969483027001843,13686,365000000,2.61,0,2,2,-0.48912692494335197,0.1825738030099834,4.916142229099478,-0.48912692494335197,0.1825738030099834,4.916142229099478,0.33315300941467285
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.06668275891310019,-1.7211281107762268,4.923328284372276,-0.6466407800031481,0.0005729684305442957,0.0009622382881179528,-0.7627938433427309,-0.013920237039180891,-0.026394815367954426,0.0024400181176255924,-0.0006639522609930282,0.0031149494816418155,-0.0035560760352382204,13686,595000000,2.69,0,2,2,-0.48383620442436204,0.18421669221202386,4.91649298518667,-0.48383620442436204,0.18421669221202386,4.91649298518667,0.6566731929779053
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.05798861092224028,-1.7275885615927373,4.924847404629158,-0.6468312962871751,0.0009281543765147518,0.0007905183735987415,-0.7626321444534102,-0.03959088182700423,-0.027214357482045277,0.008580375174126579,-0.000853270728384814,0.002416707366137416,-1.4010514526319184e-05,13686,823000000,2.75,0,2,2,-0.47969573535929694,0.1940210088741181,4.917373121520331,-0.47969573535929694,0.1940210088741181,4.917373121520331,1.0407090187072754
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.048861188450039214,-1.739106298218164,4.9280201322673935,-0.6467031297382828,0.0011961666288203016,0.0006790912512655125,-0.7627405653347528,-0.05790245979625728,-0.027659988869817725,0.015196440059418347,-0.0004179246332114417,0.0019706770217453595,0.002538469993851322,13687,107000000,2.77,0,2,2,-0.4774070576502504,0.21806437987083113,4.919279889156772,-0.4774070576502504,0.21806437987083113,4.919279889156772,1.400066614151001
-0.05704419012769257,0.3513696907347439,5.445041867912629,-0.039754712368467414,-1.7531853152469998,4.932386606727387,-0.6463671817306994,0.0013724874373212564,0.0005701063734416536,-0.7630250701244817,-0.06196652771975136,-0.027646668472924685,0.020869641968906793,0.0002255999632438943,0.0006891857765367604,0.0053097277486813255,13687,367000000,2.74,0,2,2,-0.47735181568071317,0.25057118358387637,4.922514940101555,-0.47735181568071317,0.25057118358387637,4.922514940101555,1.738856554031372
-0.05704419012769257,0.3513696907347439,5.445041867912629,-0.03296174544170711,-1.7614176829049581,4.937186728172705,-0.6458151545065819,0.0012992104089649594,0.0005929841234777008,-0.7634924666503148,-0.032325569043993946,-0.026001375303430475,0.026588387617660397,0.00030834445681193756,-0.0014961348597353208,0.008438270742772147,13687,599000000,2.68,0,2,2,-0.47831033984653676,0.28537881860429165,4.926974074731611,-0.47831033984653676,0.28537881860429165,4.926974074731611,2.0651533603668213
-0.0819853924892815,0.4205628929340893,5.53207369113335,-0.026163070251023077,-1.7630385322633269,4.945323795257914,-0.6448870245435349,0.0010836065179955533,0.000719207500902786,-0.7642768046414014,0.008312672973109421,-0.023848185140490426,0.03523684717209088,0.00046758167684401997,-0.0018408780988465878,0.009807703827391379,13687,816000000,2.57,0,2,2,-0.478716643492926,0.314529685114456,4.93250835616437,-0.478716643492926,0.314529685114456,4.93250835616437,2.412123203277588
-0.1113371926862321,0.4891727127417653,5.618033988749895,-0.021749622448008866,-1.756208449402205,4.954650201438498,-0.6439832171654805,0.0009109073133666823,0.0007938912078756907,-0.7650386630712294,0.03928505363159243,-0.022337538719756838,0.042248813477549454,0.00042845150858283887,-0.001315265467383142,0.009482990208198316,13688,68000000,2.44,0,2,2,-0.47811427403758144,0.34078749636853944,4.9399243932277805,-0.47811427403758144,0.34078749636853944,4.9399243932277805,2.7549796104431152
-0.1113371926862321,0.4891727127417653,5.618033988749895,-0.019047237226841984,-1.7440913896481338,4.964785754165693,-0.6432501208816874,0.0007746638880074565,0.0008501398439719184,-0.7656552482310826,0.06317512535844053,-0.02109337907033788,0.049512876378175995,0.00038771115669078426,-0.001260916599221673,0.007954339162097313,13688,302000000,2.3,0,2,2,-0.4764892365535502,0.3615595819982766,4.94892136202974,-0.4764892365535502,0.3615595819982766,4.94892136202974,3.0958611965179443
-0.14503805103201373,0.5571069845630509,5.702749648162685,-0.017434251555492174,-1.7273073719486722,4.976593102132447,-0.6426684869472399,0.0006312205511388386,0.0009138422597911168,-0.7661435781483033,0.08291621597619593,-0.02010995684182939,0.057158020234264174,0.0006045786449249135,-0.001382194432153483,0.006024650974723045,13688,527000000,2.19,0,2,2,-0.4743393647675335,0.37670630493354146,4.958797936018808,-0.4743393647675335,0.37670630493354146,4.958797936018808,3.438138723373413
-0.1830173760811178,0.6242758516287834,5.786050063307847,-0.016649697007961057,-1.7027474218568752,4.992517541759272,-0.6421945758760083,0.00043171879949907604,0.0009682029506884924,-0.7665409336215244,0.10073681703550459,-0.019104948310702023,0.0649662647484435,0.0006161999635878601,-0.0014820732076259446,0.0038694464365107706,13688,755000000,2.11,0,2,2,-0.47173659920326355,0.3889715643060297,4.970386650135547,-0.47173659920326355,0.3889715643060297,4.970386650135547,3.78218674659729
-0.22519570073643536,0.6905920754040427,5.867767478235116,-0.016786407066085147,-1.678802660094363,5.007629739905438,-0.6419126324061704,0.00026811450658270885,0.0010208140727493479,-0.7667770591316754,0.11292106598699399,-0.018177517762812876,0.07191736595323582,0.0006736726277267735,-0.0014334946627059253,0.002870886987693666,13688,998000000,2.04,0,2,2,-0.46824740880821386,0.40058034418723515,4.986093704949792,-0.46824740880821386,0.40058034418723515,4.986093704949792,4.123473644256592
-0.22519570073643536,0.6905920754040427,5.867767478235116,-0.017585904335609137,-1.652528039936558,5.0243441970630665,-0.6417153881607185,9.7846154812765e-05,0.001068304464377412,-0.7669421162965557,0.1228640196521327,-0.017080151536873714,0.07930997433287931,0.00071087446826823,-0.001427894369498972,0.0019817498014162993,13689,233000000,2.0,0,2,2,-0.4651108346767252,0.4085958099933628,5.001134688027056,-0.4651108346767252,0.4085958099933628,5.001134688027056,4.46553373336792
-0.27148488042758245,0.7559713369490784,5.947737324945997,-0.019476923793888438,-1.6164209138830161,5.048010463318351,-0.6415410017569381,-0.0001259475648687315,0.0011206041363813072,-0.7670879163748343,0.13270776180036142,-0.015615643012423384,0.08858389343616399,0.0007971639604420488,-0.001289571389406774,0.0013378357039073308,13689,453000000,1.98,0,2,2,-0.4619242852256292,0.41546990413509854,5.017869717763891,-0.4619242852256292,0.41546990413509854,5.017869717763891,4.840001821517944
-0.32178831283960463,0.8203325293019702,6.0257985548118125,-0.02211635007204199,-1.578164008165946,5.074009188613243,-0.6414186454197986,-0.0003003184287775616,0.0011298089338661586,-0.7671901685035104,0.13815864621478555,-0.014456982081273393,0.09643611887454664,0.0007964189705944591,-0.0009595914434612496,0.000943901289929272,13689,732000000,1.96,0,2,2,-0.45786146249106774,0.42302966602287745,5.041311031576155,-0.45786146249106774,0.42302966602287745,5.041311031576155,5.244779348373413
-0.32178831283960463,0.8203325293019702,6.0257985548118125,-0.025343201562005514,-1.5371190860687332,5.104374890723407,-0.64134499586902,-0.0004974301838941645,0.001129293215687135,-0.7672516363839257,0.12996986123698123,-0.013298669281572015,0.10539262160915733,0.0011327276411066123,-0.0012433227198016539,-0.00010771385916541476,13690,11000000,1.96,0,2,2,-0.453987862429352,0.42985519739600925,5.067168652920016,-0.453987862429352,0.42985519739600925,5.067168652920016,5.685085296630859
-0.3760011786149793,0.8835980399786463,6.101793962904205,-0.02775539923255275,-1.501973435466799,5.137491707885191,-0.6414382327949212,-0.0007674496191117846,0.0011400236543373482,-0.7671734516236065,0.1005148674186295,-0.012812537859712269,0.11420239172276607,0.0012349546864243166,-0.0013758917248196667,-0.0015647847249056213,13690,310000000,1.96,0,2,2,-0.45019147074374816,0.43685931170486714,5.097516229812903,-0.45019147074374816,0.43685931170486714,5.097516229812903,6.10813307762146
-0.4340107023969413,0.9456940227146827,6.175570504584947,-0.028224153635656474,-1.4777787914893763,5.1730109365063806,-0.6416621611564985,-0.0010413300742777465,0.0011448108951558225,-0.7669858381871613,0.06008913818681586,-0.012704456456651941,0.1220424790776109,0.0011445836889834027,-0.001268963853817695,-0.0019173333839717088,13690,605000000,1.99,0,2,2,-0.44685944156112467,0.44384898808371787,5.130303583642479,-0.44685944156112467,0.44384898808371787,5.130303583642479,6.514010667800903
-0.4956964335288987,1.006550657604654,6.246979603717467,-0.027235771703665118,-1.4676319479429363,5.20055845780643,-0.6418085340936953,-0.0012260074756493108,0.0011505659811768176,-0.7668630768710242,0.03207761321249318,-0.012443342403242647,0.12781371420793658,0.0009472557962908468,-0.0012377372399896558,-0.0013425436918623745,13690,902000000,2.04,0,2,2,-0.4441538019475401,0.45118319370573934,5.165587586253109,-0.4441538019475401,0.45118319370573934,5.165587586253109,6.852797269821167
-0.5609305456733971,1.066102398828617,6.315877451879425,-0.025354376537377626,-1.46302697066032,5.229374672748278,-0.6418499350551141,-0.001360321030685806,0.0011416578622943515,-0.766828212192121,0.008973396705848204,-0.011800742417691948,0.13368700399212452,0.0007601665913625766,-0.0006033420447693061,0.00016282961823321784,13691,133000000,2.07,0,2,2,-0.4425636007385569,0.45693406508724016,5.192784966393207,-0.4425636007385569,0.45693406508724016,5.192784966393207,7.187812328338623
