x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,time
0.0,0.0,5.0,-0.08476520164641403,1.181671060543545,4.962593770067945,-0.7285077848734832,-0.0006877084579158534,8.971236884713956e-05,0.6850371715370623,-0.021313099780106252,0.005102513991281713,0.0017222093497951975,-0.00031351484892638837,-0.001596710285411973,-0.0021055254592283745,27,378000000,1.18,0,2,1,0.01033426777422886,-0.9093249245030619,4.987679244055514,3.695487976074219e-05
0.0,0.0,5.0,-0.08452136831830463,1.1825369993504045,4.9627106935089795,-0.7284660414871916,-0.0006466552367404716,0.000120120403345838,0.6850815964599212,-0.009134039787368955,0.0048340577693425524,0.002080249820727941,-0.0002961320092254027,-0.0017184175135298574,-0.001985600442822033,27,451000000,1.17,0,2,1,0.010756974355402637,-0.9114926075036003,4.9876132263509705,0.1054069995880127
0.0,0.0,5.0,-0.08415276561057164,1.18259261117315,4.962894512468679,-0.7284137050648046,-0.0005885594094507978,0.0001645572975503269,0.685137286091248,0.006220773742302492,0.004494909784326151,0.0024554486753005558,-0.0003578135874704458,-0.0018586433156997373,-0.0018424689528728777,27,516000000,1.15,0,2,1,0.010756974355402637,-0.9114926075036003,4.9876132263509705,0.2066664695739746
0.0,0.0,5.0,-0.08384685976434121,1.1818539017388832,4.96305201467764,-0.7283777986637477,-0.0005403940974115433,0.00019734530536059751,0.6851754895227956,0.01707447017177522,0.004231479896482981,0.0027472243077839927,-0.00043334111978765577,-0.0019120041997666704,-0.001690944088750257,27,580000000,1.14,0,2,1,0.010756974355402637,-0.9114926075036003,4.9876132263509705,0.3180503845214844
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.08351654761284241,1.1804850559320088,4.963226390919169,-0.7283433518731314,-0.0004917531118493704,0.00023047031335774698,0.6852121327330124,0.027339191834358713,0.004018598621346091,0.0030262606127394375,-0.0004162981809940902,-0.0019096341020485852,-0.001669046389451978,27,651000000,1.12,0,2,1,0.011941649909433928,-0.9143645679842368,4.98741171884514,0.4120774269104004
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.08303925425885281,1.1777404717876367,4.963484130220334,-0.7282980228090713,-0.0004273163419912601,0.000275660081850134,0.6852603384004218,0.04010502939816431,0.00375628032745053,0.003379454172060651,-0.00038623201987775246,-0.0019290780528535834,-0.0016451732108180295,27,714000000,1.11,0,2,1,0.012238762529383858,-0.9140278299745087,4.9873567391034035,0.5108489990234375
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.08278582935402723,1.175998286926903,4.963623439905723,-0.7282755830994552,-0.0003955114822015431,0.00029845745070907154,0.6852841961952472,0.046084627556370314,0.003633547431223427,0.0035483463990150766,-0.0003717710882256142,-0.001911050367198186,-0.00163481175832203,27,777000000,1.09,0,2,1,0.012599378800361119,-0.9127985903756596,4.987287295015731,0.6050381660461426
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.08225051767209804,1.1718283923433856,4.963920913385562,-0.7282323046961459,-0.0003363481325740324,0.0003465061851354643,0.6853301957453333,0.05720890116401397,0.003439352465698079,0.0038386529555477613,-0.0001746059382412568,-0.001868605465915607,-0.0015208309946501686,27,832000000,1.08,0,2,1,0.012599378800361119,-0.9127985903756596,4.987287295015731,0.7009758949279785
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.08182603677841215,1.1681637243108944,4.964192495694687,-0.7282020462732253,-0.00029276963595813475,0.00038039196921718367,0.6853623489741594,0.06429999456042035,0.0033125980044436355,0.005040994179419869,-0.0003212402731378461,-0.001776730698566098,-0.0014416107092074526,27,898000000,1.07,0,2,1,0.012599378800361119,-0.9127985903756596,4.987287295015731,0.8075888156890869
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.08138487865374394,1.1640966353938702,4.964541757901212,-0.7281731301191647,-0.00025329804759337873,0.00041321848337107524,0.6853930680004299,0.07075605042231906,0.0031946068955694905,0.006348861114750913,-0.00016358702055185859,-0.0016394668364227982,-0.001386938231462409,27,968000000,1.05,0,2,1,0.013273640069439636,-0.9070535019178227,4.987206942599473,0.9226303100585938
