x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,time
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.6058577530287109,-1.674447040893631,4.9495626829938715,-0.8191247028324089,-8.976791624950724e-05,0.0008276717647890206,-0.5736148778674492,0.1525462523563287,0.00150817559554265,0.005391864103064437,-9.646378473782136e-07,-0.0016273218875539897,7.155122760948984e-06,5273,807000000,1.15,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,4.696846008300781e-05
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.5987665666010364,-1.6542389351068347,4.950357581453347,-0.8191284431273714,-0.00014313713137213316,0.0008844091152099955,-0.5736094411635909,0.11591870471199332,0.0015567547351881981,0.004144068054770952,0.00016809538863071793,-0.0004313792828725127,-0.00014594100861131665,5273,994000000,1.12,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,0.29160189628601074
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.5944152999835479,-1.641570792897052,4.95099614889816,-0.819133717643844,-0.00013691168849946103,0.0008693527045182223,-0.5736019334870128,0.07605667205772589,0.001989888087993549,0.005246112388548507,-3.21952956738869e-05,0.000925627739434276,-8.205835513308557e-05,5274,156000000,1.1,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,0.5440230369567871
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.5921345565424478,-1.6343666921555442,4.951890262116448,-0.819135730488611,-7.452451854571767e-05,0.0007845894365272421,-0.5735991927316509,0.03453029584087876,0.0025250809775039036,0.007235135122794142,-3.6555389471004673e-05,0.002025863545895845,-3.171912901223095e-05,5274,296000000,1.11,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,0.8028357028961182
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.5919886139571382,-1.6325773098722147,4.953366667202448,-0.8191417054986656,2.4208020939043477e-05,0.0006239697155595344,-0.5735908614931928,-0.009079245746974407,0.00349471177527921,0.011851057547904588,0.0003099529919836641,0.0024914572804846102,-0.000312810806235575,5274,431000000,1.13,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,1.0825378894805908
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.5942446794496982,-1.6367741549585733,4.955986408000464,-0.8191633372643283,0.00010407529064141837,0.00043843409180093363,-0.5735601309591254,-0.046527539400091286,0.0050099614958439755,0.021091298005676697,0.0005927031679675565,0.0023984768176887883,-0.0005827917220813106,5274,589000000,1.17,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,1.347555160522461
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.5973579008432849,-1.643333257009703,4.958988951190259,-0.8191876301826726,0.00016219469198806326,0.0003092690929863385,-0.5735255047521484,-0.07147393738254759,0.006234808468297086,0.028351407691905438,0.0003244599270146864,0.0022687209593641455,-0.000833316613579882,5274,739000000,1.2,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,1.5992212295532227
-0.05704419012769257,0.3513696907347439,5.445041867912629,-0.602344874098589,-1.6541309746289958,4.963638448163955,-0.8192292504531863,0.00022791667506534414,0.00017307936559713931,-0.5734660873141783,-0.09402820464056799,0.007891722676142032,0.03827650498282168,0.00040238038536699605,0.0020412291632965207,-0.0012906867254969256,5274,872000000,1.22,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,1.8570325374603271
-0.05704419012769257,0.3513696907347439,5.445041867912629,-0.6091999955356049,-1.6687555193396664,4.970857708267953,-0.8192979758211628,0.00029480284537067736,3.108259589492185e-05,-0.5733678914453614,-0.10205995745156782,0.009785908417428399,0.05108667590997849,0.00026676097775180097,0.0019089386228188232,-0.0015899517393336282,5275,6000000,1.23,0,2,2,0.08183916833149137,0.20251283942721945,4.991757024116532,2.1616928577423096
-0.0819853924892815,0.4205628929340893,5.53207369113335,-0.6152933987724319,-1.6810600252965895,4.9789455943765395,-0.8193584687761315,0.00033828449658818887,-8.284117964231115e-05,-0.5732814128730943,-0.09090511031381908,0.011666675760508364,0.06390859693950238,0.00048114713706581824,0.0014485232327388076,-0.0013776270066045981,5275,172000000,1.25,0,2,2,0.09109318197952443,0.23595377022748767,5.014136333747861,2.412903308868408
