x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-1.4079041404712995,1.4205915118608006,5.000248104085648,-0.6794541863986161,-2.8628697819164385e-07,-8.69371303013771e-06,0.7337179352515051,-1.1439797758355344e-05,-7.673678292982026e-06,-0.00047709527894594693,1.2137891580721316e-05,8.487654667987954e-06,-0.001358471263301908,33,591000000,0.28,0,2,0,-1.620067559958928,-1.1730178493135655,5.0003994654902515
0.0,0.0,5.0,-1.4079047803624034,1.420592654019243,5.000203354218723,-0.6794043553331299,-6.177898818477231e-07,-8.24130262389825e-06,0.7337640778111676,-1.0455646168775599e-05,-6.917593190627359e-06,-0.0004238334824690793,1.0592822263788548e-05,-7.70644073000426e-06,-0.0013581107623394928,33,653000000,0.28,0,2,0,-1.6200690394710064,-1.1730186312689812,5.000381435572455
0.0,0.0,5.0,-1.4079054639392983,1.4205938947883754,5.000156394661888,-0.6793445705139811,-4.395400845033344e-07,-7.260656604259062e-06,0.7338194290561295,-9.38598400374595e-06,-6.107671353777533e-06,-0.0003645743724295464,9.459173710979485e-06,-1.6765791599482327e-05,-0.0013577329355030088,33,754000000,0.27,0,2,0,-1.6200714462230807,-1.1730199160930455,5.000340626418962
0.0,0.0,5.0,-1.4079057744797816,1.420594466403102,5.000135500336306,-0.6793146819315291,-2.2860131089063366e-07,-6.690918102237637e-06,0.7338470977441042,-8.893469254419972e-06,-5.738884103581822e-06,-0.00033673041293326574,8.938371287570135e-06,-1.883086646614629e-05,-0.0013575889397543506,33,857000000,0.26,0,2,0,-1.620073981746369,-1.1730212922580698,5.000288885641826
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.4079062500877726,1.4205953528011486,5.000104268179207,-0.6792648709694469,2.0715386385806506e-07,-5.708868245901909e-06,0.7338932041068553,-8.130590031861547e-06,-5.172904462864853e-06,-0.0002928043703566857,8.130804474149045e-06,-2.017993772085447e-05,-0.0013574154081652523,33,927000000,0.26,0,2,0,-1.6200751392308321,-1.1730219298614863,5.000265536020278
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.4079065958506847,1.420596006513463,5.0000823420214,-0.6792250235980749,5.880752383571393e-07,-4.9313542513008035e-06,0.7339300833822867,-7.5689688779519815e-06,-4.760456617822031e-06,-0.0002597765730289944,7.53612390269609e-06,-2.0102825715184736e-05,-0.0013573274145528558,34,24000000,0.25,0,2,0,-1.6200769026829147,-1.173022913919026,5.000230760030869
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.407906836556359,1.420596466802295,5.000067586324563,-0.6791951381097372,8.766026487382492e-07,-4.366199796044371e-06,0.7339577401651016,-7.1741983241073954e-06,-4.472779595859137e-06,-0.00023617214919338563,7.118263756211718e-06,-1.964949127852833e-05,-0.0013572848729381803,34,108000000,0.24,0,2,0,-1.6200782047360494,-1.173023651256792,5.000205889180195
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.4079193770264107,1.420611144985105,5.00009074033296,-0.6791470564517683,4.841998383244807e-06,-8.465166422532689e-06,0.7340022313438797,-0.000451439441518576,-0.00045673679358430527,0.0013351962164204465,-0.00031932048898397625,3.6088345467533145e-05,-0.0012004779023300216,34,164000000,0.24,0,2,1,-1.6200791147165785,-1.1730241725140615,5.00018903016764
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.407962371595146,1.4206607778833757,5.000238139871596,-0.6791223644882273,1.0342599078872015e-05,-1.7332132328192328e-05,0.7340250769861659,-0.0009981979113181927,-0.0010109380662323157,0.0032734849367762496,-0.0003427707923719936,8.477104813664482e-05,-0.001091617673409928,34,260000000,0.23,0,2,1,-1.620062295453298,-1.1730074045622723,5.000233451886981
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.4080358571693652,1.4207456056439447,5.000503113030185,-0.6790985975172817,1.4833142123487277e-05,-2.6787641683812215e-05,0.7340470651889163,-0.0015364990984871791,-0.0015550809080233541,0.005221148852524525,-0.0003250026225032343,0.00011591296811275242,-0.0010714065979300358,34,325000000,0.22,0,2,1,-1.620015377405939,-1.1729612504035452,5.00040363202793
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.4082817925161069,1.4210285913446892,5.001424280897328,-0.6790530903320113,2.576586016780937e-05,-5.044074133570936e-05,0.7340891616843264,-0.0029400200402205736,-0.0030170911328071307,0.010603228382227006,-0.000612382473264006,0.00014333364788399194,-0.0009608505592950678,34,390000000,0.22,0,2,1,-1.6199386222292314,-1.1728833896395874,5.000690880632763
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.408557225783467,1.4213404436194854,5.002498754509366,-0.679026649978736,4.054529241439985e-05,-7.595426986306821e-05,0.7341136160061895,-0.004134696679754626,-0.004283263910417593,0.015619397775560654,-0.0007470904506590159,0.00017757174362031947,-0.0008597555563483184,34,502000000,0.2,0,2,1,-1.6196662467036052,-1.1726036380586684,5.001733166475489
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.4088227460097307,1.421639756467465,5.003562170179387,-0.6790084124382226,4.9116373604994606e-05,-9.26419400699069e-05,0.7341304821645652,-0.004977011768870626,-0.0051679099899283095,0.019203870815180112,-0.0005470417647757131,0.00016061907928133223,-0.0008076768096998421,34,581000000,0.18,0,2,1,-1.619357347394596,-1.1722885313251858,5.002923708500944
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.4093802579248444,1.4222664601348842,5.005845066391631,-0.6789800266059693,6.421440238303606e-05,-0.00012087215221181965,0.7341567303625229,-0.006645681169022771,-0.006940626550552517,0.026455352692857686,-0.0007804084589224658,0.00018580067404627698,-0.0007494016017517424,34,647000000,0.17,0,2,1,-1.6190619573877756,-1.1719874635435568,5.004070493947975
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.409959731373579,1.4229140588730802,5.008266581773965,-0.6789585498703397,7.876634249054317e-05,-0.00014868735974203276,0.7341765858742006,-0.00816254233125301,-0.008559149943789087,0.033175923280509625,-0.0007207231647043955,0.00021425450142942282,-0.000718677665645373,34,748000000,0.14,0,2,1,-1.6184254387105983,-1.171332820837149,5.006554423252579
-0.009866357858641983,0.31395259764656686,5.248689887164855,-1.4104703881248006,1.4234822692881914,5.010422192426931,-0.6789437221563819,8.725071018097867e-05,-0.00016847767857966104,0.7341902928716932,-0.009208948605596814,-0.009716496785823637,0.037824940646626073,-0.0006444546272632579,0.00026606582537169743,-0.0006273017390867608,34,830000000,0.11,0,2,1,-1.6177632215276982,-1.1706397610687675,5.009151508621922
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.4114664104501233,1.424578633329032,5.0146434217447675,-0.6789236252841885,9.886611863252679e-05,-0.00020402827467639353,0.7342088664875469,-0.011003505681697471,-0.01182233780190484,0.04637867268012564,-0.0008275178231542668,0.00036232313220807555,-0.0004922253594941139,34,890000000,0.08,0,2,1,-1.6171846022672307,-1.1700265064412176,5.011435372163758
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.4124172733711542,1.4256043319514315,5.0187047107887865,-0.6789103818096263,0.00010820771765738225,-0.0002384097579387809,0.7342211008429165,-0.012512084062711305,-0.013672020887816614,0.05408242557584299,-0.0007357533320373477,0.0004600442252922221,-0.0004224896770210762,34,988000000,0.05,0,2,1,-1.6160583704042635,-1.1688219626531724,5.01588094836253
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-1.4132165737807054,1.4264564570688687,5.02213767087492,-0.6789022974343741,0.00011106045676290988,-0.0002632747343236032,0.7342285671984696,-0.013554077914148843,-0.014938648343827233,0.05935914564671457,-0.0006286791347065446,0.0005098641679524007,-0.0003131865270233902,35,70000000,0.04,0,2,1,-1.6149805753420112,-1.167650282469983,5.020116767401013
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.4143897001223642,1.4276954650014602,5.027198911660661,-0.6788960265350906,0.00011219954933542823,-0.0002955075194402267,0.7342343530790646,-0.01492643415276725,-0.01667553605972183,0.06664274829740897,-0.0007335245186368411,0.0005488412455179059,-9.223948680414651e-05,35,135000000,0.07,0,2,1,-1.6140752340252185,-1.1666551358122095,5.023667837118806
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.4157079835701432,1.4290612273278842,5.032911328755449,-0.6788986557750122,0.00011508029547587806,-0.0003327216398938468,0.7342319056263608,-0.016375316587696302,-0.01866374979803496,0.07496735632684866,-0.0006743597339209373,0.0006078331352910027,0.0002124940110093121,35,211000000,0.12,0,2,1,-1.6127478926457384,-1.165180254816473,5.028873778875815
-0.022190176984599574,0.47054156659257157,5.368124552684678,-1.4167906181641787,1.4301661274218003,5.03761327127581,-0.6789058007982186,0.00011380741876743482,-0.000359304625006146,0.7342252866733666,-0.01737921401515275,-0.02005209560718344,0.08067510402216217,-0.0006399247070021374,0.0006372740642746066,0.0004340490164622679,35,294000000,0.18,0,2,1,-1.611247398873391,-1.163490836514142,5.0347124035624935
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.4183529389427838,1.4317363213477772,5.044392997001937,-0.678925051369948,0.0001139051025120228,-0.0003960872433690344,0.7342074671118762,-0.01862398713014967,-0.02192545616586973,0.08815171354124732,-0.0008718645460703556,0.0006305950421392481,0.0008051475560932886,35,345000000,0.23,0,2,1,-1.6100109372591842,-1.162084629303337,5.039494445285151
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.4205266762913586,1.433859220516852,5.053796493703868,-0.6789615159684361,0.00011878414447840128,-0.0004499284052269512,0.7341737146538279,-0.02019455867551087,-0.024557096582265358,0.09863228895357054,-0.000648888357090982,0.0006768949901925225,0.0011598543323998456,35,434000000,0.3,0,2,1,-1.608224295920602,-1.160042029236078,5.046360497975245
-0.030195222724101356,0.5486715554552264,5.425779291565073,-1.42194347599118,1.435212303012079,5.059911906739296,-0.678988874550697,0.00011624008601864659,-0.00047760696678949004,0.7341483955006681,-0.021029613456862502,-0.025960645831653927,0.10412481733999623,-0.0006076537772514712,0.0006970079823531705,0.0012804729408344429,35,522000000,0.39,0,2,1,-1.6057332421285542,-1.1571519576163327,5.055842048770608
-0.03942649342761051,0.6266661678215213,5.481753674101715,-1.4239560082714824,1.437100946173191,5.068576271967349,-0.6790303886424155,0.0001121806138444618,-0.0005145459031423279,0.7341099740217082,-0.022107552201364643,-0.027918067809401315,0.11184063116536151,-0.0007026154037248489,0.0007174819472766103,0.0016273299138447328,35,582000000,0.45,0,2,1,-1.6041047682142444,-1.1552424573049214,5.061989333686244
