x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-1.6200714462230807,-1.1730199160930455,5.000340626418962,-0.736177102156649,1.419579925260039e-06,1.1947517838451392e-05,-0.676788943552922,-1.6773124074372745e-05,2.576812408131622e-05,-0.0005162110631965533,0.000477516618957452,-2.388026576483071e-06,5.619085863273199e-07,33,654000000,0.14,0,2,0,-1.4079041404712995,1.4205915118608006,5.000248104085648
0.0,0.0,5.0,-1.620073559828028,-1.1730210613703662,5.000297480352239,-0.7361770914169294,-5.47482606906167e-06,5.403598042747934e-06,-0.67678895529828,-1.1531804112999741e-05,1.745109081046612e-05,-0.00037518791701712025,1.5880588577488197e-05,5.58075878842601e-06,1.9850356358652732e-07,33,752000000,0.14,0,2,0,-1.4079047803624034,1.420592654019243,5.000203354218723
0.0,0.0,5.0,-1.6200747420377937,-1.1730217103578555,5.000273507825102,-0.7361770881786232,-5.408618076367444e-06,5.146983731031257e-06,-0.6767889588232798,-1.0948582178145779e-05,1.6420510771554794e-05,-0.0003482150429964867,2.0507092829413764e-07,7.916230337912111e-06,1.056330301008046e-07,33,852000000,0.14,0,2,0,-1.4079053559586772,1.420593697245731,5.000163733680858
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.6200765431572233,-1.1730227119841863,5.000237758657148,-0.7361770867533155,-5.041107285833342e-06,4.800503187859594e-06,-0.6767889603790413,-1.0050313989642504e-05,1.4851488983799897e-05,-0.00030607517717531625,-8.045907495812799e-07,9.918198529135225e-06,-1.1065323657355464e-08,33,914000000,0.14,0,2,0,-1.4079056731532213,1.4205942793029638,5.000142280553528
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.6200782047360494,-1.173023651256792,5.000205889180195,-0.7361770889057382,-4.61644309849861e-06,4.402810115091869e-06,-0.6767889580434778,-1.2295434129010559e-05,1.7900026636998662e-05,-0.00035534564063223847,-9.934462585903248e-07,1.4041889073723723e-05,-1.17683929268253e-07,34,12000000,0.14,0,2,0,-1.4079061589599287,1.4205951818689078,5.000110166842573
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-1.6200788174761929,-1.1730240016847326,5.000194483638775,-0.7361770904516761,-4.445974811445361e-06,4.241260996689097e-06,-0.6767889563640571,-1.1877286174743325e-05,1.7187854800443444e-05,-0.00033513439468977984,-9.568650760627406e-07,1.4050284491418097e-05,-1.465716048532073e-07,34,104000000,0.14,0,2,0,-1.4079065958506847,1.420596006513463,5.0000823420214
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.6200773806261533,-1.1730221739961977,5.00018346903714,-0.7361769065691692,-2.601783041142081e-06,5.574778846298257e-06,-0.6767891563821049,0.0002479939213071127,-0.00020534298817588957,0.0003845392252477136,-0.000447708742967734,-1.1822670376027133e-05,5.511691227866322e-05,34,150000000,0.14,0,2,0,-1.4079067580205165,1.4205963161240511,5.000072348433074
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.6200343589856034,-1.1729801117976382,5.0003338546501235,-0.7361740755445613,6.045896244443952e-06,1.67334365005089e-05,-0.6767922356082031,0.0008727093468197042,-0.0007510190820706017,0.002991729967096888,-0.00035077490565527114,-8.68348763560789e-05,0.00015944531099876258,34,226000000,0.14,0,2,1,-1.4079077608008244,1.4205977027513366,5.000056766828397
-0.002467198171341778,0.15705379539064146,5.125333233564304,-1.6199674433151163,-1.172912827800679,5.000582322853216,-0.7361690173121284,1.1407026405132217e-05,2.5999131097340313e-05,-0.6767977372477098,0.0014485694114785238,-0.001203900372529821,0.004950792438754127,-0.0003324478967670075,-0.00011824515340208563,0.00030643474531188986,34,309000000,0.14,0,2,1,-1.407944629501179,1.4206403015325364,5.000175994332955
-0.005550625190149816,0.23553225354821328,5.187381314585725,-1.619781680205587,-1.172721961214137,5.0012893751615435,-0.7361554492267016,2.0119805076989796e-05,4.3603701435003386e-05,-0.6768124941723103,0.002751160410836847,-0.002263668800128657,0.009523222377885356,-0.00045497828295992804,-0.0001681293511524018,0.0004651356789509009,34,372000000,0.14,0,2,1,-1.4080080542602078,1.4207134989924668,5.000401878465278
