x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.4137669198688096,0.14519894916427648,4.839237467840111,-0.9879653668863716,-0.00025026722681373726,0.0020972326232255177,0.15466083154669763,-0.019135940650893156,-0.029297976187920856,-0.0020983677791306435,-0.0023441407165591954,0.0022371337763615884,0.041493548269500025,56,351000000,24.02,0,2,0
0.0,0.0,5.0,-0.4211838810052553,0.14123688326142544,4.8382098445702075,-0.9885418430500228,-0.00010445940460051444,0.0018696755588732406,0.15093547608432406,-0.044172963843621904,-0.03678448308558194,-0.008502063222841874,-0.0018955514292429143,0.0021747815480921417,0.04227704666845966,56,507000000,23.51,0,2,0
0.0,0.0,5.0,-0.43271404500989413,0.13733720120019954,4.836143709333705,-0.9891165922835987,2.082305586409601e-05,0.0016667023181301207,0.14712439817740736,-0.0638110970225692,-0.041825749439523885,-0.013594164180402293,-0.0016952172131823318,0.0018725793893281661,0.04326389425841626,56,696000000,22.86,0,2,0
0.0,0.0,5.0,-0.44492458927816253,0.13397533639691692,4.833786713165583,-0.9896159705707714,8.970179968601476e-05,0.0015209409923772985,0.14372859660956377,-0.06840237327116545,-0.04178577549889458,-0.014905448343097701,-0.000965155152243824,0.0014870311815684545,0.04248328368703369,56,867000000,22.15,0,2,0
0.0,0.0,5.0,-0.45662625356957154,0.13077432949973045,4.83149752426686,-0.990085858492201,6.535132432972535e-05,0.0014431029509611023,0.14045606429356666,-0.05887963834833634,-0.03728520507170347,-0.01283675721127922,0.0006174252007440373,0.0005037720029577031,0.04010753036709502,57,36000000,21.45,0,2,0
0.0,0.0,5.0,-0.4639236324737287,0.12849618567313933,4.830092643280015,-0.9904140862605479,7.554097600511226e-06,0.0014400440820779717,0.13812264098496296,-0.04785638018981273,-0.03297938395331103,-0.010286551433132313,0.001145018586612423,-8.958785997492669e-05,0.038559686799999326,57,179000000,20.86,0,2,0
0.0,0.0,5.0,-0.46972715108902674,0.1263096124689823,4.829018801608732,-0.9907252246679735,-5.6777723656099496e-05,0.0014673497440280668,0.13587263472683564,-0.03642179223741916,-0.028739782886464955,-0.007588937219597089,0.0009316597299857676,-0.00047779035980966,0.03717648178280797,57,307000000,20.39,0,2,0
0.0,0.0,5.0,-0.47471834013157577,0.12387127673884941,4.828164407800582,-0.9910680430551508,-0.0001157550167607609,0.0015182967512054506,0.13334847359675744,-0.02412695543920148,-0.024302246074130236,-0.004667816359108812,0.0008450475434074178,-0.0007049581370210944,0.035737783036893234,57,435000000,19.94,0,2,0
0.0,0.0,5.0,-0.47761490378723787,0.12186264111878059,4.827746220334752,-0.991347072949981,-0.00016133797971695264,0.0015687183401820982,0.131257358065482,-0.014651574344741436,-0.021022449460987924,-0.002379218285078063,0.0007820097607691423,-0.0007643219305464299,0.03457260208961088,57,559000000,19.43,0,2,0
0.0,0.0,5.0,-0.47956180357706724,0.1195957064070684,4.827591010955761,-0.991654211167952,-0.0002043463741429099,0.001628126425000299,0.12891560386458406,-0.004776188407659967,-0.017806541119960932,1.9401086875414695e-05,0.0005320717264112318,-0.0007891363338785595,0.032853260199772194,57,692000000,19.01,0,2,1
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.4801371211906578,0.11769653257030502,4.827713028942781,-0.9919012679274772,-0.0002311722717632951,0.001679401036416171,0.12700000336772604,0.0027820911784783345,-0.015491617175383202,0.0018670315482960775,0.0004789790949644157,-0.0008369117722395458,0.03173665827489458,57,822000000,18.54,0,2,1
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.47981215121943294,0.11583008091764073,4.828050040113333,-0.9921381007839258,-0.0002549918109652187,0.0017331094981263514,0.1251356075763727,0.009563901235071214,-0.01350019755617735,0.0035675661861162104,0.0004343823491126386,-0.0008512661395343457,0.0309005659801187,57,948000000,18.16,0,2,1
