x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.1112051574340635,0.1245612895231723,5.125861309096653,-0.28537280275376736,-0.00017869188687378462,-0.0007198264314293775,-0.9584163048318706,-0.009464320670911368,0.013498497622408697,-0.018277697872095856,0.010572240717010573,0.001298348843192798,-0.01565831098560011,3374,246000000,51.36,0,2,0
0.0,0.0,5.0,0.11114583018384239,0.12179277108616358,5.122343362955837,-0.28677043739710123,-0.0003368833035555475,-0.0016362201618094967,-0.9579978734466466,-0.007039401416757157,0.012574261773101813,-0.020692048513718718,0.009573792340233922,0.001188431303944526,-0.016557395792915486,3374,424000000,51.22,0,2,0
0.0,0.0,5.0,0.11067830266321552,0.11864278270050657,5.1170633591004435,-0.28871753169044434,-0.000522751997895389,-0.0027073252202877854,-0.9574103529913792,-0.004758104979449308,0.011088466313874385,-0.022832059796853377,0.008245248227467528,0.001024759126266872,-0.017246419156435877,3374,604000000,51.08,0,2,0
0.0,0.0,5.0,0.11037904530454315,0.11622733059403921,5.112102537270007,-0.2905518565135752,-0.0006680692947980563,-0.0035066970347800005,-0.9568525881429377,-0.006518095781763787,0.007796346355769949,-0.02112692166969183,0.005983043638480012,0.0007443974880061432,-0.017263332483707927,3374,841000000,50.91,0,2,0
0.0,0.0,5.0,0.1119574447103366,0.11423934750956331,5.1089255881961675,-0.29213986395118563,-0.0007705905668534152,-0.004013029197423464,-0.9563668760875303,-0.017294466889797945,-2.3346813089803862e-06,-0.01096422355650734,0.004106452138330496,0.00047365446675939893,-0.016085432798718102,3375,65000000,50.78,0,2,0
0.0,0.0,5.0,0.1169840917875355,0.1124425430081389,5.108966197761686,-0.29340639910540695,-0.0007694211527450878,-0.004231279687190041,-0.9559781321909497,-0.03753784305256769,-0.012888406365284131,0.009893719152949338,0.0019974656652266276,0.0009221561185768223,-0.013812542601954192,3375,262000000,50.68,0,2,0
0.0,0.0,5.0,0.12237013049040958,0.10910464338673627,5.115225513753817,-0.29496299812351734,-0.0006943220697698325,-0.004396370236932524,-0.9554983095660552,-0.013139966795250011,0.009522976084259092,0.036463418489526965,-0.0018812883126884117,0.000976102376171184,-0.010126973666046979,3375,444000000,50.59,0,2,0
0.0,0.0,5.0,0.12127527678606187,0.10580241504617066,5.124425120073393,-0.2957170658841541,-0.0005510693686963848,-0.004246477775471734,-0.955265973796785,0.002815467551254196,0.023919429615769577,0.05339400013045016,0.0016674066159794165,0.0009869191330835747,-0.005863751084689284,3375,705000000,50.45,0,2,0
0.0,0.0,5.0,0.11495770381967621,0.10256013559524634,5.133859628634397,-0.2955539867393101,-0.0007274295670802967,-0.0052492031965158704,-0.955311340681417,0.03219008342118072,0.04466199414431589,0.0510000562005544,0.01129163583755144,0.0017016107562994875,0.0069365472427307395,3375,911000000,50.32,0,2,0
0.0,0.0,5.0,0.10227508569712766,0.09933286337312594,5.1424959726611394,-0.2944800908965955,-0.0009231089972779275,-0.006468007782810764,-0.9556352802249577,0.06190193479166019,0.06405864916243238,0.04383086229375578,0.013335297535377322,0.0019193916386939236,0.01669432986091124,3376,91000000,50.16,0,2,2
