x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.582416870853187,0.048249627461016395,5.185809397956866,-0.3202053695932836,0.0008924653522667972,0.005856288229343068,-0.9473296304230108,-0.03962656654531661,-0.013486042597590375,0.004382704375114796,-0.014181541519064922,-0.000879833436329136,0.01846288014348829,3799,810000000,44.86,0,2,0
0.0,0.0,5.0,0.5982669518211682,0.04337896595516093,5.189277222327931,-0.31715367210241285,0.001471243089514027,0.007889075441926945,-0.9483402059410948,-0.06233594841684461,-0.02384997461574576,0.017549180593150682,-0.01265421460630023,-0.0002482813698634345,0.02394944767729612,3799,989000000,44.54,0,2,0
0.0,0.0,5.0,0.6139714284727463,0.03889789515964005,5.194145270883434,-0.31453801815971205,0.0018211654112805062,0.009079454664797997,-0.9491997060638478,-0.07422871243031119,-0.028639774847078647,0.02506596213006391,-0.010256599125568755,-0.00016463662575461058,0.025583816386642866,3800,284000000,43.9,0,2,0
0.0,0.0,5.0,0.6277663770912176,0.03479479127989449,5.198949824046478,-0.31236141018663754,0.0020526637478455395,0.009892878288697157,-0.9499096098876557,-0.07581591117556963,-0.02712606021032273,0.0274194909991894,-0.008674300988786854,-0.00013533022382716808,0.02536194006097503,3800,515000000,43.38,0,2,0
0.0,0.0,5.0,0.6363521871125968,0.030298617355966794,5.203357702817737,-0.3104377884170049,0.0020595660235145493,0.010134078950421604,-0.9505374470026839,-0.027877350746539763,0.01150930212542987,0.020795073116019268,-0.0009576316358561598,-0.0008082055899194529,0.019811282254522666,3800,691000000,42.95,0,2,0
0.0,0.0,5.0,0.6320858370443705,0.024953283945135178,5.206432617827169,-0.30886495944585224,0.0019214029026543688,0.009994634881760375,-0.95105144566999,0.026900220968975236,0.052703212629819404,0.011861834660121775,0.002314899552402494,-0.0005672684608271084,0.014368911342899082,3800,873000000,42.56,0,2,0
0.0,0.0,5.0,0.6154850085833091,0.01971937830185628,5.2076596812955795,-0.3068157956170482,0.0017049208334217374,0.009221300247931573,-0.9517227161450791,0.0733897408264048,0.08394929820970634,0.0034475213822423877,0.008127388082357356,0.0011734962185983022,0.0264256104856031,3801,74000000,42.17,0,2,0
0.0,0.0,5.0,0.5858248545071775,0.014749988916123946,5.207126324707112,-0.3040581796155183,0.0011191094750584258,0.006734648149710999,-0.9526290020344644,0.11611761951909487,0.10737812311937193,-0.004940784560406579,0.025285944684583228,0.002490979227331991,0.027544201839191373,3801,261000000,41.75,0,2,0
-0.007994025752217304,0.06280566511082372,5.0,0.5507691140763792,0.011152771878601097,5.2052853897727145,-0.3011279688839965,0.0006182686052992414,0.004373225152329625,-0.9535735100145648,0.1470260443348657,0.12293022787644592,-0.01092595173652253,0.02342616680834908,0.0024379625983783626,0.03322126140119508,3801,488000000,41.27,0,2,4
-0.007994025752217304,0.06280566511082372,5.0,0.5098640942935577,0.008349172366910738,5.202548783280344,-0.29743263584453883,4.806030576095036e-06,0.0015998118939919328,-0.954741466426056,0.17086634189368377,0.13286632087575445,-0.01504346588020484,0.026782700842886698,0.0024625980586279184,0.0424729376391042,3801,694000000,40.82,0,2,4
