x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.4652508902837913,0.0029671177025161343,4.886787145084073,-0.999999757248403,2.254298325371116e-06,0.0004972432165825009,-0.00048810576379293424,-0.07847792621173702,-0.0017450013635836627,-0.008227177406709498,1.1116104432773444e-06,0.0014672464544673858,0.0022094079895396135,5220,883000000,4.67,0,2,0
0.0,0.0,5.0,-0.4801755157643874,0.0026669066586572617,4.885213775066385,-0.999999728400496,2.2208698090435462e-06,0.00037261226760441826,-0.0006358884336755133,-0.08664151346449792,-0.0014295299518393395,-0.009040673133623849,-2.482870575803986e-08,0.00130570999772317,0.0012724492421511968,5221,57000000,4.76,0,2,0
0.0,0.0,5.0,-0.4931316081813432,0.002440569213919643,4.883855892782787,-0.9999997034443875,2.207692280608599e-06,0.000308513877670222,-0.0007056383284806955,-0.07453311692660067,-0.0012034289740437622,-0.007736094406810366,9.714004156613498e-07,0.00038332238148086617,0.000570149143186427,5221,246000000,4.85,0,2,0
0.0,0.0,5.0,-0.5024920070227922,0.0022711460909618317,4.882878234536285,-0.9999996837343786,2.085836204197253e-06,0.00030795260638500895,-0.0007332748353191532,-0.059348524261787126,-0.0010402766099030403,-0.006185421961864039,2.294107170897064e-06,-0.0003255210572206124,0.0002768027826505204,5221,408000000,4.91,0,2,0
0.0,0.0,5.0,-0.5096359456104477,0.0021255908503463546,4.882128615829949,-0.9999996723469518,1.873095280082842e-06,0.0003484178042934469,-0.000730689752369118,-0.04394978119573818,-0.0009027571591779746,-0.004558659912498622,2.2662142939999796e-06,-0.0007734249891200307,-0.0005636942091769015,5221,581000000,4.95,0,2,0
0.0,0.0,5.0,-0.5141111222784457,0.00201613397449076,4.881666109514646,-0.9999996951667962,1.761743030038673e-06,0.0004014392931879977,-0.0006697086714314016,-0.03182053963140038,-0.0008411484568406295,-0.0032237071044512256,1.1237000857589052e-06,-0.0009484434428941313,-0.0013694981362277758,5221,786000000,4.98,0,2,0
0.0,0.0,5.0,-0.5175922761359122,0.00189755821924509,4.880695501540007,-0.9999997413246458,1.796335534446535e-06,0.00046952865002214807,-0.0005448763725611205,-0.019085305318550023,-0.0007762173182780599,-0.01659334039599573,-3.620815891558493e-06,-0.0009626755513636454,-0.0022225168322620448,5221,946000000,4.98,0,2,0
0.0,0.0,5.0,-0.519398375446629,0.0017946274911544706,4.876475400163055,-0.999999792059161,2.443815404054529e-06,0.0005330129996469002,-0.00036300524057875094,-0.007815536209637099,-0.0006783918570072047,-0.041492221669528456,-1.168487271385743e-05,-0.0008570067791424663,-0.002849795646397979,5222,88000000,4.97,0,2,0
0.0,0.0,5.0,-0.5197714136356028,0.0017061264718057296,4.86894862302595,-0.9999997904648898,3.474617747989048e-06,0.000629406997851896,-0.00015134376346132017,0.0010321359669039358,-0.0005895913245461623,-0.06401828853550609,-1.3012225164032998e-05,-0.002471847574270214,-0.0031394856705446728,5222,226000000,4.94,0,2,0
0.0,0.0,5.0,-0.5187313235744897,0.0016097390033140326,4.854922030230424,-0.9999995341660641,4.677980742928407e-06,0.0009550738977022863,0.0001395694128480951,0.009498598377081186,-0.0004872137549779094,-0.08988338058332236,-8.847863419703117e-06,-0.004322606400819495,-0.003291160601293086,5222,379000000,4.89,0,2,0
