x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.7080405146768454,-0.001581621822856576,4.874150865335719,-0.9999990483341061,-4.935231922669224e-05,0.00047640305860728404,-0.001293806537343345,0.016648853691562274,0.0025793663172871133,0.0006349431774717859,-0.00010860854544603171,-0.0010043028055406467,-0.004470091062103165,5402,691000000,4.18,0,2,0
0.0,0.0,5.0,-0.7054316112433974,-0.0012887235315741786,4.874290204533185,-0.9999993029908736,-4.324499801692947e-05,0.0005350234739064509,-0.0010516166217299783,0.025898929104237262,0.0022529302657480557,0.001553498330757677,-9.473603768128669e-05,-0.0009458934925987705,-0.0036977369973101304,5402,846000000,4.15,0,2,0
0.0,0.0,5.0,-0.7017795040012643,-0.0010277242921930842,4.874536399748989,-0.9999994638879102,-3.789052549924352e-05,0.0005889232907518545,-0.0008508569549376399,0.03409852495435043,0.0020081337868968134,0.0023987025022085113,-8.282206422904892e-05,-0.0008547138179437752,-0.0029353535637710593,5403,23000000,4.15,0,2,0
0.0,0.0,5.0,-0.6963734637449761,-0.000757683850652906,4.874944757923786,-0.9999995586451903,-3.253838467398183e-05,0.0006456849179335142,-0.0006817196380465296,0.04231493822345805,0.0017564834919015983,0.0032261256399012395,-6.980330056194362e-05,-0.0008049063012549595,-0.0020688341010099975,5403,171000000,4.17,0,2,0
0.0,0.0,5.0,-0.6918569290817754,-0.000585275756988004,4.875300295861404,-0.9999995919570521,-2.922186560178156e-05,0.0006854768296532874,-0.00058766770154145,0.04739567539047243,0.0015965008422266023,0.0037101161820520105,-6.234218687950488e-05,-0.0007819304812528571,-0.0017533443042339059,5403,366000000,4.23,0,2,0
0.0,0.0,5.0,-0.6836633306287982,-0.0003409625864174945,4.875966894979279,-0.9999996098553341,-2.462647858263292e-05,0.0007443823881693242,-0.0004749500777945781,0.05439570492810941,0.001369794314366853,0.004418245437553649,-5.156343796386409e-05,-0.0006893666920859687,-0.0008156993771990528,5403,549000000,4.28,0,2,0
0.0,0.0,5.0,-0.6756551550982753,-0.00015551632996412465,4.876640295177631,-0.9999995862463569,-2.1377942290996528e-05,0.0007889326050144001,-0.00045236649202234913,0.059492434150833676,0.001190921620511692,0.004977161431011886,-4.2537899958006165e-05,-0.0005899186589886085,6.378743200308179e-06,5403,698000000,4.39,0,2,0
0.0,0.0,5.0,-0.663118972471385,7.027439839055019e-05,4.87773249467014,-0.9999995302522366,-1.7660888525218154e-05,0.000840658323822278,-0.00048215866836431864,0.06534083840505353,0.0009685743844424938,0.005688346103120248,-3.384217031054959e-05,-0.0004542399778983963,0.0005455829125367018,5403,831000000,4.48,0,2,0
0.0,0.0,5.0,-0.6509509009923232,0.0002404138696900616,4.878831769410112,-0.9999994316213562,-1.5166946670000796e-05,0.0008763881653855218,-0.0006070178841967033,0.06953878735539093,0.0007894539763579287,0.006250624716458643,-2.5145538984361337e-05,-0.00034847741119392595,0.00192716802303039,5403,969000000,4.58,0,2,0
0.0,0.0,5.0,-0.6370261153625746,0.0003888140969425612,4.880105419388587,-0.9999992450328803,-1.3219994638265058e-05,0.0009143307136919764,-0.0008208277815655585,0.06900384527251482,0.0004981911937428191,0.0061541720479629265,-1.9005321227894e-05,-0.0003857835537246501,0.0022499196802527877,5404,107000000,4.62,0,2,0
0.0,0.0,5.0,-0.6259134138281343,0.00043904307457937774,4.879136954226559,-0.9999990311755292,-1.196026759739139e-05,0.0009385231073454299,-0.0010279490899617327,0.05553739871500637,-0.0001144199010788488,-0.021825911794292354,-1.5106428641331604e-05,-0.0002844042853666906,0.002332449980713136,5404,232000000,4.61,0,2,0
