x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.15999290523396748,0.16766265357434756,4.902400593484069,-0.9184386112334546,-0.0040598149471285806,0.007673425526169645,0.39546827159565184,-0.0028731834175129783,-0.009340832281542252,-0.010938220817749384,-0.00021578996012294738,-8.571648848487712e-05,-0.013812562610837631,2203,470000000,32.33,0,2,0
0.0,0.0,5.0,-0.1612376666189391,0.16682475080802173,4.900805847226819,-0.918019147349001,-0.004036211188433738,0.0076731032306953184,0.3964412662509621,-0.0006009352715802985,-0.009422046483740749,-0.008876323287915277,-0.00018501592080610862,1.4405169501685577e-05,-0.012871905437350506,2203,685000000,32.15,0,2,0
0.0,0.0,5.0,-0.16214892186067426,0.1658839381800215,4.899669866163212,-0.9176738142785394,-0.004019319404286868,0.007669947239935944,0.3972402139365294,0.0011399924542694802,-0.009479282289267702,-0.007249277189066619,-0.00016124043895615614,3.58062067107312e-05,-0.011962689404754201,2203,892000000,31.95,0,2,0
0.0,0.0,5.0,-0.16301279065757524,0.16460674709888834,4.898638333330165,-0.9173077414687116,-0.004002592904905533,0.007666233148091021,0.398085060710557,0.002826031074084777,-0.009467959952671861,-0.0055719230968020745,-0.0001360308260700549,3.595775943665558e-05,-0.011162826285726624,2204,71000000,31.77,0,2,0
0.0,0.0,5.0,-0.1637043514838608,0.16315434907445825,4.897862924532937,-0.9169710756501459,-0.003987789210494759,0.0076634679322870256,0.39886014493488503,0.004327349169492201,-0.009360409426134276,-0.004069404964459702,-0.00011793270857651805,2.137713916994244e-05,-0.009962856256606756,2204,243000000,31.57,0,2,0
0.0,0.0,5.0,-0.16424061577856006,0.16155724527210244,4.89731698150037,-0.9166709512408302,-0.003974477048281912,0.007661935053615858,0.3995495781935678,0.0055185824662328424,-0.00924716187517847,-0.002723496725450211,-0.00010139378119333742,8.775218152123898e-06,-0.008958390571933705,2204,416000000,31.37,0,2,0
0.0,0.0,5.0,-0.16473923717138605,0.15940190105595173,4.896920695596642,-0.9163257979660375,-0.003959804851512014,0.007661251251250727,0.40034067637039733,0.006752179989356922,-0.009127779983381086,-0.0012366407041789849,-8.061026477435007e-05,3.6044752294017712e-06,-0.008418324250669684,2204,590000000,31.18,0,2,0
0.0,0.0,5.0,-0.16504779667335492,0.15736680982373422,4.896804202800552,-0.9160626192416649,-0.003947953851718651,0.007661754522985719,0.4009426253295033,0.005658622171848087,-0.006887643027415827,-6.496200152907706e-05,-7.462195554808204e-05,-1.6041655648280084e-05,-0.006561035206686938,2204,731000000,30.94,0,2,0
0.0,0.0,5.0,-0.16529241613026274,0.1599616840392313,4.896507247533292,-0.9158682188034749,-0.003965151959915896,0.0076328825213928956,0.401386873801448,-0.029049751342648967,0.023856464813242665,-0.003612553188919658,0.00012820199941643295,0.0007999884928722167,-0.005746806255046977,2204,890000000,30.74,0,2,0
0.0,0.0,5.0,-0.16631996177960076,0.17333002936090236,4.894884548087576,-0.9156731550876351,-0.004047092352610148,0.007526579865221695,0.4018328566591805,-0.07401612726662951,0.056249687110643376,-0.012682266032818575,0.0005045469038122974,0.001752710591063078,-0.004228526586302905,2205,40000000,30.57,0,2,0
0.0,0.0,5.0,-0.16879604905997814,0.1993095377612481,4.891202745581823,-0.9152670334916886,-0.004199948447063001,0.007357730731605783,0.40275858977164897,-0.11161545951734153,0.08400434321329497,-0.019665740447599833,0.0008710426754987566,0.002091082751576323,-0.013551642223319504,2205,188000000,30.4,0,2,0
0.0,0.0,5.0,-0.17165593068841395,0.23368908329977867,4.886747032640856,-0.9144319152795239,-0.004353699483741319,0.007223518734052017,0.4046518730910871,-0.13450267588052922,0.10495043131683554,-0.020369752295267045,0.000407732648000092,0.001489038697854994,-0.022268580141826533,2205,341000000,30.25,0,2,0
-0.007994025752217304,0.06280566511082372,5.0,-0.17361870100531823,0.26598251780704313,4.88336134880152,-0.9135531152346528,-0.004395845072588249,0.007153283525574114,0.4066327737971474,-0.14570014559638828,0.1179141636336924,-0.01785027522531838,0.0001885328941853004,0.0007834686243768374,-0.0253714255450177,2205,485000000,30.12,0,2,0
