x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-1.1257935462628397,0.07602648137340615,4.714697207013769,-0.9982486900139187,-0.00016911368130429513,0.0024289124697848188,0.059106891901637315,0.05285130540988954,-0.007862193023892617,0.002021340610756012,0.00015176148053797078,-0.0002631253408935663,0.014593506875826279,2409,234000000,14.08,0,2,0
0.0,0.0,5.0,-1.1108432318701802,0.07275197928676015,4.715976685888729,-0.9983480184374097,-0.0001890761414807822,0.0024511571067116216,0.05740374692603367,0.07122710731247145,-0.005162407416714822,0.007333077133751607,0.00013147193982376848,-0.00018135147570319532,0.01399646953359479,2409,490000000,13.92,0,2,0
0.0,0.0,5.0,-1.0918004100222494,0.06938778166190722,4.718307666912763,-0.9984501937598393,-0.00019652972898386955,0.00247768130674445,0.055597059745520205,0.07112535575257684,-0.004742298146216883,0.008240186319376074,-0.0002466399394052132,3.1478561091091706e-05,0.013961702188680647,2409,717000000,13.79,0,2,0
0.0,0.0,5.0,-1.077279960152137,0.06643556255613636,4.719850716480227,-0.9985425019092602,-0.00016920144854567793,0.0024416155611604352,0.053915505794864815,0.051108674969619,-0.00650581613853714,0.003741487417765637,-0.000529122843317964,0.0006762195766896184,0.014019420905242441,2409,988000000,13.69,0,2,0
0.0,0.0,5.0,-1.070314805064349,0.06434023831223902,4.720058253589993,-0.9986095969719377,-0.00012906207645187813,0.002340088812802777,0.05266289170633037,0.03005403277255534,-0.008238466826699896,-0.0014141778760510257,-0.0005083773999103869,0.0013149837627679517,0.013891763774154242,2410,217000000,13.63,0,2,0
0.0,0.0,5.0,-1.0670017970875625,0.06236543768044239,4.720072877411454,-0.9986725659953795,-0.00011111020763518832,0.0022054142919523687,0.051460953455282565,0.010451372525489288,-0.009616089303337124,0.009706200724489524,-0.00022862992352656875,0.0015572561324006529,0.01302650262005045,2410,410000000,13.62,0,2,0
0.0,0.0,5.0,-1.066838185448095,0.06071987255333833,4.723848338534139,-0.9987248135845735,-0.00011906430561389215,0.0020852443033839508,0.050441890431911385,-0.0048537886135198455,-0.0105159677086685,0.035392845005145016,9.945802545985316e-05,0.0014167747281135235,0.012561249968712218,2410,580000000,13.63,0,2,0
0.0,0.0,5.0,-1.0694181739238482,0.05900605887370842,4.73270443492137,-0.9987808975092507,-0.00012980878123549028,0.0019772279019995937,0.049323346298882076,-0.020195421003856552,-0.011148625602379428,0.061174971611514396,5.390143691386129e-05,0.0009769631333256257,0.01237620044776122,2410,754000000,13.65,0,2,0
0.0,0.0,5.0,-1.0761063544191167,0.057108621071553366,4.749500510420049,-0.9988459918082829,-0.00025042062312523837,0.0021355821725677106,0.04797980019574155,-0.03661413504362091,-0.011755651188287277,0.08990951844823766,0.001339074913175864,-0.0031652521784053533,0.012121523832320236,2410,933000000,13.69,0,2,0
0.0,0.0,5.0,-1.0848411984548283,0.05553712802334353,4.769922796951619,-0.9989023739661909,-0.00036339157766996505,0.0025162247818650454,0.04677161365739385,-0.047043697737830126,-0.011952193558259046,0.11304559630899862,0.0012212678029754898,-0.004082641180502833,0.012076722850906663,2411,154000000,13.7,0,2,0
