x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-0.011223397055974456,-0.538173529031988,4.97120817594087,-0.25314766344764794,0.00918019837911924,0.0031427378704228176,-0.9673789886323736,0.008656066804080265,-0.05497328515412068,0.004869141225727959,0.0593367080000462,-0.00687595306771982,-0.04235434389556758,169,683000000,10.23,0,2,0,-0.5762455340842743,1.3544732171745775,5.977274665506591
0.0,0.0,5.0,-0.007352871623562736,-0.5256292403568249,4.972299841957156,-0.2576085429175003,0.006972976928769532,-0.0016570521746142506,-0.966222785069139,0.01483829661614359,-0.05927068883526628,0.004750998401237891,-0.020652763487305492,-0.012678991242864868,-0.05969325575279072,169,822000000,10.71,0,2,0,-1.879026707040118,-1.5994098356470456,4.2313712880652234
0.0,0.0,5.0,-0.005680497313442853,-0.52003440753589,4.972738514714755,-0.2620109504442734,0.0065974434463727544,0.0005049893624837856,-0.9650422169900155,0.01251329505953104,-0.05484392632250461,0.004181425512057117,-0.04314919497119263,-0.022481409723695833,-0.11293889765511267,170,48000000,11.51,0,2,0,-1.7106632133493762,1.3892632403241054,4.316064353826951
0.0,0.0,5.0,-0.0033581489279597776,-0.5129821333162248,4.973306622015911,-0.2698590602249482,0.005808321890550821,0.003761514164427978,-0.9628749669726149,0.012553896658625588,-0.04913115433760156,0.0035524915922955243,-0.04610744690580759,-0.016151738782355096,-0.054672773330821656,170,149000000,12.04,0,2,0,-1.3932256647987855,1.7331391167382648,4.84779261161373
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.0011514037012369035,-0.5028635100371346,4.974114646935042,-0.26457121737248396,0.006184506416028605,0.008303816221563072,-0.9643105669101579,0.01631179909021576,-0.04061467172080123,0.0026634711855671547,-0.034947774111060426,-0.007555656611657469,0.0921715167351067,170,277000000,12.9,0,2,0,-1.4539816313702176,-2.0319061805419385,6.2495087743157445
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.0005034870500561299,-0.49707446680556455,4.974535519216362,-0.25744731093122586,0.0061658514116067,0.010680474463556414,-0.9662136367470104,0.017265037818405316,-0.03603571660224356,0.002003046147991979,-0.030358389631146565,-0.0080208729741571,0.11411764717195183,170,514000000,12.43,0,2,2,-2.95901417608974,0.6846026625470952,4.070558757421525
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.00040826987174809684,-0.48812416970778466,4.975124737200362,-0.24305479860043122,0.005670911547304025,0.013352637716695308,-0.9699040739709948,0.01849636336323642,-0.03178457534905728,0.0020805362123858277,0.019667233209474944,-0.007209610475911177,0.09761356341186911,170,648000000,11.71,0,2,2,-0.14322171631936909,-1.902105687985348,3.3605080420818356
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.0011165381259538828,-0.47775242866784673,4.976426314475617,-0.23928392561786405,0.004292446254610305,0.01059365780243667,-0.9708823575801655,0.023714004585496502,-0.036106699531666286,0.006401857900526715,0.0202985480427742,0.001255317545201251,0.004868027281190734,170,879000000,10.24,0,2,2,-1.6114513142185438,0.6523183095883173,3.1095310232291067
-0.020593580356818464,0.21161144053362013,5.268466531635311,-0.002570601656691986,-0.46671871392247627,4.978710643700534,-0.2386664975025286,0.004316256838246585,0.007508170433601045,-0.9710629744118153,0.029353383859643534,-0.041414700531315005,0.011650746497667414,0.058003653612104245,0.006857258176751202,0.0005408705987974827,171,142000000,9.59,0,2,2,0.07837173193667679,1.321375037968407,6.090811121036212
-0.03656591995530789,0.28168726406152494,5.357113789597273,-0.004218568823830858,-0.45185270687506995,4.982927209354531,-0.24018188820023845,0.0030305728230362325,0.00038115457792848076,-0.9707230969386276,0.032753265947332647,-0.05307696680127725,0.01973313539964059,0.04899440609733574,-0.0005497353072314581,-0.03278356489317957,171,382000000,9.15,0,2,2,0.6257172746820281,-1.8756648164378018,4.155322627314712
