x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-0.2294588574131548,-0.07525719859404506,5.115356634629863,-0.9899558877797126,-0.0005881924929064478,-0.005040691307814465,-0.14128547593794422,-0.0010145726502049919,0.005306606714747131,-0.0027521852073466805,-0.004104127856408013,-0.0182230307473219,0.00814234067547659,127,529000000,8.35,0,2,0,-0.21050767994867647,-2.26995791468206,1.9574302177763077
0.0,0.0,5.0,-0.22984344643690044,-0.07462448548596566,5.114645089729222,-0.9897511320201142,-0.0005202801302676893,-0.00362880495247196,-0.1427559376982434,-0.0015845033397029929,0.004926528410422464,-0.00708042275168611,-0.0034788314678735333,-0.020549627333821263,0.029891280064475723,127,794000000,8.98,0,2,0,3.6587724834361937,0.2355150825217146,5.643036480444212
0.0,0.0,5.0,-0.22958033983778908,-0.07339623389247386,5.111752857977037,-0.989321658676369,-0.000554558368259906,-0.0027215771730865913,-0.14572213681024826,0.00586222104401345,0.003947710427224223,-0.014570832156548438,-0.00908965193957556,-0.0029630298968186253,0.03851910660159774,127,923000000,9.1,0,2,0,-1.1512021508008383,2.186475442597268,6.7527035878910375
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.2287267986490008,-0.07209501817902694,5.107985857922186,-0.9881361238129742,0.00023460757891629388,-0.0014601827262036072,-0.1535734796166328,0.004472942367673405,0.005098402350308039,-0.019302336635458713,-0.007200112486316357,-0.014756297059648205,0.10585857889964245,128,186000000,9.09,0,2,1,-0.36432151338799557,3.585026953079394,3.443365394614945
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.2292333425891752,-0.07055032327361406,5.102311361468109,-0.9845794240953861,0.000741883598806127,0.0009155100378385807,-0.174934185047103,-0.004100382482779488,0.007564054208603023,-0.023906371959902417,-0.008727878594072536,-0.016334191786882002,0.21790869504911825,128,416000000,8.76,0,2,1,-0.966535092328773,-0.31853678800229646,5.71370515833355
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.23078011626490721,-0.06968391776410478,5.098292654948165,-0.9809066593625597,0.0011846007585865437,0.002156766655824805,-0.19446354593295373,-0.009620351057303324,0.009573958716243176,-0.026067935710155133,-0.008357906517630909,-0.012000570677628275,0.26845755928661674,128,671000000,8.07,0,2,1,0.7201622294643781,3.2572254338217514,5.53204841925964
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.23927603660651608,-0.07220987376301277,5.089355118486935,-0.9709115696769547,0.0014387654764830952,0.004397459426143726,-0.23939364271410957,-0.044637265427035756,0.003964597355586805,-0.03389657935474081,-0.011856257242470747,-0.014906155865901383,0.24369813181692734,128,832000000,7.92,0,2,1,-0.9331102594445773,1.4247653416754462,7.220412246838661
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.2505248685485401,-0.07627589580721736,5.080609713123014,-0.9675284831570796,0.0021336265899823577,0.006694363218869367,-0.252664337448776,-0.04252232854651065,0.008683042360642244,-0.028018479728256118,-0.007103577536327066,-0.01727246017253492,0.02783495710900752,129,115000000,9.62,0,2,1,-0.39104495842377784,2.2162332146967056,6.9908015540472555
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.25558917445344065,-0.07786843330744497,5.07731935498457,-0.967247488659094,0.0022179704206141196,0.007895865080897697,-0.2537026440629134,-0.04456174654369706,0.009835069440892168,-0.025760652248152077,-0.006121502701716963,-0.01983001930057071,0.011414076288929209,129,378000000,10.54,0,2,1,1.2861176077028666,2.4515972996018554,4.8454364417299445
-0.015413331334360514,0.3922954786392247,5.3090169943749475,-0.2600338435726738,-0.07921734375798377,5.07477220162658,-0.9671142539957838,0.0022694454629074877,0.008986449765506662,-0.25417339171534276,-0.04741267133627614,0.010694709063224903,-0.023587490881822007,-0.008720153618924087,-0.023327746384893544,0.01663263337832177,129,512000000,10.64,0,2,1,0.5015721891888613,2.1343089554189056,6.258304650305479
