x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2
0.0,0.0,5.0,-0.3214963602798949,-1.9799091713964745,4.950824331276145,-0.46680573500102107,-0.0001653662296544166,-0.001170866446597179,-0.8843590942009534,-0.16063021581570927,0.02390151943434562,-0.0097521177523027,0.011573157189559424,0.006454020694945939,-0.0411349261412397,204,520000000,24.88,35.27,2,0,-2.1037872462738054,-0.9172751562902633,4.943947293488673
0.0,0.0,5.0,-0.31284540776011704,-1.9989225225986704,4.949692181886311,-0.4692579970642726,-2.5716498888971105e-05,-0.0016914956814536048,-0.8830594942427424,-0.1688319481112173,0.027433887575725253,-0.009343773288945274,-0.002107925229211105,0.0047758609980519395,-0.04559206427074969,204,654000000,24.7,34.97,2,0,-2.0952816875449045,-0.916020888155192,4.943710900813526
0.002985000000000067,0.0,5.0,-0.30578507237971114,-2.0133334061732557,4.948851098307873,-0.4711192956130592,0.0001935159951689608,-0.0016141663284234137,-0.8820680054959926,-0.14872719509179494,0.016005593913052816,-0.008217229594622231,-0.005291124625728116,0.002030843575084873,-0.03578612704586703,204,769000000,24.53,34.56,2,0,-2.0863833574090602,-0.914684618708016,4.9435346306254235
0.002985000000000067,0.0,5.0,-0.3003686631883624,-2.0225997173779895,4.948265183663259,-0.4719538773655091,0.0003470228140224073,-0.0014108075089875414,-0.8816220430757168,-0.12264933648873724,0.0019502785565771962,-0.00712705793524205,-0.00638398510091065,0.0003441282274252444,-0.015486167558265151,204,865000000,24.41,34.25,2,0,-2.079028782143476,-0.9136635853573478,4.943415633231791
0.011880000000000134,0.0,5.0,-0.2939414387927467,-2.0309621006375496,4.947647767931589,-0.4720961470906182,0.0004740809998681827,-0.0011370228515615011,-0.8815462043072011,-0.09117653727210054,-0.014417140665438472,-0.005742789751597627,-0.00572574990655994,-0.0007775011056310177,0.005990551471768413,204,956000000,24.28,34.1,2,3,-2.0733439365713693,-0.9129741066443854,4.9433296324092115
0.026595000000000202,0.0,5.0,-0.2879093154101441,-2.035927302041953,4.947159839471507,-0.4714272122216282,0.0005548864972615826,-0.0008669081193707465,-0.8819043735849322,-0.06169613724931022,-0.02915098113217011,-0.004384299108045908,-0.00528518071405415,-0.0013619570495393418,0.021661997016053647,205,45000000,24.09,34.02,2,3,-2.0667642003862565,-0.912387249098454,4.943217255706353
0.026595000000000202,0.0,5.0,-0.2822919950239651,-2.0377536975006856,4.946794440357217,-0.47022265645457556,0.0006085584762670428,-0.0006034033991091284,-0.8825474032128364,-0.03428759143854338,-0.042336670474920984,-0.0031655940911662983,-0.004971186535840388,-0.0016560513586227898,0.030973155298852362,205,148000000,23.89,34.07,2,3,-2.060968321215171,-0.9121907915847441,4.94308124729974
0.04704000000000026,0.0,5.0,-0.2781056641605424,-2.0371189904863156,4.946586195656272,-0.4690667557096887,0.0006393714759959879,-0.0003987106067663847,-0.8831623921578381,-0.013837883344268536,-0.05200279359288077,-0.002213051832349205,-0.004708732012659311,-0.0017656388422437885,0.033890809208969586,205,253000000,23.7,34.19,2,3,-2.0559726360226076,-0.9123896635631543,4.9429200591951465
0.04704000000000026,0.0,5.0,-0.27234196451763065,-2.0329584748330563,4.946405719224853,-0.46730120742247927,0.0006724396100964363,-0.00010527028323030886,-0.8840979121594118,0.014427369594502443,-0.06509049952953073,-0.0009457851189596791,-0.0043783603359770495,-0.0018100716260960326,0.032280425875796936,205,336000000,23.59,34.32,2,3,-2.052514346486732,-0.9128155933227874,4.942774953767334
0.07312500000000033,0.0,5.0,-0.268844830453414,-2.0282152510287155,4.946364525283088,-0.46625106988194565,0.0006875290714428719,8.361396595389317e-05,-0.8846521690169654,0.03176873535490007,-0.07292883913220533,-0.00021163798176260088,-0.004231551338307327,-0.001887050370896759,0.027874084844370373,205,445000000,23.5,34.53,2,3,-2.0479737272953145,-0.913787301913012,4.942541643485636
0.07312500000000033,0.0,5.0,-0.26484354805011634,-2.020276112099501,4.9463944843215915,-0.4652193615889124,0.0007018994246179196,0.000320802006718051,-0.885195091505864,0.051520944192846384,-0.08190447557107022,0.0006451406302229871,-0.004219164338792325,-0.001968921446859895,0.020027501886943355,205,534000000,23.5,34.67,2,3,-2.0451415865649403,-0.9145441445641637,4.9423870900466085
0.1047600000000004,0.0,5.0,-0.26054134582247424,-2.008089639960226,4.946543401881201,-0.46443785753438604,0.0007060707562061876,0.0005897576686332215,-0.8856052338027641,0.07261796281655601,-0.09148315019587179,0.0015827330030483595,-0.0038880926240381086,-0.002056201947198133,0.009914343263517367,205,631000000,23.58,34.81,2,3,-2.041564709086253,-0.9154941288605631,4.942211372477105
0.14185500000000045,0.0,5.0,-0.2560773116632156,-1.9907455861512597,4.946855969350528,-0.46424825912004086,0.0006952629948549855,0.000888306088334787,-0.8857043984454817,0.09245107052395046,-0.10073165982030034,0.0025113719222544964,-0.0034981668932232424,-0.0021208729549471173,-0.002488184986759734,205,754000000,23.77,34.93,2,3,-2.0368101561485017,-0.9164503525878898,4.9420457920402585
0.14185500000000045,0.0,5.0,-0.2525920638508035,-1.9739706295723924,4.947227093452086,-0.4645581337376488,0.0006677685409265915,0.0011074315622655068,-0.8855416805880474,0.10060168624111591,-0.10423132097062944,0.0031032986801883466,-0.0024342176175196073,-0.0021358916455938015,-0.007111077547961031,205,879000000,24.14,34.99,2,3,-2.0299248940513523,-0.9170066390986007,4.941935825876102
0.18432000000000054,0.0,5.0,-0.24856711653473595,-1.9543499057627975,4.947721907853143,-0.46497814128495496,0.0006012029528467936,0.0012994596930898622,-0.8853210028496465,0.09388880206949274,-0.10070475539675458,0.003211648378623542,-0.0015413220580740017,-0.002097740252793301,-0.005123942128193448,205,998000000,24.52,35.0,2,3,-2.0226386274424915,-0.9169209782942491,4.941913022692916
0.2320650000000006,0.0,5.0,-0.24343383749701486,-1.9354523304385753,4.948184998926638,-0.4651779712595061,0.00047740843870499087,0.0014033571906685424,-0.8852159384718894,0.061983907434977746,-0.08508359058340972,0.0017499540187075984,0.00021375551284563699,-0.0018468267739990551,-0.0009360591832319187,206,139000000,24.94,35.0,2,3,-2.012558821436977,-0.916196531763161,4.9419628505795155
0.2320650000000006,0.0,5.0,-0.23533049428187142,-1.9228380160262453,4.948201043191003,-0.46509208899988996,0.00027202638731044194,0.0013068024784147771,-0.8852612987240802,-0.0019822033621508433,-0.05432290931567343,-0.0019383880752323296,0.0021027482262070407,-0.0009620233811347134,0.0024427610469501815,206,316000000,25.28,35.03,2,3,-1.9996580215493787,-0.9148868870962493,4.942097574584526
0.28500000000000064,0.0,5.0,-0.2245154267866579,-1.927748367676324,4.947385924748052,-0.46468646616028664,-6.0218371404315545e-05,0.00038744143700629387,-0.8854752026061178,-0.09325849046955387,-0.010142937061639767,-0.005993923459319122,0.009874160696199397,0.002750135286078148,0.005972905728413025,206,516000000,25.43,35.06,2,3,-1.9831733885000355,-0.913392950610929,4.9423016158429585
0.3430350000000007,0.0,5.0,-0.21511030508265147,-1.9432192089688771,4.946370187528917,-0.46436534760777604,-0.00025294717226534847,-0.0006961366501501362,-0.8856434244957738,-0.15909893019531246,0.022284048371737062,-0.008310051155909517,0.015110972799448064,0.00603949956712313,0.004436393965079333,206,700000000,25.2,35.07,2,3,-1.96889646196892,-0.9132286802641258,4.942405818840178
0.4060800000000008,0.0,5.0,-0.20597206813202704,-1.9633613915718635,4.945316557832632,-0.4643174821756476,-0.00024064571971631774,-0.0015289531691932128,-0.88566747718199,-0.19372913425834065,0.03828269903509041,-0.00911635219946505,0.009333816524303984,0.0069037128014315385,-0.004505380366026657,206,849000000,24.83,35.03,2,3,-1.9616753317766933,-0.9139810159309779,4.94234679177781
