x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,-0.2530105991774081,0.6953256033737181,4.351605883530604,-0.3780552172643239,-0.007958288482184266,0.01039005654289846,0.9256905341790496,-0.037533136256060466,0.029384469472691122,0.002597015240717648,-0.0011238341926400608,-0.0020301298491176567,0.0016865311749825196,21007,433000000,3.61,0,2,1,-1.6265301551384346,-0.7409919146563247,4.438431406700505,-1.6265301551384346,-0.7409919146563247,4.438431406700505,0.0005888938903808594
0.0,0.0,5.0,-0.24093555459615063,0.696558717020326,4.352486608605725,-0.3782814823449098,-0.007654421306837105,0.010366502902448645,0.9256009213300127,-0.035608222179654335,0.029056047761067662,0.002279350538677736,-0.001068315509655804,-0.002083732874780253,0.0019379402374397614,21007,673000000,3.57,0,2,1,-1.6148617665091491,-0.7402173651446678,4.438402056709745,-1.6148617665091491,-0.7402173651446678,4.438402056709745,0.6530768871307373
0.0,0.0,5.0,-0.22923048535463114,0.6975371466242077,4.353297140127805,-0.3785245607928794,-0.007377190639536178,0.01034148912713584,0.9255040721344552,-0.03402054385322096,0.028805199142931996,0.002083742209873147,-0.0010079862477141432,-0.0017707437677927373,0.002016952157646301,21007,924000000,3.51,0,2,1,-1.6022511921873979,-0.7392522800845144,4.438235411746296,-1.6022511921873979,-0.7392522800845144,4.438235411746296,1.2970914840698242
0.0,0.0,5.0,-0.21785133501694062,0.6982816667248812,4.354036093970323,-0.378770797208733,-0.007140203436010215,0.010300896869337897,0.9254056365726546,-0.0325354266919388,0.02857134280051047,0.0018899887444462416,-0.0011416602887948102,-0.0014178692708810559,0.0019400741621211637,21008,160000000,3.46,0,2,1,-1.5896770722024625,-0.7381848271471847,4.437983978123419,-1.5896770722024625,-0.7381848271471847,4.437983978123419,1.991741418838501
0.0,0.0,5.0,-0.20846101220532848,0.6987607111403479,4.354644931093046,-0.37896155457556313,-0.006973346637119622,0.010243548097492606,0.9253294452856913,-0.03165557444666878,0.028296459939053654,0.001930500403703323,-0.0010682998777156172,-0.000768589308108858,0.001803159932478593,21008,401000000,3.41,0,2,1,-1.5771651713485795,-0.7370407731813821,4.437653968470008,-1.5771651713485795,-0.7370407731813821,4.437653968470008,2.648768901824951
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.19743203232686868,0.6994142005629931,4.355386390410496,-0.37917643483078173,-0.00696126832605534,0.010106373846890405,0.9252430130619616,-0.032300287098434396,0.027802439880572526,0.0020563139958084406,-0.0010308210789844452,0.0008615654110144533,0.0017622650830162456,21008,661000000,3.37,0,2,1,-1.566648465769496,-0.7360526778041613,4.43733440511046,-1.566648465769496,-0.7360526778041613,4.43733440511046,3.2894914150238037
-0.002467198171341778,0.15705379539064146,5.125333233564304,-0.1855257533270089,0.7003401304944812,4.356220003531752,-0.37940198710135703,-0.007036508392253294,0.00989410660372879,0.9251522720005076,-0.033009084305191505,0.02721411598455594,0.0026330027057106502,-0.00202778458060493,0.0012431747791197267,0.0017373685864185973,21008,941000000,3.34,0,2,1,-1.554299301927712,-0.7348803327437462,4.436924557246965,-1.554299301927712,-0.7348803327437462,4.436924557246965,3.9109528064727783
-0.005550625190149816,0.23553225354821328,5.187381314585725,-0.17531575146376216,0.7014130802868418,4.357265116883012,-0.37959417533837575,-0.007091391108302568,0.009604635386879248,0.9250760645484308,-0.03386646445767717,0.026277677236944103,0.004627812837337403,-0.0028346631552267354,0.0013709713584830752,0.0017298096850026923,21009,200000000,3.32,0,2,1,-1.5411546576135708,-0.7335994524558305,4.436447030932051,-1.5411546576135708,-0.7335994524558305,4.436447030932051,4.530032634735107
-0.009866357858641983,0.31395259764656686,5.248689887164855,-0.1651746075837146,0.7028618564936286,4.358955708972523,-0.37978667057244325,-0.007116700252327945,0.009225694603167448,0.9250007156711317,-0.034877198278291055,0.02479062174765647,0.007921483966266803,-0.003674208664961043,0.0013964528989163227,0.0017315874060841452,21009,447000000,3.3,0,2,1,-1.5300403714549649,-0.7323015472514215,4.436306143420517,-1.5300403714549649,-0.7323015472514215,4.436306143420517,5.14593243598938
-0.022190176984599574,0.47054156659257157,5.368124552684678,-0.15429475643658794,0.7050243069743193,4.361829030791214,-0.3799983227344998,-0.00710455585814995,0.008703686406186434,0.924918940149875,-0.0364371806427249,0.022698216785188186,0.012742043118101381,-0.004776507148562814,0.0014537226661559544,0.0018353934137849137,21009,720000000,3.28,0,2,1,-1.519199158497791,-0.7308409771108232,4.436782073282611,-1.519199158497791,-0.7308409771108232,4.436782073282611,5.756234407424927
