x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.06838940005345928,1.0173418993634658,4.944775473089164,-0.6830390449346088,6.300963614766702e-05,5.882967075067878e-05,0.7303818560613845,0.08608660363818435,6.329849385809968e-06,0.002182406546137445,1.1674039027131933e-07,5.390679813643828e-06,3.2567952779061216e-07,413,644000000,0.02,0,2,0
0.0,0.0,5.0,0.06779455089580023,1.0084625667972762,4.94501118057986,-0.68303909990825,6.403992774588011e-05,5.980300252161074e-05,0.7303818044824338,0.0912693257368057,6.2698747380818026e-06,0.0024869421914825965,2.0547816503846406e-07,-6.693030272231226e-05,1.3649680496996552e-06,413,734000000,0.02,0,2,0
0.0,0.0,5.0,0.06705654889055127,0.9974478337892244,4.945328471164141,-0.6830391275073513,7.060432311876012e-05,6.597114502613448e-05,0.7303817775361279,0.0912963948451149,5.5447783895612975e-06,0.0027317947432283834,4.626411226338334e-07,-0.0001749263631722897,1.4565593176030234e-08,413,826000000,0.02,0,2,0
0.0,0.0,5.0,0.0661498993776664,0.9838805227208867,4.94578315445087,-0.6830367274580008,7.202422648202732e-05,6.733864476556644e-05,0.7303840217457404,0.07721448306730161,5.5201326264081184e-05,0.002818550499415536,4.781000428888404e-07,0.00015110091169390216,-0.00012743118560365474,413,943000000,0.02,0,2,0
0.0,0.0,5.0,0.06563151791204215,0.97602915616086,4.946088706759351,-0.6830310418954476,6.469622977999957e-05,6.0526311018898335e-05,0.7303893399812066,0.05336205647071725,6.731368873678432e-05,0.0021530252079625645,3.902411116474269e-07,0.00012393295349966138,-9.73544779014901e-05,414,116000000,0.02,0,2,0
0.0,0.0,5.0,0.06536226919445223,0.9719185988259124,4.946264793617033,-0.6830282652961434,6.230026375696861e-05,5.830518813277901e-05,0.7303919369254589,0.029491899457837457,7.056536020190839e-05,0.0013387822373334356,3.37214292600585e-07,-8.214003806017445e-05,-8.313179336028043e-05,414,225000000,0.02,0,2,0
0.0,0.0,5.0,0.06529999692187748,0.9708779343872402,4.946319936807608,-0.6830242173481835,7.458803895810178e-05,6.986467631706399e-05,0.7303957201897153,0.0005263853940450368,0.00011209383423276493,0.00018925471413386093,2.017722455782689e-06,-0.0006421991145089123,-0.0001760508055781429,414,319000000,0.02,0,2,0
0.0,0.0,5.0,0.06539216774672175,0.9720914895273385,4.946285458592695,-0.6830179968966201,9.890483333047934e-05,9.275310899382309e-05,0.7304015317139081,-0.027290018580078883,0.00014997190519453092,-0.000897725165132608,3.2086488355176357e-06,-0.0009556245231578941,-0.00023774693858058527,414,406000000,0.02,0,2,0
0.0,0.0,5.0,0.06580059672150049,0.9778989295211867,4.94608122429972,-0.6830089132014209,0.00014400179573102964,0.0001351934400907302,0.7304100118930671,-0.06587115324946026,0.0001460763374773904,-0.0023169532567769904,2.9764673392662644e-06,-0.0010384466236246226,-0.00015661151309132038,414,496000000,0.02,0,2,0
0.0,0.0,5.0,0.06636310629499324,0.9860697809057195,4.945782018419891,-0.6830045024493848,0.0001786882992058457,0.00016779447426809832,0.7304141219536863,-0.09391051704070094,0.00013093839895466727,-0.003379511829299161,2.0122094879226893e-06,-0.0008505359971877624,-9.602623691762346e-05,414,597000000,0.03,0,2,0
0.0,0.0,5.0,0.06723907329823507,0.9988930666641622,4.9453414771556465,-0.6830013547264633,0.00020537234324313186,0.00019284807981675482,0.7304170521514639,-0.11609335909333791,0.00011495829784127158,-0.0036504482277433525,5.65979130229266e-07,-0.0003300316478771492,-5.475543254362947e-05,414,697000000,0.03,0,2,0
