x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.24480800741533443,-0.6881313282114806,4.970105786115212,-0.8134821735415361,0.00010869951265902862,-0.0003751415890881054,-0.5815897186018182,-0.06877365054991552,-0.00393042902980201,-0.0006505554477508306,-5.981530328824647e-05,0.0031811361168365693,0.002665133069967851,31,459000000,1.04,0,2,0
0.0,0.0,5.0,-0.24647784784550428,-0.6940070720841485,4.970059514411904,-0.8134193007065296,0.00018454651873449268,-0.0004774168199185348,-0.5816775560857259,-0.08064552523396062,-0.0040342494035230155,-0.0006186958657208326,-5.129867197695148e-05,0.003145216396660544,0.0027260175556875765,31,530000000,1.03,0,2,0
0.0,0.0,5.0,-0.24739960541789813,-0.697206369271063,4.970039259683291,-0.8133873878495698,0.0002214432264423494,-0.0005272490145645792,-0.5817221246081564,-0.08461412211813915,-0.004055361998224109,-0.0005779127503149504,-4.890331091189637e-05,0.0030706699362781364,0.0027497531846165657,31,602000000,1.01,0,2,0
0.0,0.0,5.0,-0.2488013214623464,-0.7020561793434346,4.970013610516458,-0.8133406463153632,0.0002675770953345141,-0.000594952850320984,-0.5817873902766466,-0.08276943264704936,-0.003963081737196092,-0.000488056980064095,0.00011945999318641043,0.002447990891596419,0.0026086095658683917,31,656000000,1.0,0,2,0
0.0,0.0,5.0,-0.2505080173121465,-0.7080114443913644,4.969985996624902,-0.813284377873844,0.00030280045375690584,-0.0006530061383115433,-0.5818659661822668,-0.07187751023405489,-0.003751897569349848,-0.0004323265955307874,0.00012922036347617905,0.0010297808444192924,0.0022458070816355757,31,716000000,0.99,0,2,0
0.0,0.0,5.0,-0.25158178818489346,-0.7118396530637967,4.969966689416948,-0.8132475671953544,0.00030783613416603876,-0.0006664200545314072,-0.581917395832143,-0.062050983586844057,-0.0035925200234073204,-0.00040337756502833685,0.0001221525963046588,8.620602667264166e-05,0.0020195969909764244,31,785000000,0.98,0,2,0
0.0,0.0,5.0,-0.2524758870902442,-0.7151105781140068,4.969948340488141,-0.8132131982926911,0.0002994102948875632,-0.00066065640090972,-0.5819654354076083,-0.0524381350310351,-0.003411600227773729,-0.00037325948145078074,0.0001151015425193691,-0.0005735720321808913,0.0019413059590078774,31,851000000,0.97,0,2,0
0.0,0.0,5.0,-0.25319708499165305,-0.717845841776385,4.969930890640939,-0.8131807608443011,0.00028201316608845957,-0.0006420095251923935,-0.5820107889764821,-0.043224529764412635,-0.0032726688333439024,-0.00034329492732471513,0.00010836541761705121,-0.001009771813187399,0.001798398216124042,31,912000000,0.97,0,2,0
0.0,0.0,5.0,-0.25375233283297,-0.7200707448026401,4.969914318955178,-0.8131505848050085,0.0002588504264565035,-0.0006149842260181054,-0.5820529883284951,-0.03447742428204313,-0.003146565129369157,-0.00031425243650236767,0.00010209777130398834,-0.0012868208159488859,0.0016843974890434765,31,962000000,0.96,0,2,0
0.0,0.0,5.0,-0.2541505538613503,-0.72181091720498,4.969898626527231,-0.8131215935005394,0.0002321950997005267,-0.0005827792826701286,-0.5820935325502996,-0.026160519056819313,-0.003005433806376081,-0.0002865381730044864,9.628594810351387e-05,-0.0014512254438159289,0.001665749380208581,32,23000000,0.96,0,2,0
