x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.09599542006195791,-0.834863665080343,4.9491558081335665,-0.640281440711942,-0.000274328730580737,-0.0006838473066634967,-0.7681400482831556,0.023559065539618045,-0.008160414294601808,-0.001821688761687494,-2.5073559761779052e-05,-0.0006302345752828842,0.004426752548170043,39,126000000,3.37,0,2,0
0.0,0.0,5.0,0.09613121138488345,-0.8338115554448443,4.9490817505934155,-0.6402135666536397,-0.0002834554248660876,-0.0006755746564215427,-0.7681966234789965,0.026263720640675677,-0.008033680951710424,-0.0018333007642115178,-2.4253368735571712e-05,-0.0006112798530466534,0.004387439821584849,39,185000000,3.36,0,2,0
0.0,0.0,5.0,0.09629012377732216,-0.8320419923622995,4.948969789077681,-0.6401140068389634,-0.0002966159016713349,-0.0006636661086234304,-0.7682795909139267,0.03012375575120708,-0.007853742120772441,-0.0018501909579772668,-2.2498613994059724e-05,-0.0005818183524297638,0.004275757464711205,39,235000000,3.35,0,2,0
0.0,0.0,5.0,0.09639779273460866,-0.8300533662423681,4.948856826113343,-0.6400166003880987,-0.00030912949385066154,-0.0006523697558757985,-0.7683607421519647,0.03378491756557602,-0.007685290917778027,-0.0018664556442937832,-2.0861568827967858e-05,-0.0005520535296454909,0.004193295990262413,39,288000000,3.34,0,2,0
0.0,0.0,5.0,0.0964567195368312,-0.8278577372159498,4.948742914245986,-0.6399204699992528,-0.00032099363856127563,-0.000641678843127915,-0.7684408092281939,0.037217264362983185,-0.007512279866414108,-0.0018821051247737406,-1.9495425185311888e-05,-0.0005226845701145066,0.004176620586804347,39,345000000,3.33,0,2,0
0.0,0.0,5.0,0.09646916901865908,-0.8254705146585334,4.9486281053194885,-0.6398241917219311,-0.00033221475551034607,-0.0006315717659668099,-0.7685209785281323,0.0404012278577439,-0.007351513417118856,-0.001897149833947565,-1.8455945927087214e-05,-0.0004940526025620784,0.004153730833422742,39,412000000,3.32,0,2,0
0.0,0.0,5.0,0.09642028809823945,-0.822009849776522,4.948473708083662,-0.6396976810697323,-0.00034621177853629557,-0.0006189781293024039,-0.7686262901029906,0.04431092084810691,-0.007175642705927142,-0.0019162911284288289,-1.6845212513771912e-05,-0.00045734386162621377,0.004097748751519248,39,471000000,3.31,0,2,0
0.0,0.0,5.0,0.09628380427153692,-0.8173610934470721,4.94828039514864,-0.6395376060964953,-0.0003610044113343572,-0.0006026450436171948,-0.7687594922231075,0.046432820777405154,-0.007098858331168771,-0.001872000344920716,-0.00016752083098481307,-0.00043706483552341524,0.004247047309036134,39,543000000,3.29,0,2,0
0.0,0.0,5.0,0.09619052353086716,-0.8137199560580887,4.948134409038969,-0.639401771977383,-0.0003695396022620219,-0.0005857221663142927,-0.7688724825107274,0.043184500014967916,-0.007198633059896745,-0.0017556647487686876,-0.00018966141510645684,-0.0004355692652779908,0.0045760343709844165,39,639000000,3.27,0,2,0
0.0,0.0,5.0,0.0961832037215288,-0.8112747282523881,4.948030994514067,-0.6392905362199844,-0.0003758232929862858,-0.0005732545786077367,-0.7689649799799761,0.03745714712460911,-0.007427072322231008,-0.0016724153239816206,-0.0001820089934767566,-0.000425253736580089,0.005021929428039584,39,721000000,3.26,0,2,0
0.0,0.0,5.0,0.09626273876352365,-0.8092126736939534,4.947932471962179,-0.639168960671266,-0.00038112936801790637,-0.0005612578143330033,-0.7690660436168562,0.02980279633908998,-0.0077376997505198605,-0.0015996643083442622,-0.0002531006998651719,-0.00030591472750529647,0.0054886607813386945,39,788000000,3.24,0,2,0
0.0,0.0,5.0,0.09649292524286968,-0.8078146228205788,4.947837191269811,-0.6390333967101199,-0.00037599897800138593,-0.0005528184281636728,-0.7691786989417221,0.016872407450522764,-0.008250477753747817,-0.0015565302169383295,-0.0003424090465387053,0.00010717699154838556,0.006123938692326192,39,847000000,3.23,0,2,0
0.0,0.0,5.0,0.09711528545529562,-0.8073404270931773,4.947712560410985,-0.6388268945392555,-0.00034988413788840183,-0.0005504910923778939,-0.7693502280197089,-0.005754627047819522,-0.009127631546946064,-0.0015419263723697992,-0.0005041747101586225,0.0007185985339219769,0.00715722799213836,39,915000000,3.21,0,2,0
0.0,0.0,5.0,0.0981430729138782,-0.8086555788611168,4.947588663263136,-0.6385928582713942,-0.00030721667708211685,-0.0005588423804831017,-0.7695445111739008,-0.028231508555200714,-0.009967455822446552,-0.0015476401663861346,-0.0005974487123694416,0.0011045774158446875,0.007935231406008825,39,987000000,3.18,0,2,0
0.0,0.0,5.0,0.0995549408266189,-0.811658175019923,4.9474624522905275,-0.6383368166805531,-0.00025379259807260704,-0.0005732188077052574,-0.7697569197348298,-0.04918844327484552,-0.010735783518318262,-0.001609298356695201,-0.00047363497515107156,0.001353667380499246,0.008610085023974534,40,62000000,3.15,0,2,0
0.0,0.0,5.0,0.10131290635995653,-0.8161911906146818,4.9473328883308385,-0.6380645798847275,-0.0001963712438118707,-0.0005949029725811348,-0.7699825968327554,-0.06719055890574806,-0.011323058481832786,-0.0016166957740765952,-0.0005672742474871484,0.0015098119206413685,0.008910563974495744,40,140000000,3.11,0,2,0
