x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.21055641737953862,-1.0038736393909504,4.954242801758594,-0.7759589446661962,-2.7616347951232816e-05,5.7965318845941225e-05,-0.6307834113781704,0.059487501485542736,-3.040836790540695e-05,0.000894783418125448,2.942233940927963e-05,-0.0007670772390611091,1.7924695150384196e-05,71,126000000,0.01,0,2,0
0.0,0.0,5.0,-0.2095315601929852,-0.998972486431522,4.954321926525,-0.7759585028216975,-4.721393845506594e-05,8.028440559970331e-05,-0.6307839513050151,0.06492566440585687,-2.8097318612010448e-05,0.001043864466331298,2.727246215528112e-05,-0.0007214154152279662,1.7071825197945145e-05,71,192000000,0.01,0,2,0
0.0,0.0,5.0,-0.2081340236497685,-0.9922865245578826,4.954436808117363,-0.7759579813844697,-6.792309078929947e-05,0.00010818578417168551,-0.6307845866918662,0.07094258041546148,-2.547380824082463e-05,0.001192712686375464,-0.000135386711974661,-0.0006837952525984292,1.5971743394516125e-05,71,267000000,0.01,0,2,0
0.0,0.0,5.0,-0.20662143979967332,-0.9850478150046582,4.9545621831546205,-0.7759574874374789,-8.833081318804033e-05,0.0001360238896974106,-0.630785186402537,0.07633127714941519,-2.309771347889276e-05,0.0012556735008808634,2.769676843428215e-05,-0.0006954601587949583,1.530083686418493e-05,71,371000000,0.01,0,2,0
0.0,0.0,5.0,-0.205337122989003,-0.9789000911455875,4.954666566630103,-0.7759571023138452,-0.00010670113000519757,0.00015666415673367881,-0.6307856525317546,0.08015807731733483,-2.135712441170026e-05,0.0012937168444555444,3.093514102658901e-05,-0.0006827800348219171,1.4985584328996993e-05,71,460000000,0.01,0,2,0
0.0,0.0,5.0,-0.20400848005987443,-0.9725425871647458,4.954774326704469,-0.7759561448156673,-0.00012446389946105225,0.00017662698603685057,-0.6307868218617543,0.08148022785949487,-3.0243764525667378e-05,0.001329713248203727,2.8808058161189365e-05,-0.0006536833723203017,3.87659923717365e-05,71,546000000,0.02,0,2,0
0.0,0.0,5.0,-0.20237907260421764,-0.9647458860011234,4.9549099782823935,-0.7759551183497245,-0.0001463914350965688,0.00020143242396409628,-0.6307880724152851,0.07682710286773206,-2.7566759198707085e-05,0.001290346692927488,2.6199718838881836e-05,-0.0006827168476775114,2.8085614722783703e-05,71,627000000,0.02,0,2,0
0.0,0.0,5.0,-0.20149158858285232,-0.9604993997226002,4.954985231607946,-0.7759546299066846,-0.00015908456451825022,0.00021584140679640703,-0.6307886654268358,0.06815936935902278,-2.6039853963354927e-05,0.0011440798631465168,2.4717466651225095e-05,-0.00058896173982248,2.392933886596893e-05,71,717000000,0.03,0,2,0
0.0,0.0,5.0,-0.20052921477036537,-0.9558958116543443,4.955067046418835,-0.7759540978371336,-0.0001675722023959166,0.00022887288926707407,-0.6307893131517982,0.04910691049435693,-2.4096690849022172e-05,0.0008424766580804488,-0.00013417192405995593,-9.29253829440313e-05,1.8314333871671806e-05,71,789000000,0.03,0,2,0
0.0,0.0,5.0,-0.20018728713274894,-0.9542612981109484,4.95509727699622,-0.7759538987589927,-0.00016390062498589184,0.00022910464495986757,-0.6307895589246588,0.037383998170589135,-2.3157977011462485e-05,0.0006666156214197703,-0.00015384536737883536,0.00021631805537936089,1.43072145242229e-05,71,861000000,0.03,0,2,0
0.0,0.0,5.0,-0.19982417610802827,-0.9525294173140886,4.955130832346587,-0.7759536780960161,-0.00014759780385821352,0.00021024496370953714,-0.6307898409622712,0.010229667370630354,-2.388867186444209e-05,0.00020196321917545233,2.6798571006736438e-05,0.00090183027623425,4.440634526758913e-06,71,917000000,0.03,0,2,0
0.0,0.0,5.0,-0.19983695753189282,-0.9526095237262125,4.955130968139901,-0.7759536873936829,-0.00012751766137770803,0.00018407017380899204,-0.6307898420849559,-0.0094794377551082,-9.276779855819518e-05,-0.00013764723629491456,3.170949476327678e-05,0.001219707132804615,-3.4399559423192727e-06,71,982000000,0.03,0,2,0
0.0,0.0,5.0,-0.2000821276917554,-0.9538143661952365,4.955110712134727,-0.7759538373641417,-0.00010286446069069703,0.00015227102716494165,-0.6307896705814862,-0.028227405668471577,-9.823971851874444e-05,-0.0004646725623242131,3.028546622374506e-05,0.0014130798945188872,-1.0443689646422172e-05,72,51000000,0.03,0,2,0
0.0,0.0,5.0,-0.2012315342643203,-0.9593871324223869,4.955004624407127,-0.7759544764279063,-4.4443126139279504e-05,7.770443476293308e-05,-0.6307889048630475,-0.06307297364739786,-0.00014593305592258888,-0.001212947410252701,2.683847082352031e-05,0.0016745672837714665,-2.11833958374541e-05,72,116000000,0.02,0,2,0
0.0,0.0,5.0,-0.20243436030660966,-0.9652165228389448,4.954890341413599,-0.7759550805389729,-7.337563508453252e-07,2.231015406507009e-05,-0.6307881676818886,-0.08263421707807754,-0.00015800480731427313,-0.0015492862876990566,2.4733507508756247e-05,0.0018454433529768721,-2.582687983476717e-05,72,224000000,0.01,0,2,0
0.0,0.0,5.0,-0.20429664723036317,-0.9742315078205451,4.954722819775342,-0.7759534760833776,6.031193903567545e-05,-5.4639219800068225e-05,-0.630790136520181,-0.09933193212443067,-0.00019779044518423088,-0.00178304333607321,2.2367795615707564e-05,0.002031768485721841,0.00010853896057483325,72,315000000,0.01,0,2,1
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.2059751069939224,-0.982362156131606,4.954583423064067,-0.7759496863685461,0.0001123539267622403,-0.00012001406144268485,-0.6307947821580128,-0.10646771289687769,-0.0002279012164041985,-0.0017251128888374444,2.070085116656628e-05,0.0021258911829136196,0.00017752468721710102,72,406000000,0.01,0,2,1
-0.0006168375916972835,0.07853658655910338,5.0627905195293135,-0.20726762166273674,-0.9886267669331106,4.954486974473812,-0.7759463834417686,0.00015096694914779938,-0.00016846372415402658,-0.6307988259759156,-0.10469687631584304,-0.0002268422142110473,-0.00156793245946705,1.9597174016894314e-05,0.0019614147959146067,0.0001509190312276587,72,490000000,0.01,0,2,1
