x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,0.5388182413227979,-0.9015290647913983,4.953887216615623,-0.49383477751117255,0.0002706740566533827,-0.00020230441750581607,-0.8695556901826175,-0.035548138095771495,-4.1510415443899525e-05,-0.0004280645826054086,-8.933989121828745e-05,-0.0009629790838516783,3.021734507058227e-05,82,689000000,0.04,0,2,0
0.0,0.0,5.0,0.5403895776352737,-0.9041544096061569,4.953859589373355,-0.4938337415816638,0.00022232640591081154,-0.00016913157310537234,-0.8695562992934582,-0.01725286270576512,-3.683723456298085e-05,-9.741816815909313e-05,-6.390387454757729e-05,-0.0009708004313324636,1.2999308118821773e-05,82,774000000,0.04,0,2,0
0.0,0.0,5.0,0.5408347255528964,-0.9048952238466762,4.953859536023219,-0.4938334211314515,0.00018690634336162014,-0.00015219552309610147,-0.8695564927456685,-0.005901793810734789,-3.405991871524944e-05,6.26523742989965e-05,9.674600960352109e-05,-0.000980049264853733,6.959579623710965e-06,82,879000000,0.04,0,2,0
0.0,0.0,5.0,0.5407600028979628,-0.9047636391960927,4.953873130283056,-0.4938332532072879,0.00014491530522002443,-0.0001256204227688145,-0.8695566003692746,0.007406651998062591,-3.090746874999568e-05,0.0001943712656424914,-7.828907797602369e-05,-0.000993640276192309,1.7416009856496828e-06,82,971000000,0.04,0,2,0
0.0,0.0,5.0,0.5400326255295633,-0.9035384205701671,4.953898835349545,-0.4938266113484541,0.00010436147695177221,-9.81826068792453e-05,-0.8695603816831585,0.019689520133897596,-2.8296850700294328e-05,0.0003152326680073479,-7.416885878797075e-05,-0.000956703274823667,0.00027236576727318607,83,70000000,0.05,0,2,0
0.0,0.0,5.0,0.5387050742238686,-0.9013075282221907,4.953936007992148,-0.493810389928025,6.591441424270565e-05,-7.23470251493123e-05,-0.8695695999862976,0.030940271009017757,-2.672117229125337e-05,0.0004281707832902562,-5.633462194509775e-05,-0.0008952125426731072,0.000436988204910449,83,170000000,0.05,0,2,0
0.0,0.0,5.0,0.5372470011423713,-0.8988592556048648,4.953975663355755,-0.4937983678895538,3.347970508476973e-05,-5.759717736580031e-05,-0.8695764298963532,0.03917332327701187,-2.580888543346785e-05,0.000556982554939719,0.00011307074601063505,-0.0008776252570896759,0.0002819650717356126,83,259000000,0.05,0,2,0
0.0,0.0,5.0,0.5349738893332696,-0.8950485579338002,4.954039476389092,-0.4937865665430362,-6.353493676802076e-06,-4.143370826747922e-05,-0.8695831328541973,0.04846791472298702,2.3531991295330966e-05,0.000708553701292495,0.0001086604072497721,-0.0008284091677523975,0.0002852533242503341,83,350000000,0.05,0,2,0
0.0,0.0,5.0,0.5322556735835808,-0.8904974433264113,4.9541182404982385,-0.493776917671445,-4.341929616922124e-05,-2.6345331962391098e-05,-0.8695886113534232,0.05659684463119273,2.3446324473249222e-05,0.0008497192988942131,9.972322843054826e-05,-0.0007638158251666027,0.00017038963022741882,83,445000000,0.06,0,2,0
0.0,0.0,5.0,0.5291477589467909,-0.8852926460449725,4.954211019113,-0.4937714014109711,-7.744866991381581e-05,-1.2765135687667913e-05,-0.8695917415588768,0.0638058287064844,2.02014838858809e-05,0.0009775488433767044,0.000137396741450857,-0.0006981378021464479,9.721668305928688e-05,83,545000000,0.06,0,2,4
0.0,0.0,5.0,0.526410539174906,-0.8807079874228758,4.954292451717891,-0.4937687436778711,-0.0001062497109825061,-7.512969369065641e-06,-0.8695932476861414,0.06897835739566792,1.8060324832392524e-05,0.001030979022376303,0.00026094791394370986,-0.0006825081527495058,6.237100151906816e-05,83,637000000,0.06,0,2,4
-0.007994025752217304,0.06280566511082372,5.0,0.5227087411692147,-0.8745070645004743,4.95440055966288,-0.4937667124638496,-0.00014122948856304678,-2.111162895963842e-06,-0.8695943960907386,0.07477241362072731,1.5776436751528192e-05,0.0010936295309791353,0.00024178330590984842,-0.00064224154243675,3.587235326563132e-05,83,731000000,0.06,0,2,4
-0.007994025752217304,0.06280566511082372,5.0,0.5195468290164362,-0.8692100716012028,4.95449184689511,-0.4937657275183548,-0.00016736990813260986,2.062231770698616e-06,-0.8695949507163269,0.07888050962129006,1.4185397406635866e-05,0.0011407327497957207,0.00022447069056852342,-0.0006017023338245053,2.3022294115548902e-05,83,821000000,0.07,0,2,4
-0.007994025752217304,0.06280566511082372,5.0,0.5145109311924732,-0.8607725053244777,4.9546363102809075,-0.4937648677389993,-0.00020286090027713213,8.55037865004054e-06,-0.8695954313133404,0.08434590716451826,-1.3376335889689667e-05,0.0012068194447179756,6.318593239740267e-05,-0.0005498710947904328,1.1745029837584298e-05,83,914000000,0.07,0,2,4
-0.007994025752217304,0.06280566511082372,5.0,0.5100738290078598,-0.8533082501992605,4.954763205360519,-0.4937649888337878,-0.00022456151931119628,2.8469094245734794e-05,-0.8695953567974037,0.08879865013251273,-0.0002444137878205969,0.0012576318822352674,-0.00016667918174562146,-0.0005848896876159415,-6.270757957338446e-05,84,17000000,0.07,0,2,4
-0.01697820740838507,0.1255483960083878,5.0,0.5045130944090563,-0.8438993432057761,4.954922780045666,-0.49377652931566773,-0.00025015124728438643,5.393357429548382e-05,-0.869588795703174,0.09180593100450196,-0.000489889183197182,0.001313877545008066,-0.00015015219645420075,-0.0005702826570086472,-0.00024853598290519585,84,120000000,0.07,0,2,4
-0.01697820740838507,0.1255483960083878,5.0,0.49905577385572025,-0.8346093722147142,4.955087693849186,-0.4937860800576658,-0.00027540483960289083,7.802855272098135e-05,-0.869583362999203,0.08532384421893893,-0.0007076281212294134,0.0013076809983336582,-0.0001342996696962473,-0.0005862869784323266,-0.00013930870323974887,84,246000000,0.08,0,2,4
