x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.30741170672302154,-0.02260582577670215,5.015829147913983,-0.9994163663052364,-0.00015211354609800313,-0.0021182070956769702,-0.03409423443056592,-0.002184662026102701,-0.0003174919363432158,0.003585848483992185,-4.4000020338330614e-05,0.0003582662259304925,0.0003015673172512834,133,13000000,14.94,0,2,0
0.0,0.0,5.0,-0.3080952597231805,-0.022700316694366774,5.016441906385461,-0.9994155650117915,-0.00014838413592754038,-0.0021424680949856303,-0.034116216448653425,-0.007027788411071654,-0.00035593068631823945,0.004940266471619158,-3.8075777197832394e-05,0.0003350443051886032,0.00032275323746944196,133,169000000,15.02,0,2,0
0.0,0.0,5.0,-0.30929218877142767,-0.02283498820338724,5.017203501944056,-0.9994147376351701,-0.00014519287318007202,-0.002162247274900278,-0.03413921210830351,-0.009255452136438861,-0.0003890867744959889,0.005610548959394989,-3.279898201924425e-05,0.00021073622207268272,0.00033268131005570467,133,310000000,15.1,0,2,0
0.0,0.0,5.0,-0.3103831293036902,-0.02295709131826641,5.017883814829811,-0.9994140923010382,-0.00014273033684181115,-0.002171526435199348,-0.0341575205640568,-0.008356164608413805,-0.0003781971894127729,0.005454839238519997,-3.0752041979553724e-05,0.00011850363250687224,0.00024031318019979153,133,439000000,15.17,0,2,0
0.0,0.0,5.0,-0.3111882791955803,-0.023055126667874126,5.018495160294081,-0.9994136375536601,-0.00014086580346380504,-0.002176858036163949,-0.0341704919144713,-0.004828196416152905,-0.0003355896662154628,0.0045573142995279595,-2.559216696340627e-05,7.08363621981789e-05,0.00029236349519123905,133,568000000,15.23,0,2,0
0.0,0.0,5.0,-0.31129923440794466,-0.023118157988385398,5.019113461153241,-0.9994125808316613,-0.00015423823372472936,-0.002182160804832548,-0.034200989169715146,0.003445650677296936,-0.0002807292512826452,0.002323731662619658,0.00032831865723892406,4.376720710297377e-05,0.00024039372021888994,133,695000000,15.31,0,2,0
-0.002291386001864737,0.07066929128722992,5.08972966070103,-0.3103250157440344,-0.023088102569658986,5.019293184015233,-0.9994118072703646,-0.0001579622624594463,-0.002184993418919609,-0.03422338878992298,0.009886367563255585,-0.0002449704673021183,0.000445466160163082,-5.648182153095149e-05,3.424732710755052e-05,0.0004307845586026815,133,866000000,15.4,0,2,2
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.3081835723638862,-0.02297740657941644,5.019185095147206,-0.9994103830149761,-0.00015347847940159792,-0.002187124222602699,-0.03426483990696522,0.01636281883127335,-0.0002106563714122649,-0.0015207156125305202,-5.030216918555652e-05,2.2873275540291615e-05,0.0005757673307016375,134,12000000,15.47,0,2,2
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.30563049193640696,-0.022794104864472715,5.0189866689744065,-0.999409063198767,-0.00016507740464055112,-0.0021887802340934477,-0.0343031541800477,0.0193533680823962,0.00044960362584986317,-0.00047953484018703935,0.00030680043892061803,1.5399777630875633e-05,0.00048808906285557896,134,171000000,15.56,0,2,2
-0.009160726391858276,0.14123938972314432,5.179278617806867,-0.302871864205343,-0.022450667517125385,5.019154755043224,-0.9994078599707739,-0.00019101021693668295,-0.002191894251842936,-0.03433785874692136,0.01953552880995616,0.0018762845993636926,0.003628789884980446,0.0004464177067120545,6.273732253703201e-05,0.0005508432536771579,134,312000000,15.64,0,2,2
