x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,1.0133720992650983,-0.31288795307438755,4.922315275619416,-0.2511667982885477,4.634350141314722e-05,-4.658400646114725e-05,-0.967943818162857,-0.006404151109170857,0.0008523731500687011,-0.015136913255363881,-5.75306223993266e-05,-8.431953517629154e-05,-5.539678848975882e-06,613,641000000,3.36,0,2,0
0.0,0.0,5.0,1.0139600418207317,-0.3133249040381675,4.920490711191379,-0.2511670933323879,4.248825306590069e-05,-4.2207200062080615e-05,-0.9679437419810408,-0.005761093772084516,0.0007548658518783929,-0.015261794280113313,-5.1966440040018824e-05,-7.73880088900114e-05,-4.722323465600198e-06,613,738000000,3.42,0,2,0
0.0,0.0,5.0,1.0143191993348541,-0.31359088308070515,4.919266290473239,-0.25116726571338166,4.008911310542482e-05,-3.9517189482435826e-05,-0.9679436974666027,-0.005368677003837742,0.0006961408754339604,-0.01533950538768225,-4.8557486920230986e-05,-7.308333280775514e-05,-4.256527974533242e-06,613,838000000,3.49,0,2,0
-0.007994025752217304,0.06280566511082372,5.0,1.0148130900295789,-0.3139553808035598,4.917418447062126,-0.2511674933517525,3.6729289532148636e-05,-3.5795737970001174e-05,-0.9679436386758382,-0.004829597075783559,0.0006165085915575503,-0.01544834489423958,-4.385585761212951e-05,-6.706266972855701e-05,-3.656473368529589e-06,613,922000000,3.54,0,2,0
-0.007994025752217304,0.06280566511082372,5.0,1.0151869780251848,-0.3142302725547495,4.915868982509961,-0.2511676586670177,3.413439249749463e-05,-3.295973038599665e-05,-0.9679435959745937,-0.004421952113213209,0.0005571536486755167,-0.01553243086097451,-4.0284789193378856e-05,-6.241618422109241e-05,-3.232647860507143e-06,614,38000000,3.62,0,2,0
-0.01697820740838507,0.1255483960083878,5.0,1.0155296461314254,-0.3144813585123771,4.9143114133771615,-0.2511678050651172,3.171316238825103e-05,-3.0344958502738208e-05,-0.9679435581542088,-0.004048715643482931,0.0005035140147697942,-0.015610929679373789,-3.700199009415428e-05,-5.808114273975207e-05,-2.8666311768787978e-06,614,146000000,3.68,0,2,4
-0.01697820740838507,0.1255483960083878,5.0,1.0159618457889739,-0.31479678701020797,4.9121182204118465,-0.25116798302484783,2.8594335380824394e-05,-2.702368190310007e-05,-0.9679435121717146,-0.0035785079735786455,0.0004369824277762899,-0.01571214317677405,-3.284648002477297e-05,-5.249445536037456e-05,-2.4346716198664353e-06,614,246000000,3.75,0,2,4
-0.01697820740838507,0.1255483960083878,5.0,1.0161315165771418,-0.31492020299770346,4.9111740818020335,-0.25116805092776373,2.734829563471624e-05,-2.571211724055435e-05,-0.9679434946235786,-0.0033940956122712543,0.00041123194782313147,-0.015752625067262122,-3.1210143092152975e-05,-5.0260694806070205e-05,-2.2739014449157935e-06,614,395000000,3.84,0,2,4
-0.026955524430023026,0.18821223430714068,5.0,1.0162397959695608,-0.3149988346172129,4.910543331871945,-0.2511680937036287,2.654625249976992e-05,-2.4872687035444034e-05,-0.9679434835680909,-0.003276464614264319,0.0003949137271455799,-0.015778699798732358,-3.016430412117188e-05,-4.88221289174362e-05,-2.1738375544089195e-06,614,453000000,3.87,0,2,4
-0.026955524430023026,0.18821223430714068,5.0,1.0165428583927367,-0.31521835215537497,4.908645037761676,-0.25116821119104443,2.427120726756131e-05,-2.2512588317563896e-05,-0.9679434531991953,-0.002947472833411962,0.0003497429837076519,-0.015852755367054452,-2.7230207422235253e-05,-4.473748980160508e-05,-1.9040478749232648e-06,614,496000000,3.9,0,2,4
-0.03792871608951609,0.2507810623072051,5.0,1.01681579324714,-0.31541528718903467,4.906738238723305,-0.2511683142975346,2.218114314796537e-05,-2.037273971585338e-05,-0.9679434265420078,-0.002651516225729535,0.00030973958761827507,-0.015920944781441893,-2.4578441504274906e-05,-4.097829808813458e-05,-1.6736775299008855e-06,614,613000000,3.97,0,2,4
-0.04990027644803874,0.3132386055305398,5.0,1.0170615910468637,-0.3155919691627966,4.904823608910075,-0.2511684050932066,2.026199353447436e-05,-1.8432909697243067e-05,-0.967943403062707,-0.002385277518922485,0.00027431232412864095,-0.01598373247813746,-2.218204642190358e-05,-3.751937107665526e-05,-1.4760370481425866e-06,614,724000000,4.04,0,2,4
-0.04990027644803874,0.3132386055305398,5.0,1.0172829459808377,-0.3157504865271801,4.902901769020622,-0.2511684853007936,1.8500701066555793e-05,-1.6674711706896047e-05,-0.9679433823170562,-0.002145772558681147,0.00024293763548039284,-0.01604154616510369,-2.0016641855136186e-05,-3.433765627391949e-05,-1.305690577879659e-06,614,846000000,4.1,0,2,4
-0.04990027644803874,0.3132386055305398,5.0,1.0174181453409152,-0.3158470061915181,4.901616820950115,-0.25116853361137137,1.7408179794983447e-05,-1.5595168803707153e-05,-0.9679433698193605,-0.0019996175904338806,0.0002240413930406348,-0.016077521101328165,-1.8690389680386943e-05,-3.235999308515147e-05,-1.2050668463103875e-06,614,964000000,4.16,0,2,4
-0.06287244931678915,0.37556843537659224,5.0,1.0176617953042968,-0.31602032372101124,4.899038699646694,-0.2511686194811296,1.5404042073676537e-05,-1.3637877306477692e-05,-0.9679433476008124,-0.0017364954967935635,0.00019054445493204165,-0.016143795852492877,-1.6292702831322003e-05,-2.8722826606042418e-05,-1.0299687991377482e-06,615,53000000,4.2,0,2,4
-0.06287244931678915,0.37556843537659224,5.0,1.0178234459974889,-0.3161348278298513,4.897098480801607,-0.25116867568356954,1.4046946102339146e-05,-1.2330231705991391e-05,-0.9679433330552003,-0.0015621360665376517,0.00016875176217648558,-0.01618892858055549,-1.4696162242699984e-05,-2.625217483398501e-05,-9.180031845801295e-07,615,197000000,4.27,0,2,4
-0.07684722320348403,0.4377539718994975,5.0,1.0179690116934417,-0.3162375739478545,4.895153080062024,-0.251168725832807,1.2804132563361958e-05,-1.114593513524853e-05,-0.9679433200737253,-0.001405284302332092,0.0001494517929050516,-0.016230485482902422,-1.3254215591729235e-05,-2.3983346331135635e-05,-8.198667522663072e-07,615,328000000,4.31,0,2,4
-0.09182632624610987,0.49977848670888325,5.0,1.0181000907779822,-0.3163297725448971,4.893202908125003,-0.2511687706659753,1.1666579126402608e-05,-1.0073567795469282e-05,-0.9679433084662328,-0.0012641821838341113,0.00013235938528447568,-0.01626874979310749,-1.1952073109000594e-05,-2.1900888214076986e-05,-7.335398510832647e-07,615,456000000,4.35,0,2,4
-0.09182632624610987,0.49977848670888325,5.0,1.0182366196762878,-0.316425448523303,4.890922180060091,-0.2511688170893408,1.0461335750842629e-05,-8.950141289186386e-06,-0.9679432964447848,-0.0011173679620154354,0.00011487308519374019,-0.016309576805751222,-1.0591813914828663e-05,-1.96878437108694e-05,-6.455312950848224e-07,615,573000000,4.38,0,2,4
-0.10781122113602892,0.5616251059963305,5.0,1.0183410606002963,-0.31649836925815916,4.888962927909596,-0.25116885245261555,9.523934902806848e-06,-8.085926410783416e-06,-0.9679432872857524,-0.0010051756713919285,0.00010173575080496428,-0.01634157444374693,-9.54833705435476e-06,-1.7961395570864624e-05,-5.794119628532712e-07,615,710000000,4.4,0,2,4
-0.10781122113602892,0.5616251059963305,5.0,1.0184351029251097,-0.3165638110123725,4.887000002342604,-0.2511688842150465,8.667317363110575e-06,-7.303891686765552e-06,-0.9679432790580753,-0.0009042486082741899,9.010101300783267e-05,-0.016371036732101534,-8.606462564841877e-06,-1.6379374478958653e-05,-5.206840958393855e-07,615,831000000,4.42,0,2,4
-0.12480310003259198,0.6232768136895412,5.0,1.0185197806928683,-0.3166225427319408,4.885033694485759,-0.2511689127747558,7.884905576230502e-06,-6.596365232647302e-06,-0.967943271658966,-0.0008134555995929065,7.979699114269444e-05,-0.016398164526574353,-7.756424036386989e-06,-1.4930463709816877e-05,-4.6839154776989744e-07,615,947000000,4.43,0,2,4
-0.12480310003259198,0.6232768136895412,5.0,1.018583866799459,-0.31666685986840565,4.883392714948413,-0.2511689343799519,7.285176108275587e-06,-6.058627416259587e-06,-0.9679432660609084,-0.0007447987667961655,7.211647039724313e-05,-0.016419121608911645,-7.1118082978216535e-06,-1.3817120070314104e-05,-4.2914216624723167e-07,616,64000000,4.44,0,2,4
-0.14280287947149173,0.6847164547362532,5.0,1.01865372815917,-0.3167150295986795,4.881420887037971,-0.2511689579389984,6.623334602792617e-06,-5.470057951760709e-06,-0.9679432599558959,-0.0006700159979301855,6.386937819988391e-05,-0.016442439250698763,-6.4077868788814385e-06,-1.258551955984899e-05,-3.8663336976441087e-07,616,160000000,4.44,0,2,4
-0.14280287947149173,0.6847164547362532,5.0,1.018706599562272,-0.3167513788933774,4.879775643139935,-0.25116897578441516,6.1164192008024915e-06,-5.02287946747219e-06,-0.967943255330997,-0.000613465928480892,5.772205446740344e-05,-0.01646045283982597,-5.87403703455891e-06,-1.163998524233989e-05,-3.5462468517266643e-07,616,295000000,4.43,0,2,4
-0.14280287947149173,0.6847164547362532,5.0,1.0187361728181974,-0.3167716680494646,4.878787656456413,-0.2511689857759285,5.830458740353303e-06,-4.772062105618385e-06,-0.9679432527413601,-0.0005818534986722669,5.432146621970421e-05,-0.01647068092570302,-5.575123651624381e-06,-1.1105690145285507e-05,-3.3677136634935323e-07,616,386000000,4.42,0,2,4
-0.16181119526917875,0.7459267385199392,5.0,1.0187821401347374,-0.3168031399986232,4.87713969248733,-0.25116900132550085,5.38231216629365e-06,-4.381171477268054e-06,-0.9679432487108872,-0.0005327445923716262,4.9093206789144496e-05,-0.016486816909434408,-5.109976841666253e-06,-1.0266987970908303e-05,-3.0907914005950943e-07,616,439000000,4.42,0,2,4
-0.16181119526917875,0.7459267385199392,5.0,1.0188242575174253,-0.31683190257508465,4.875490174413073,-0.2511690155990892,4.967545062167189e-06,-4.0218656265255086e-06,-0.967943245010849,-0.0004877806030754488,4.436820226908759e-05,-0.016501880106143473,-4.683211551892441e-06,-9.489186592048782e-06,-2.8375271021729986e-07,616,537000000,4.4,0,2,4
