x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,time
-0.007994025752217304,0.06280566511082372,5.0,1.4780299848659055,0.9758969825608855,4.9165569280444466,-0.30203333283622885,-5.624360790460934e-05,0.0028857648956036198,0.9532929953867613,0.18139206082606468,-0.010741865242866003,0.009631945813698212,-0.0005785475082120684,-0.0013208732525527012,-0.005639906385113136,63224,697000000,1.65,0,2,4,-0.3290861858421965,-0.27818891501370274,4.97897673239782,7.510185241699219e-05
-0.007994025752217304,0.06280566511082372,5.0,1.4462924911171042,0.9561568907022596,4.918527150113119,-0.30150347972105573,6.909231107138738e-05,0.002868637472381954,0.9534607584276341,0.19081504666302435,-0.010407585159830141,0.009519274870185845,-0.0006474599501871126,-0.0009757615885064297,-0.005555432744586142,63224,937000000,1.58,0,2,4,-0.3351373728518455,-0.27948733161667877,4.9784692781119215,0.2794651985168457
-0.01697820740838507,0.1255483960083878,5.0,1.4099220265286159,0.9335287485245505,4.920677520634707,-0.30089346233653,0.00019171404556075672,0.002819454971409596,0.9536535734964369,0.19738906213642496,-0.01098000896403131,0.009366487468085934,-0.0006965479542486719,-0.0008156321712249337,-0.0059869953020097455,63225,103000000,1.52,0,2,4,-0.3353244015508944,-0.2781590729178086,4.978124856128519,0.6116862297058105
-0.026955524430023026,0.18821223430714068,5.0,1.3725298396315773,0.9103907228456284,4.922779530251586,-0.30025537123181734,0.00028297940932405386,0.0027722201238758737,0.9538547828494032,0.20031625512864562,-0.011560183731783314,0.009030914901598719,-0.0008333000778293354,-0.0004980883886673837,-0.006149617183837108,63225,286000000,1.45,0,2,4,-0.3334416253861737,-0.27513685247603503,4.977703956429328,0.9682483673095703
-0.026955524430023026,0.18821223430714068,5.0,1.3289493644451278,0.8839380094432022,4.925174457323982,-0.29949222499651407,0.00035631334180374376,0.002678184312885475,0.9540949153707016,0.18564017150444276,-0.01340931152286127,0.008533228743051386,-0.0009041465318659903,-7.312898446798499e-05,-0.005868550624654745,63225,485000000,1.39,0,2,4,-0.3334416253861737,-0.27513685247603503,4.977703956429328,1.3510591983795166
-0.03792871608951609,0.2507810623072051,5.0,1.2846012362962353,0.8589876806785988,4.927764444992036,-0.2987267559925252,0.0003458666463432216,0.0025408614007705376,0.9543352396583641,0.124076558852559,-0.01647384142750217,0.006838140414381619,-0.0006984070409998822,0.0010342201676394325,-0.0036512836231850088,63225,663000000,1.34,0,2,4,-0.32363069511613846,-0.2635030988548989,4.976773358534159,1.8034918308258057
-0.04990027644803874,0.3132386055305398,5.0,1.263615498327332,0.8495529832307076,4.929219690328338,-0.298403368368857,0.00022083996267626576,0.0024187096126927826,0.9544367610374407,0.06463767447617057,-0.01859947119712077,0.005033315816192109,-0.0007401001937523688,0.0018120217077921552,-0.0019146549107063038,63225,874000000,1.3,0,2,4,-0.32363069511613846,-0.2635030988548989,4.976773358534159,2.141885280609131
-0.06287244931678915,0.37556843537659224,5.0,1.2562249673266945,0.8487612168889773,4.929953806730096,-0.2983141769829257,3.6707899639438005e-05,0.0022937445080758326,0.954464975365603,0.012181245025834328,-0.0207236399592733,0.0033034550592711273,-0.0006723467549818452,0.002631136317177152,-0.0004247565584591939,63226,29000000,1.29,0,2,4,-0.32363069511613846,-0.2635030988548989,4.976773358534159,2.4297218322753906
-0.06287244931678915,0.37556843537659224,5.0,1.256366431460605,0.8543285978890327,4.930375777359785,-0.2984215094634768,-0.0001923377352896149,0.002106578320808768,0.9544318351896659,-0.041071558739288874,-0.02404250627149711,0.0012643698358978776,-0.0012184833053652255,0.002734440317908593,0.002390071153968165,63226,224000000,1.29,0,2,4,-0.32363069511613846,-0.2635030988548989,4.976773358534159,2.7125251293182373
-0.07684722320348403,0.4377539718994975,5.0,1.2643111438810282,0.8662135039827747,4.930384259749599,-0.29884168102570524,-0.0004068050863908091,0.0018997835974321692,0.9543007256696576,-0.08821249356409265,-0.027976241064953777,-0.0007483636101461329,-0.0012611495094461134,0.002533005226723617,0.005746905799242086,63226,391000000,1.3,0,2,4,-0.3143093437422081,-0.2396375366115006,4.975243190447438,3.0103633403778076
-0.07684722320348403,0.4377539718994975,5.0,1.2844702811384914,0.8898294951221608,4.929826501698404,-0.29985633981549153,-0.0006601756956326519,0.00163540913985909,0.9539827383540292,-0.13870015085460005,-0.03232837580204527,-0.003206138918369786,-0.0015342568758569541,0.0023151318600866944,0.010449235924170353,63226,578000000,1.3,0,2,4,-0.3330235831378022,-0.24692002051549158,4.975096131132736,3.3669540882110596
-0.09182632624610987,0.49977848670888325,5.0,1.308312237281124,0.9156542310303296,4.9288930210949555,-0.3011321887149256,-0.0008408525660291636,0.0014144091165664762,0.9535809862479281,-0.16498922337816713,-0.035437297741881056,-0.004731350138278552,-0.0011759158155655314,0.0019863463421643246,0.012356179195194272,63226,744000000,1.29,0,2,4,-0.37165858230500215,-0.26494481455128444,4.974821431368427,3.6800878047943115
-0.10781122113602892,0.5616251059963305,5.0,1.3277432921527472,0.937299440999567,4.928128624867885,-0.3020511312090961,-0.0009684784346528327,0.0012774212766429739,0.9532903777861752,-0.15108136044363632,-0.03704818655658111,-0.003887381438709845,-0.0009187686657696759,0.001622936986223067,0.009644345118431374,63226,943000000,1.3,0,2,4,-0.41197294691316066,-0.2844218360215361,4.974582793368571,3.9688189029693604
-0.10781122113602892,0.5616251059963305,5.0,1.3435976277807613,0.9578435404905966,4.927563814652568,-0.30265707928094027,-0.0009596413137088428,0.001180189411785296,0.953098304794753,-0.09860222666431488,-0.03935953706786138,-0.0018831936217067447,-0.0008592964832132566,-0.0007973516062520503,0.00395876281800156,63227,168000000,1.31,0,2,4,-0.44433685085431673,-0.29931955054315595,4.974432497196177,4.2435829639434814
-0.12480310003259198,0.6232768136895412,5.0,1.3502601156786784,0.9715537946269689,4.927397675292685,-0.3029142258670763,-0.0008275888334359726,0.001150139800853756,0.9530167700741214,-0.05346817956284329,-0.0420988723902434,-2.9806863805192636e-05,-0.0006795989975216798,-0.0015811525145181804,0.0023026239205137244,63227,392000000,1.31,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,4.524384021759033
-0.12480310003259198,0.6232768136895412,5.0,1.3501522094615768,0.9821298997205014,4.927566840949528,-0.30302838384329794,-0.000651830033123736,0.0011432532087833664,0.9529806224026947,-0.010089205353396385,-0.04470054466790605,0.0017718527884271417,-0.0006510910111501289,-0.0016598215211161005,0.00018404614223754834,63227,646000000,1.28,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,4.797498941421509
-0.14280287947149173,0.6847164547362532,5.0,1.3441799209256233,0.988085019590221,4.928001539965132,-0.3028911384771706,-0.0004894221558837519,0.0011223244247679466,0.9530243748644849,0.02331935838605339,-0.047392719692510764,0.003185095876995148,-0.0007050342389902653,-0.0015926164451229852,-0.002820798363245558,63227,968000000,1.24,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,5.081178188323975
-0.16181119526917875,0.7459267385199392,5.0,1.3334117242059198,0.9911902514786145,4.928666075048928,-0.3024658284594351,-0.00033251327997887943,0.0011008007491837626,0.9531595355904365,0.052168186514974624,-0.04960226576154825,0.004337486667658046,-0.0007034891723378678,-0.001551219213524746,-0.006664317061222391,63228,202000000,1.2,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,5.368396043777466
-0.16181119526917875,0.7459267385199392,5.0,1.3147572923546902,0.991827180225826,4.929715943685506,-0.30153010594643487,-0.00014288423871961517,0.001055647145948913,0.9534560610752492,0.08067058270079357,-0.052643516084210126,0.005332235190901877,-0.00095295418987007,-0.0014398011444427539,-0.010712266885093413,63228,387000000,1.15,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,5.646784067153931
-0.18182839742572066,0.8068902424093126,5.0,1.295830572434333,0.990452587608774,4.930740072010778,-0.3004850172549516,-1.2123030693170396e-06,0.0010152563597449226,0.9537859946855718,0.09880820919092688,-0.05531288911609698,0.00611593176602325,-0.0008109279974632955,-0.0012586156913130253,-0.01317445339736878,63228,600000000,1.09,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,5.932007074356079
-0.18182839742572066,0.8068902424093126,5.0,1.2717331266270469,0.9874263521088777,4.932020187600506,-0.29909021704261,0.0001361742853343477,0.0009833297869176812,0.9542243219434823,0.114789249364909,-0.05746767844518502,0.006676563054661991,-0.0006573232440132415,-0.0011353546256032132,-0.015716028974566143,63228,801000000,1.04,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,6.214028596878052
-0.20285454502857725,0.867589415443657,5.0,1.2478856000322591,0.9837508638895816,4.933246691712975,-0.2976535730744435,0.00025037373909512437,0.000935839129156326,0.954673458285152,0.12540552957905599,-0.05965983490338224,0.00690645707678725,-0.0008256433034148358,-0.0009500262478923105,-0.017415484762750566,63229,45000000,1.02,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,6.502623081207275
-0.20285454502857725,0.867589415443657,5.0,1.219541050750281,0.9789657217678173,4.934662580435326,-0.29591819984030104,0.00035415967799277135,0.0008901141905596864,0.9552128041807886,0.13446779357951072,-0.061392364709850225,0.007131801582382612,-0.0006725925629780249,-0.0007465474311629805,-0.018712235578277614,63229,268000000,1.04,0,2,4,-0.4741359211331002,-0.3111583440894588,4.974247645429984,6.786357879638672
-0.22488940115985745,0.9280065821559788,5.0,1.1957913202755677,0.9748126709718108,4.935816005280448,-0.29446510563395684,0.0004284191262673627,0.0008354597277143267,0.9556617707264836,0.1395250028020904,-0.06302960136445951,0.007116728439166055,-0.0008881400390237104,-0.0006102256179474352,-0.019229192548664287,63229,442000000,1.12,0,2,4,-0.5300475300702872,-0.24771110805826907,4.9721003265426065,7.080773830413818
-0.24793242780967706,0.9881239465359675,5.0,1.158849182378968,0.9683438069681047,4.937549595047886,-0.2922050525149886,0.0005179116116702993,0.0007630278672322271,0.9563552461511091,0.14487295319975008,-0.06489635405496055,0.0070987641952653694,-0.0006927357446784299,-0.0004519692453186508,-0.01998643492697738,63229,648000000,1.19,0,2,4,-0.5300475300702872,-0.24771110805826907,4.9721003265426065,7.424012899398804
-0.24793242780967706,0.9881239465359675,5.0,1.1177301342884913,0.961496711828925,4.939428228212076,-0.28971932065959616,0.0005936380372316073,0.00069091602494821,0.9571112189633287,0.14446565462599653,-0.06756880582549542,0.00700368332523228,-0.0008812099565602693,-0.0003321173920767251,-0.020092635895707645,63229,826000000,1.39,0,2,4,-0.5163865362890971,-0.20783603242329698,4.971425829231487,7.7916929721832275
-0.2719827807983455,1.0479235961347382,5.0,1.0752622745957172,0.9567181885198234,4.941359795507669,-0.28722729009885073,0.0006501652836025996,0.0005898838452608277,0.9578620532961016,0.11339532819582201,-0.07193024356033818,0.006078637851263901,-0.0007688197229072102,0.00044976763149406906,-0.010756575829873327,63230,25000000,1.64,0,2,4,-0.5057473450334423,-0.1793317437577468,4.970930832622586,8.180965185165405
-0.2970393047101876,1.1073875063133007,5.0,1.0548490047547752,0.9592458335074109,4.9423271030494025,-0.28689060018050405,0.0005970788736438433,0.000499120670653448,0.9579630357709241,0.06460966733059595,-0.07593088849260635,0.0046171399677114745,-0.0007979789813816751,0.0010611615948619146,0.0006422672583994427,63230,209000000,1.91,0,2,4,-0.49442936740687077,-0.1475512823596145,4.9703724717545805,8.491896152496338
-0.2970393047101876,1.1073875063133007,5.0,1.0399089190449546,0.9722330579017232,4.9431061579500275,-0.2878423260267369,0.0004221299542850115,0.0002461900909186155,0.9576776892797798,-0.015189245727502904,-0.08262582925425785,0.0020091542734872194,-0.0017555231124788406,0.002519923805266444,0.01427111383236479,63230,392000000,1.96,0,2,4,-0.4908967314837659,-0.1290724023207391,4.970045561960301,8.799402952194214
-0.3231005278418917,1.1664975446366894,5.0,1.0378784444171403,0.989296161166898,4.943286034217484,-0.2894181140430689,0.0002394998985625464,3.181007440949504e-05,0.9572027459695625,-0.06658608508828377,-0.08737513251397175,0.0001939033781973661,-0.0016245836945927294,0.0026311119881938794,0.021074974938528612,63230,614000000,1.87,0,2,4,-0.4958454178180415,-0.11006248797141506,4.969571741314435,9.109058141708374
