x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test,x2,y2,z2,real_x2,real_y2,real_z2,time
0.0,0.0,5.0,0.05059257873648158,-1.3581294571063507,4.9520437230359535,-0.5440156270538213,0.0001956974509306885,0.0014121159936068398,-0.8390738734772795,-0.03872000304214139,-0.0496934280023738,-0.0028743311654728303,0.000862042048765943,0.00282509429325728,0.0022960020942264237,11284,249000000,3.68,0,2,2,-0.6116076907788361,0.398216806349854,4.959621686766944,-0.6116076907788361,0.398216806349854,4.959621686766944,9.202957153320312e-05
0.0,0.0,5.0,0.06309540059921546,-1.3647364072467472,4.951481426897791,-0.5436745941387938,0.00037203817754364904,0.0012136618979032487,-0.8392951353966075,-0.08164793163837597,-0.04728761201352967,-0.0034849687967943204,0.0007160996403854369,0.002828320293701836,0.006236621584321256,11284,466000000,3.69,0,2,2,-0.6066759468836356,0.4093225896236629,4.959525863348019,-0.6066759468836356,0.4093225896236629,4.959525863348019,0.3838462829589844
-0.002291386001864737,0.07066929128722992,5.08972966070103,0.08178772349257969,-1.3817874041514462,4.950635072168524,-0.5429140234607894,0.0006023318228432452,0.001001024851118397,-0.8397874720875751,-0.12590823844313537,-0.04437653301299073,-0.0043121485591712475,0.00031987170245884045,0.0027562259674596135,0.009676900026533986,11284,642000000,3.74,0,2,2,-0.6045610354277379,0.43078533937146823,4.959195652016558,-0.6045610354277379,0.43078533937146823,4.959195652016558,0.8437597751617432
-0.002291386001864737,0.07066929128722992,5.08972966070103,0.10563678376780833,-1.4096185648264257,4.949537924765967,-0.5418292510971481,0.0008531705866851257,0.0008105849366311455,-0.8404877617833075,-0.16160612887049894,-0.04155899373110915,-0.004315680441123675,0.0001786720986274304,0.0025747712243173737,0.010829798338818364,11284,869000000,3.84,0,2,2,-0.6061301606694388,0.4677978359182635,4.958518865687834,-0.6061301606694388,0.4677978359182635,4.958518865687834,1.4118537902832031
-0.009160726391858276,0.14123938972314432,5.179278617806867,0.1290767752089848,-1.439501520862752,4.949132425537114,-0.540931136704017,0.0010720308264379546,0.000643618404459323,-0.8410659557070161,-0.1699339501671331,-0.04024638081203095,-6.612034938990519e-05,0.00022193089677102762,0.002178686054321588,0.008250688824773533,11285,73000000,4.01,0,2,2,-0.6123764064240069,0.5227444314466997,4.9573988882557325,-0.6123764064240069,0.5227444314466997,4.9573988882557325,1.9218347072601318
-0.020593580356818464,0.21161144053362013,5.268466531635311,0.14842237215236892,-1.4620798990521058,4.9496689456837695,-0.5407675638892756,0.001128910689229816,0.0005789774482033595,-0.8411711075584017,-0.11958086603181568,-0.041973160234852896,0.0046246601370024745,0.00021474216254091516,-4.731485763187493e-05,-0.002090112479891104,11285,285000000,4.09,0,2,2,-0.6184842788620307,0.5678061339101085,4.956553581496428,-0.6184842788620307,0.5678061339101085,4.956553581496428,2.3408398628234863
-0.03656591995530789,0.28168726406152494,5.357113789597273,0.16377380378824008,-1.474864030739989,4.951493297472022,-0.5411488644269506,0.0010635822526677099,0.0006220334830731853,-0.8409259113599481,-0.06464138861621051,-0.044519456218335175,0.012775237248834212,3.967344390787275e-05,-0.0012187526635898394,-0.006164118667584262,11285,570000000,4.09,0,2,2,-0.6228712044488859,0.6073024893890716,4.95645462640751,-0.6228712044488859,0.6073024893890716,4.95645462640751,2.7392046451568604
-0.05704419012769257,0.3513696907347439,5.445041867912629,0.17619689417509224,-1.4778343350165888,4.95574059514784,-0.5418267363037683,0.0009284334870931196,0.000685647109417767,-0.8404894144043147,-0.010633142956959009,-0.04700968961470013,0.0250325541059438,0.00038376287818664423,-0.0014008905850459996,-0.008453294776700204,11285,887000000,4.03,0,2,2,-0.624497999072006,0.6384679226289867,4.957841745752089,-0.624497999072006,0.6384679226289867,4.957841745752089,3.1572482585906982
-0.0819853924892815,0.4205628929340893,5.53207369113335,0.18326617202477335,-1.4725340172784327,4.961416884311372,-0.542595850704618,0.0007920716909190143,0.0007119110090912573,-0.8399932193793491,0.028671088352115764,-0.04878008098590755,0.03694036449899076,0.0006727969832809322,-0.001369644428450556,-0.01135629354394041,11286,210000000,3.92,0,2,2,-0.623355001418124,0.6641279423067793,4.961834824215143,-0.623355001418124,0.6641279423067793,4.961834824215143,3.5770456790924072
-0.1113371926862321,0.4891727127417653,5.618033988749895,0.1878571819344957,-1.4610376904640863,4.9693600377991505,-0.5436177643565636,0.0006464940429987277,0.0007373350567847475,-0.8393323326659339,0.06416679049411651,-0.05015158881839119,0.05042758671180283,0.0007141501043861354,-0.0015574785379612877,-0.015241928576870123,11286,407000000,3.8,0,2,2,-0.62049873303769,0.6795842360304991,4.967456525015668,-0.62049873303769,0.6795842360304991,4.967456525015668,3.9783804416656494
-0.14503805103201373,0.5571069845630509,5.702749648162685,0.19035426805990982,-1.4418344630210749,4.981156067713652,-0.5451045919772526,0.00045796269367645603,0.0007749686766178759,-0.8383675646749666,0.09839215543830025,-0.050942704331095975,0.0665207369308143,0.0007997148088634276,-0.0018638412370819424,-0.019667938249767758,11286,594000000,3.66,0,2,2,-0.6162431978583824,0.691012934761802,4.975520206559602,-0.6162431978583824,0.691012934761802,4.975520206559602,4.366708993911743
-0.1830173760811178,0.6242758516287834,5.786050063307847,0.1903843092845666,-1.4141654638526184,4.997983613864067,-0.5471017117434116,0.000226691043201406,0.0008230963300419124,-0.8370657012033351,0.12925671523619853,-0.05097285040697526,0.08512722861867268,0.000815801757880763,-0.0019272367126177414,-0.023094542302715126,11286,772000000,3.47,0,2,2,-0.6095960120804885,0.7007256394410779,4.989104133101716,-0.6095960120804885,0.7007256394410779,4.989104133101716,4.7488203048706055
