x_ref,y_ref,z_ref,x,y,z,eta,e1,e2,e3,u,v,w,p,q,r,sec,nanosec,angle2,angle3,control_mode,std_test
0.0,0.0,5.0,-0.9597443935049705,3.00021966812424,3.4781000220958953,-0.9994346278112946,-0.03255655981626247,-0.00839577609549929,-7.802809240120556e-05,0.38414324338272865,-0.009763221814914048,-0.20359534111009475,0.3379367641173303,0.12972490658285096,-0.000726650125670858,0,201000000,90.07,0,0,0
0.0,0.0,5.0,-0.8430905863677014,2.9893064862999714,3.4223142972899794,-0.9994777877208817,-0.027695089621464098,-0.013503603444858233,0.009735838815180364,0.33041683878412537,-0.05499295588093965,-0.11609094886137997,-0.05878509946342092,-0.013352255427889759,-0.19487444224068895,0,376000000,92.41,0,1,0
0.0,0.0,0.0,-0.80590132814078,2.9823945092532855,3.409151882259347,-0.9993365595282047,-0.024539081613110976,-0.012086120583997856,0.024045788677958535,0.30141119167300484,-0.0506668586968433,-0.08456894772454718,-0.05242173974693287,-0.021196760462771636,-0.27008573233615607,0,708000000,98.12,0,1,0
0.0,0.0,0.0,-0.7829972415919001,2.977407439823485,3.40253134164437,-0.9990536387856663,-0.02264918725737947,-0.010984983861763827,0.03547071010363728,0.2838299229773563,-0.04749148671129298,-0.06497585162624538,-0.04805940297956113,-0.022796643315814435,-0.2982314385008067,0,827000000,98.52,0,1,0
0.0,0.0,0.0,-0.7463034959372868,2.96795125665552,3.3945347264695687,-0.9981041430476336,-0.01986495897203885,-0.009060302405442765,0.0575448864497099,0.2553291958840555,-0.045847653947830705,-0.047179013066906125,-0.02471381794748595,-0.021988813023199327,-0.33789802400860935,0,914000000,98.41,0,1,0
0.0,0.0,0.0,-0.7273467371628312,2.961669017771387,3.3889592965661746,-0.9971955963117105,-0.0192308333454712,-0.007976368357843586,0.07188529260697685,0.23974219064585545,-0.0528651016159641,-0.07587924653347271,-0.01677735199336894,-0.020977898202545475,-0.3742415807209909,1,48000000,97.65,0,1,0
0.0,0.0,0.0,-0.701644613663033,2.9506971889407883,3.3761379921990766,-0.9952627994509108,-0.018267234672401877,-0.006345951823811773,0.09527852361371447,0.21896095266669705,-0.06276993736048316,-0.12142253642185738,-0.01724830854072934,-0.021744688820035663,-0.40369698544964194,1,123000000,96.84,0,1,0
0.0,0.0,0.0,-0.6789924866976357,2.938059073156354,3.3580777415260203,-0.992646110515808,-0.017067775156771416,-0.004688487910545035,0.11975144429253698,0.2014198149326488,-0.0714483392563903,-0.16498463262927074,-0.02220344867964741,-0.023459493422706146,-0.41456267645116895,1,243000000,95.17,0,1,0
0.0,0.0,0.0,-0.6654272837053504,2.9288228781661507,3.3432600856714108,-0.9905382044131668,-0.016144437869471638,-0.0035711681299192086,0.13623754798881849,0.19128952833350574,-0.07672023182527114,-0.19231309414681846,-0.021049779024906456,-0.024417808890575543,-0.41680031863506883,1,364000000,93.13,0,1,0
0.0,0.0,0.0,-0.6443824742744423,2.9112571926814925,3.312488358584439,-0.9861877817620306,-0.014654486893913837,-0.0015965409991781782,0.16497380450847215,0.17643627282422178,-0.08554677059128371,-0.23497958935845906,-0.01589976072864374,-0.025172628193104174,-0.4143068683333695,1,455000000,91.63,0,1,0
0.0,0.0,0.0,-0.6312517670411786,2.8976986402282394,3.287172125573547,-0.9825986669715653,-0.013752007258920796,-0.000195041694186205,0.18523148739021333,0.1684037287766827,-0.09174228407159225,-0.26097703318496857,-0.012842228807130596,-0.024788270638964605,-0.40865895280148834,1,588000000,88.79,0,1,0
0.0,0.0,0.0,-0.6194931001320744,2.883303134207795,3.2594824920555947,-0.9786650239261014,-0.012899762406220854,0.0011427988298277148,0.2050538004632465,0.16228834530657238,-0.09799551069411093,-0.28397730967142115,-0.012124944078095723,-0.023760483236401342,-0.40157292096409947,1,677000000,86.65,0,1,0
0.0,0.0,0.0,-0.6050566282178952,2.8617694675308045,3.2172537232678993,-0.9726531589905194,-0.011711809408767846,0.0028452396996456976,0.2319494997562767,0.15770553012048164,-0.10651734521798988,-0.3108914794862555,-0.010973383268719772,-0.021260022549540736,-0.3860408207401633,1,793000000,84.46,0,1,0
0.0,0.0,0.0,-0.5942144536490839,2.841990451383821,3.178406230729707,-0.9671520837822208,-0.010713492422879042,0.004101188676430867,0.25393945768086656,0.15696282716698612,-0.11338137103910662,-0.3297385703015639,-0.010625588129187236,-0.018680189168662764,-0.3705820068717003,1,921000000,81.34,0,1,0
0.0,0.0,5.0,-0.5845410852343776,2.8210008501383705,3.1375349934368395,-0.9613979900423293,-0.009728823918835065,0.005163507760438077,0.2749410717141645,0.15823111859231806,-0.11954355514836412,-0.34568957547387835,-0.01021745010802988,-0.01623641928745201,-0.3561848745448515,2,36000000,78.68,0,1,0
0.0,0.0,5.0,-0.5772356425036678,2.8026103460003555,3.1021630176695214,-0.9564443519695905,-0.00892973692283772,0.005911844624699554,0.2917182055976143,0.16078696993989883,-0.12389187402185604,-0.3569366211573787,-0.009965304889192339,-0.01420535345459939,-0.344129343284294,2,166000000,76.04,0,1,0
